Layer[0],Layer[1],Layer[8],Layer[9],Layer[10],classifier
0.436801,0.017408,0.744194,0.001344,0.000384,1.206051
0.420641,0.017248,0.729154,0.001280,0.000352,1.173571
0.415777,0.017472,0.762691,0.001472,0.000448,1.204516
0.420065,0.017536,0.741091,0.001312,0.000416,1.185604
0.415745,0.017216,0.737251,0.001344,0.000448,1.177252
0.416897,0.017185,0.747650,0.001376,0.000352,1.188708
0.420321,0.017344,0.743330,0.001408,0.000352,1.188132
0.416802,0.017344,0.743522,0.001472,0.000384,1.185380
0.415778,0.017280,0.765122,0.001472,0.000384,1.205636
0.421889,0.017344,0.740834,0.001344,0.000384,1.186787
0.421825,0.017344,0.738754,0.001344,0.000576,1.185507
0.432993,0.017344,0.741762,0.001216,0.000384,1.198755
0.421793,0.017472,0.741442,0.001248,0.000352,1.187203
0.419745,0.017344,0.732482,0.001376,0.000416,1.176867
0.436801,0.017280,0.742306,0.001312,0.000352,1.203203
0.420065,0.017472,0.753218,0.001472,0.000320,1.197827
0.420513,0.017568,0.762947,0.001312,0.000384,1.208132
0.417249,0.017504,0.746755,0.001760,0.000352,1.190372
0.420738,0.018368,0.749474,0.001312,0.000352,1.195908
0.421250,0.017536,0.782082,0.001376,0.000416,1.229380
0.420833,0.017504,0.731970,0.001216,0.000352,1.177219
0.420161,0.017536,0.746402,0.001408,0.000320,1.191011
0.420513,0.017440,0.762882,0.001312,0.000352,1.207779
0.419937,0.017856,0.735938,0.001376,0.000352,1.180483
0.421153,0.017600,0.739298,0.001536,0.000352,1.185091
0.435841,0.017472,0.754018,0.001536,0.000352,1.214435
0.420865,0.017472,0.750018,0.001440,0.000384,1.196004
0.418337,0.018273,0.753858,0.001440,0.000352,1.198852
0.416450,0.018304,0.751874,0.001440,0.000384,1.193988
0.421217,0.017504,0.749570,0.001568,0.000448,1.195939
0.416161,0.017248,0.773890,0.001408,0.000448,1.214915
0.421409,0.017472,0.739074,0.001568,0.000480,1.185731
0.421953,0.017536,0.735458,0.001312,0.000352,1.181891
0.419937,0.017600,0.794242,0.001440,0.000384,1.239267
0.421121,0.017728,0.753154,0.001344,0.000416,1.198915
0.421537,0.017344,0.743459,0.001280,0.000352,1.188964
0.435425,0.017281,0.739298,0.001184,0.000352,1.198660
0.417762,0.017408,0.748962,0.001536,0.000384,1.192644
0.424418,0.017568,0.759970,0.001888,0.000608,1.211556
0.421153,0.017376,0.734850,0.001728,0.000416,1.180867
0.421761,0.017632,0.747618,0.001568,0.000352,1.194179
0.420961,0.017376,0.781634,0.001664,0.000352,1.227107
0.423201,0.017504,0.744610,0.001632,0.000416,1.192739
0.418593,0.017344,0.745218,0.001376,0.000384,1.188067
0.417441,0.017472,0.764131,0.001568,0.000384,1.206372
0.420833,0.017313,0.746242,0.001408,0.000416,1.191364
0.416994,0.017856,0.742850,0.001504,0.000384,1.184996
0.448866,0.017568,0.754274,0.001696,0.000416,1.229380
0.420513,0.017472,0.751970,0.001504,0.000384,1.197443
0.416705,0.017408,0.744130,0.001312,0.000384,1.185187
0.435841,0.017248,0.749826,0.001344,0.000416,1.209891
0.417729,0.017248,0.745666,0.001376,0.000416,1.187491
0.420289,0.017472,0.743714,0.001536,0.000384,1.188451
0.416833,0.017568,0.746210,0.001280,0.000480,1.187331
0.421185,0.017344,0.734626,0.001312,0.000416,1.180099
0.419905,0.017408,0.762531,0.001408,0.000416,1.207236
0.421025,0.017312,0.743395,0.001344,0.000384,1.188292
0.416770,0.017600,0.750242,0.001600,0.000416,1.193444
0.417250,0.017376,0.768930,0.001472,0.000352,1.210756
0.420577,0.017376,0.745890,0.001408,0.000416,1.190627
0.415617,0.017536,0.740354,0.001408,0.000352,1.180963
0.433761,0.017632,0.776162,0.001440,0.000384,1.234691
0.420545,0.017472,0.736290,0.001280,0.000384,1.180963
0.421441,0.017504,0.748610,0.001344,0.000352,1.194435
0.420385,0.017440,0.722306,0.001408,0.000384,1.166947
0.415809,0.017408,0.746435,0.001344,0.000384,1.186180
0.420257,0.017248,0.769155,0.001280,0.000352,1.213700
0.417666,0.017632,0.740802,0.001536,0.000352,1.183716
0.416449,0.017536,0.731426,0.001472,0.000448,1.172867
0.420705,0.017408,0.760354,0.001408,0.000416,1.205443
0.418497,0.017312,0.743170,0.001504,0.000384,1.186275
0.421025,0.017312,0.730370,0.001312,0.000416,1.175331
0.420417,0.017504,0.763170,0.001472,0.000416,1.208323
0.421441,0.017536,0.752034,0.001504,0.000384,1.198179
0.417857,0.017408,0.736578,0.001312,0.000416,1.178883
0.434913,0.017472,0.739682,0.001248,0.000384,1.198851
0.416993,0.017312,0.729090,0.001280,0.000320,1.170083
0.422593,0.017792,0.754275,0.001472,0.000384,1.202468
0.421026,0.017568,0.749730,0.001280,0.000384,1.195076
0.421505,0.017440,0.739490,0.001312,0.000320,1.185347
0.420705,0.017344,0.771874,0.001504,0.000448,1.216995
0.420833,0.017312,0.738306,0.001280,0.000384,1.183043
0.422145,0.017472,0.753218,0.001312,0.000384,1.199459
0.420545,0.017248,0.772450,0.001280,0.000352,1.216963
0.415841,0.017600,0.745890,0.001312,0.000416,1.186179
0.421825,0.017280,0.747042,0.001280,0.000352,1.192707
0.415745,0.036480,0.760387,0.001408,0.000384,1.220260
0.420066,0.017440,0.732322,0.001344,0.000352,1.176804
0.415778,0.017312,0.750050,0.001312,0.000320,1.190020
0.433857,0.017504,0.742082,0.001376,0.000384,1.200387
0.415489,0.017248,0.769186,0.001440,0.000416,1.209635
0.420033,0.017472,0.741730,0.001312,0.000352,1.186019
0.420097,0.017696,0.748514,0.001472,0.000480,1.193731
0.416257,0.017568,0.782306,0.001312,0.000416,1.223939
0.421345,0.017472,0.758595,0.001536,0.000416,1.204356
0.416001,0.017792,0.712738,0.001408,0.000416,1.153475
0.416129,0.017824,0.750051,0.001408,0.000384,1.191812
0.419681,0.017504,0.754467,0.001440,0.000384,1.199204
0.415362,0.017312,0.749794,0.001440,0.000384,1.189412
0.415106,0.017312,0.740418,0.001408,0.000320,1.179428
0.416226,0.017376,0.806242,0.001440,0.000320,1.246724
0.422401,0.018080,0.806210,0.001984,0.000704,1.259107
0.420097,0.017696,0.750211,0.001472,0.000576,1.195908
0.420066,0.017536,0.769250,0.001376,0.000416,1.213796
0.415905,0.017312,0.738530,0.001376,0.000480,1.179395
0.416417,0.017760,0.771202,0.001504,0.000352,1.212387
0.415649,0.017568,0.751490,0.001504,0.000352,1.194019
0.415585,0.017824,0.748514,0.001600,0.000384,1.189283
0.415489,0.017920,0.752738,0.001664,0.000416,1.193827
0.420417,0.017536,0.742307,0.001536,0.000416,1.187748
0.415713,0.017569,0.734722,0.001536,0.000416,1.175204
0.434466,0.017344,0.744194,0.001472,0.000448,1.203012
0.416129,0.017568,0.753058,0.001504,0.000448,1.193859
0.417857,0.017344,0.738114,0.001312,0.000416,1.180323
0.439233,0.017568,0.768482,0.001472,0.000416,1.233827
0.422561,0.017536,0.744290,0.001408,0.000352,1.191587
0.416641,0.017792,0.773826,0.001440,0.000448,1.218083
0.422401,0.017248,0.737987,0.001536,0.000384,1.185124
0.420577,0.017441,0.741378,0.001568,0.000384,1.186308
0.421570,0.017408,0.757666,0.001440,0.000416,1.204324
0.421953,0.017280,0.740546,0.001536,0.000384,1.186723
0.421313,0.017440,0.740002,0.001280,0.000320,1.185571
0.416193,0.017280,0.781730,0.001408,0.000352,1.222819
0.419649,0.017376,0.743234,0.001344,0.000416,1.186947
0.416737,0.017248,0.741058,0.001312,0.000384,1.181795
0.450945,0.017408,0.815331,0.001376,0.000352,1.290852
0.417314,0.017472,0.741890,0.001632,0.000448,1.184868
0.416002,0.017728,0.743138,0.001248,0.000320,1.183652
0.421089,0.017600,0.745506,0.001344,0.000384,1.191107
0.416257,0.017536,0.747938,0.001248,0.000320,1.188451
0.421409,0.017344,0.766146,0.001440,0.000384,1.212451
0.420609,0.017472,0.730434,0.001248,0.000384,1.175203
0.420193,0.017472,0.749442,0.001376,0.000384,1.193859
0.420577,0.017536,0.756002,0.001504,0.000448,1.201731
0.420673,0.017504,0.745859,0.001248,0.000352,1.191172
0.415169,0.017281,0.734818,0.001280,0.000352,1.173892
0.435425,0.017888,0.789986,0.001472,0.000512,1.251587
0.420769,0.017568,0.747138,0.001312,0.000416,1.192483
0.420705,0.017568,0.745218,0.001248,0.000416,1.190723
0.438785,0.017568,0.786115,0.001312,0.000352,1.249732
0.416065,0.018177,0.743490,0.001504,0.000384,1.184740
