Layer[0],Layer[9],Layer[10],classifier
0.425761,0.784450,0.000896,1.217539
0.425569,0.787715,0.000832,1.219172
0.421761,0.782914,0.000768,1.212035
0.420161,0.820899,0.000896,1.247940
0.426273,0.774338,0.000768,1.206915
0.425922,0.789602,0.000768,1.221508
0.434913,0.793442,0.000928,1.235843
0.421153,0.783874,0.000896,1.210819
0.428257,0.789090,0.000928,1.223523
0.421409,0.785218,0.000640,1.213507
0.426273,0.782211,0.000640,1.214404
0.420321,0.814658,0.000736,1.241827
0.425313,0.776259,0.000960,1.208676
0.420705,0.785730,0.000928,1.212899
0.416257,0.792995,0.000672,1.215588
0.416033,0.800706,0.000928,1.223491
0.425346,0.772290,0.000928,1.204068
0.434209,0.786178,0.000896,1.227043
0.426049,0.784738,0.001056,1.217763
0.425185,0.780898,0.000800,1.211779
0.417985,0.794978,0.000736,1.219779
0.426241,0.790658,0.000704,1.223587
0.425825,0.820642,0.000928,1.254307
0.421314,0.813474,0.001024,1.241156
0.425569,0.785218,0.000864,1.217603
0.450401,0.810722,0.000800,1.267715
0.416193,0.780707,0.000768,1.203908
0.417089,0.784034,0.000704,1.206659
0.425442,0.787202,0.000992,1.219044
0.416705,0.786338,0.000768,1.208771
0.416161,0.804450,0.000800,1.227556
0.425441,0.777186,0.000800,1.208771
0.425537,0.777314,0.000896,1.210499
0.425601,0.806275,0.000768,1.238436
0.420513,0.784066,0.000672,1.210595
0.420417,0.786179,0.000608,1.213060
0.444257,0.789506,0.000768,1.240707
0.425922,0.788450,0.000960,1.220388
0.416193,0.765506,0.000832,1.188803
0.421025,0.783490,0.000736,1.210883
0.420097,0.785026,0.000928,1.211683
0.416865,0.812194,0.000896,1.236227
0.417857,0.794275,0.000832,1.219492
0.421089,0.790498,0.001024,1.217859
0.435586,0.794690,0.000992,1.237636
0.415681,0.788450,0.000800,1.210659
0.417057,0.780034,0.000576,1.203171
0.455233,0.787459,0.000672,1.249732
0.426593,0.780098,0.000704,1.213379
0.425826,0.818434,0.000928,1.250244
0.420193,0.786050,0.000832,1.212739
0.421793,0.832194,0.000800,1.260003
0.417250,0.809314,0.000928,1.234980
0.421441,0.803426,0.000960,1.230659
0.421633,0.772994,0.000864,1.200643
0.443009,0.794787,0.000800,1.245540
0.425985,0.775490,0.000928,1.209091
0.420770,0.802402,0.000928,1.229732
0.416449,0.820738,0.000896,1.243491
0.426177,0.770882,0.000608,1.203235
0.420801,0.806243,0.000704,1.232740
0.421025,0.784578,0.000704,1.214179
0.425634,0.774402,0.000992,1.208196
0.455969,0.787522,0.000960,1.250084
0.435905,0.787074,0.000896,1.229955
0.421794,0.771746,0.000672,1.199172
0.425825,0.764098,0.000832,1.195779
0.420353,0.807458,0.000928,1.234371
0.420961,0.792451,0.000896,1.219556
0.425601,0.775682,0.000736,1.208355
0.425666,0.767746,0.000832,1.199812
0.425697,0.856066,0.000896,1.290659
0.421345,0.786658,0.000832,1.214083
0.417025,0.784611,0.000800,1.207332
0.441697,0.803650,0.000832,1.252675
0.428001,0.783010,0.001056,1.219363
0.416289,0.809795,0.000992,1.232484
0.420321,0.783426,0.001056,1.211427
0.425986,0.786530,0.000960,1.218468
0.425505,0.814723,0.000992,1.247396
0.425281,0.775810,0.000864,1.207299
0.420450,0.811330,0.000928,1.240164
0.444449,0.775234,0.000864,1.226435
0.416289,0.778562,0.000672,1.200739
0.417153,0.805027,0.001376,1.229668
0.422337,0.789026,0.001184,1.221507
0.418337,0.788130,0.000864,1.213507
0.421058,0.811458,0.000832,1.239652
0.426817,0.779618,0.000960,1.212643
0.420833,0.781186,0.000672,1.208131
0.421474,0.805602,0.000704,1.233764
0.425953,0.773346,0.001056,1.206979
0.420513,0.786434,0.000704,1.213315
0.456034,0.892802,0.001600,1.362052
0.428001,0.801634,0.001088,1.235971
0.417314,0.835202,0.000960,1.259940
0.416001,0.788674,0.000928,1.211683
0.420609,0.793058,0.000992,1.220419
0.437986,0.781154,0.000960,1.226372
0.426401,0.819139,0.000640,1.252036
0.426273,0.774434,0.000864,1.206723
0.425730,0.791106,0.001088,1.224932
0.426209,0.787298,0.000768,1.220164
0.425601,0.816802,0.001056,1.250339
0.420609,0.785858,0.000640,1.213059
0.416865,0.800803,0.000768,1.224260
0.421633,0.796130,0.000672,1.224323
0.420385,0.789698,0.000800,1.217539
0.420545,0.788099,0.000960,1.214692
0.438465,0.780642,0.000864,1.226371
0.416705,0.790978,0.000800,1.214243
0.420833,0.815747,0.000928,1.243908
0.421089,0.780386,0.000928,1.208995
0.426337,0.784706,0.000992,1.218435
0.415841,0.805315,0.000672,1.228004
0.417057,0.763266,0.000704,1.186307
0.426177,0.783842,0.000736,1.216067
0.447746,0.780930,0.001024,1.236356
0.426785,0.782914,0.000768,1.215875
0.426625,0.768610,0.000992,1.202531
0.420514,0.790658,0.000960,1.217988
0.425985,0.791298,0.001024,1.226211
0.425601,0.826082,0.000992,1.259235
0.420865,0.777474,0.000736,1.205187
0.420353,0.784706,0.000864,1.212004
0.420897,0.795042,0.000768,1.223651
0.426369,0.818658,0.000768,1.251299
0.425634,0.770626,0.000832,1.203748
0.445441,0.784482,0.000992,1.237763
0.420321,0.792802,0.000896,1.220003
0.425474,0.800482,0.000992,1.233220
0.420545,0.795971,0.000704,1.223876
0.420641,0.777602,0.000736,1.204483
0.420417,0.804386,0.000864,1.231715
0.425569,0.780931,0.000864,1.212484
0.425889,0.779842,0.000736,1.211619
0.444609,0.770402,0.000864,1.222243
0.418370,0.784290,0.000704,1.208580
0.420737,0.785090,0.000864,1.211971
0.442305,0.816578,0.000832,1.264931
0.421793,0.785954,0.001056,1.214787
0.421441,0.799555,0.000832,1.228164
0.421281,0.813538,0.001344,1.242339
0.421249,0.795074,0.000864,1.223107
0.417057,0.802338,0.000672,1.226179
0.427425,0.786691,0.000768,1.221060
0.427169,0.784706,0.000832,1.218787
0.441025,0.775906,0.000832,1.223651
0.426402,0.782626,0.000704,1.215556
0.426561,0.772578,0.000928,1.205763
0.419585,0.797218,0.000736,1.224035
0.426561,0.786146,0.001056,1.219907
