Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[9],Layer[10],classifier
0.416738,0.017440,0.202656,0.005024,0.046848,0.000800,0.013376,0.181793,0.000448,0.892515
0.432673,0.017088,0.202625,0.004832,0.046784,0.000512,0.013312,0.190113,0.000480,0.914627
0.415201,0.017152,0.202497,0.004896,0.046784,0.000704,0.013376,0.153568,0.000576,0.860194
0.419778,0.017440,0.202208,0.004832,0.046784,0.001024,0.013376,0.186977,0.000640,0.899491
0.414945,0.017152,0.202241,0.004864,0.046848,0.000480,0.013376,0.172161,0.000512,0.878627
0.420481,0.017184,0.202208,0.004864,0.046753,0.000992,0.013344,0.182400,0.000512,0.894530
0.420002,0.017184,0.202304,0.004992,0.046848,0.000704,0.013312,0.169249,0.000480,0.881603
0.415905,0.017152,0.203041,0.004768,0.046816,0.000992,0.013312,0.200960,0.000608,0.909858
0.431201,0.017152,0.202464,0.004801,0.046848,0.000512,0.013312,0.175488,0.000544,0.898594
0.415489,0.017249,0.202720,0.004896,0.046720,0.000992,0.013312,0.157665,0.000640,0.866019
0.416769,0.017184,0.202465,0.004768,0.046912,0.000480,0.013408,0.183712,0.000512,0.893218
0.420801,0.017280,0.202240,0.004800,0.046785,0.000576,0.013280,0.206176,0.000576,0.918786
0.415393,0.017504,0.202049,0.004928,0.046816,0.000544,0.013344,0.192929,0.000480,0.899619
0.419969,0.017536,0.202177,0.004864,0.046784,0.001024,0.013376,0.184320,0.000512,0.896770
0.415521,0.017632,0.202656,0.004832,0.046817,0.000800,0.013376,0.160704,0.000608,0.868706
0.419937,0.017440,0.220929,0.005120,0.046848,0.000736,0.013312,0.206977,0.000704,0.939619
0.419745,0.017216,0.202273,0.004832,0.046848,0.000832,0.013568,0.171456,0.000576,0.884034
0.419969,0.017248,0.202784,0.004768,0.046849,0.000864,0.013344,0.180480,0.000576,0.893186
0.420257,0.017344,0.202977,0.004832,0.046912,0.000576,0.013312,0.165473,0.000640,0.878563
0.437089,0.017408,0.202497,0.004864,0.046944,0.000544,0.013376,0.170560,0.000576,0.900290
0.414945,0.017664,0.202304,0.004800,0.047169,0.000992,0.013408,0.171520,0.000544,0.881026
0.420001,0.017376,0.201985,0.004832,0.046752,0.000992,0.013280,0.170497,0.000544,0.882819
0.419745,0.017152,0.202465,0.004800,0.046880,0.000992,0.013376,0.212800,0.000512,0.924802
0.419585,0.017376,0.202272,0.004832,0.046817,0.000544,0.013408,0.166528,0.000544,0.878466
0.420001,0.017152,0.201985,0.004832,0.046912,0.000992,0.013344,0.169601,0.000576,0.881859
0.420129,0.017312,0.202273,0.004800,0.046720,0.001056,0.013376,0.177504,0.000576,0.890050
0.450657,0.017280,0.202624,0.004832,0.046721,0.000992,0.013280,0.177440,0.000576,0.920610
0.415650,0.017184,0.203392,0.004832,0.046720,0.000928,0.013344,0.169601,0.000512,0.878531
0.419841,0.017216,0.202369,0.004800,0.046720,0.000992,0.013280,0.189312,0.000480,0.901314
0.420385,0.017408,0.202720,0.004832,0.046785,0.000512,0.013312,0.169760,0.000608,0.882498
0.415906,0.017280,0.203584,0.004832,0.047040,0.000544,0.013312,0.166305,0.000544,0.876227
0.416289,0.017184,0.202977,0.004832,0.046912,0.000544,0.013376,0.181473,0.000544,0.890659
0.415265,0.017344,0.202497,0.004832,0.046752,0.000544,0.013376,0.170688,0.000544,0.878402
0.415586,0.017472,0.222528,0.004960,0.046848,0.000544,0.013376,0.171681,0.000576,0.900771
0.418081,0.017152,0.202849,0.004800,0.046816,0.000544,0.013344,0.171841,0.000544,0.882179
0.415457,0.017216,0.202497,0.004800,0.046816,0.000544,0.013312,0.164160,0.000544,0.871842
0.420450,0.017184,0.202400,0.004800,0.046752,0.000544,0.013280,0.169441,0.000576,0.882115
0.436385,0.017504,0.202401,0.004800,0.046784,0.000992,0.013280,0.183777,0.000448,0.912931
0.420129,0.017152,0.202145,0.004768,0.046784,0.000512,0.013376,0.191744,0.000512,0.903522
0.415426,0.017632,0.202112,0.004832,0.046912,0.000544,0.013344,0.172961,0.000576,0.881507
0.415489,0.017248,0.202529,0.004800,0.046752,0.000512,0.013312,0.201505,0.000736,0.909827
0.415265,0.017216,0.202657,0.004864,0.046848,0.000544,0.013376,0.179360,0.000512,0.887234
0.415618,0.017408,0.202528,0.004832,0.046752,0.000544,0.013344,0.167073,0.000480,0.875043
0.415841,0.017088,0.202273,0.004864,0.046752,0.000512,0.013344,0.171073,0.000512,0.878307
0.439521,0.017312,0.202977,0.004832,0.046752,0.000544,0.013312,0.192864,0.000576,0.925090
0.420577,0.017216,0.203328,0.004800,0.046849,0.000896,0.013312,0.188640,0.000544,0.903074
0.415330,0.017344,0.202176,0.004768,0.046752,0.000544,0.013280,0.177089,0.000480,0.884099
0.415553,0.017280,0.202529,0.004832,0.046976,0.000544,0.013376,0.186497,0.000512,0.894499
0.415937,0.017216,0.202209,0.004800,0.046784,0.000544,0.013344,0.178112,0.000512,0.885762
0.415586,0.017344,0.203072,0.004896,0.046816,0.000512,0.013344,0.177377,0.000512,0.886371
0.419809,0.017376,0.203233,0.004832,0.046848,0.000544,0.013312,0.181633,0.000512,0.894691
0.414753,0.017184,0.222465,0.005056,0.046752,0.000800,0.013344,0.209217,0.000480,0.936643
0.415969,0.017184,0.202752,0.004801,0.046784,0.000768,0.013376,0.179040,0.000704,0.888258
0.420258,0.017216,0.202240,0.004800,0.046816,0.000768,0.013344,0.206977,0.000544,0.919587
0.416737,0.017216,0.202625,0.004800,0.046816,0.000960,0.013376,0.176385,0.000544,0.885763
0.415233,0.017184,0.202145,0.004768,0.046784,0.000544,0.013312,0.170272,0.000480,0.877410
0.416770,0.017408,0.201856,0.004800,0.046848,0.000544,0.013344,0.205729,0.000704,0.914819
0.416097,0.017440,0.202049,0.004768,0.046752,0.000544,0.013248,0.164161,0.000512,0.871939
0.419809,0.017440,0.222945,0.005120,0.046816,0.000544,0.013312,0.179200,0.000512,0.912642
0.416257,0.017440,0.203072,0.004832,0.046881,0.000544,0.013408,0.177824,0.000576,0.888226
0.415809,0.017376,0.202561,0.004864,0.046880,0.000544,0.013344,0.173153,0.000512,0.881763
0.417313,0.017440,0.202081,0.004832,0.046752,0.000576,0.013312,0.173024,0.000544,0.882466
0.439873,0.017472,0.203200,0.004768,0.046913,0.000608,0.013376,0.168288,0.000544,0.901826
0.415329,0.017473,0.203136,0.004800,0.046848,0.000544,0.013312,0.168865,0.000544,0.877347
0.416097,0.017568,0.202529,0.004800,0.046976,0.000544,0.013312,0.175776,0.000544,0.884770
0.415425,0.017120,0.202592,0.004800,0.046881,0.000544,0.013312,0.207968,0.000512,0.915810
0.420290,0.017184,0.202240,0.004800,0.046848,0.000512,0.013312,0.173089,0.000544,0.885155
0.420065,0.017216,0.202145,0.004768,0.046848,0.000544,0.013376,0.173216,0.000512,0.885091
0.415489,0.017120,0.202176,0.004800,0.046849,0.000960,0.013312,0.174560,0.000512,0.881762
0.444962,0.017376,0.203040,0.004864,0.046976,0.000960,0.013376,0.194657,0.000704,0.935235
0.416321,0.017248,0.202977,0.004864,0.047008,0.000608,0.013312,0.175777,0.000544,0.885155
0.416705,0.017312,0.202913,0.004800,0.046912,0.000576,0.013376,0.182400,0.000576,0.892802
0.415457,0.017376,0.203136,0.004864,0.046816,0.000544,0.013313,0.185120,0.000544,0.893986
0.415361,0.017697,0.202688,0.004992,0.046880,0.000512,0.013312,0.186465,0.000544,0.894883
0.417185,0.017440,0.203041,0.004864,0.046944,0.000576,0.013408,0.184705,0.000544,0.896963
0.415457,0.017280,0.202337,0.004864,0.046944,0.000800,0.013408,0.179936,0.000544,0.889186
0.438497,0.017792,0.202432,0.004864,0.046913,0.000992,0.013376,0.176224,0.000544,0.909250
0.416194,0.017504,0.202816,0.004864,0.047008,0.000832,0.013376,0.188641,0.000544,0.898883
0.415137,0.017760,0.202177,0.004864,0.046944,0.000768,0.013568,0.158497,0.000544,0.868195
0.415425,0.017568,0.202209,0.004896,0.047072,0.000832,0.013632,0.183200,0.000512,0.893538
0.416833,0.017536,0.202144,0.004865,0.047328,0.001024,0.013696,0.171392,0.000544,0.882658
0.415554,0.017568,0.202560,0.004928,0.047104,0.000768,0.013440,0.172513,0.000640,0.882659
0.415521,0.017280,0.202305,0.004864,0.047232,0.000896,0.013408,0.184769,0.000736,0.894115
0.434401,0.017696,0.202369,0.004800,0.047232,0.001056,0.013440,0.213249,0.000960,0.942787
0.415521,0.017440,0.202401,0.004800,0.046976,0.000800,0.013472,0.166752,0.000544,0.875906
0.421410,0.017728,0.202720,0.004832,0.047616,0.001024,0.013376,0.178497,0.000544,0.894755
0.416225,0.017728,0.202657,0.004800,0.047200,0.000992,0.013376,0.181793,0.000512,0.892323
0.415713,0.017280,0.202273,0.004864,0.046976,0.000800,0.013408,0.183265,0.000512,0.892323
0.415489,0.017504,0.202337,0.004896,0.047136,0.000800,0.013408,0.172416,0.000544,0.881890
0.416034,0.017568,0.201888,0.004960,0.047840,0.001024,0.013440,0.179137,0.000736,0.890467
0.416097,0.017376,0.224289,0.005184,0.047360,0.000576,0.013568,0.181697,0.000640,0.914435
0.415233,0.017376,0.202657,0.004960,0.047104,0.001024,0.013440,0.188065,0.000608,0.897507
0.419841,0.017440,0.202273,0.004896,0.047040,0.000800,0.013376,0.176288,0.000576,0.889794
0.415009,0.017600,0.202496,0.004864,0.046945,0.000800,0.013408,0.174304,0.000576,0.883650
0.415649,0.017505,0.203424,0.004864,0.047264,0.001024,0.013600,0.178369,0.000640,0.889443
0.415681,0.017632,0.202241,0.004832,0.047072,0.001024,0.013440,0.184289,0.000576,0.893859
0.419937,0.017408,0.202561,0.004832,0.047008,0.000832,0.013664,0.186944,0.000544,0.901026
0.416065,0.017664,0.220704,0.005152,0.047169,0.000576,0.013600,0.169216,0.000640,0.898594
