Layer[0],Layer[1],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.433601,0.018017,0.763266,0.001120,0.002368,0.001024,0.000384,1.226660
0.417313,0.017728,0.756130,0.000896,0.002560,0.001184,0.000416,1.203523
0.417057,0.017504,0.752994,0.000896,0.002080,0.001120,0.000352,1.198659
0.423233,0.017504,0.764355,0.000768,0.002176,0.001120,0.000640,1.216964
0.421537,0.017696,0.760866,0.000896,0.002368,0.001120,0.000384,1.211779
0.421377,0.017696,0.781058,0.000736,0.002464,0.001248,0.000384,1.232131
0.420994,0.017504,0.760290,0.000800,0.002240,0.001184,0.000384,1.210276
0.421217,0.017792,0.756578,0.000704,0.002240,0.001184,0.000416,1.207139
0.421121,0.034752,0.767459,0.000800,0.002400,0.001216,0.000352,1.235524
0.421057,0.017504,0.744802,0.000800,0.002240,0.001056,0.000384,1.194499
0.420993,0.017536,0.757698,0.000704,0.002464,0.001120,0.000384,1.208419
0.422050,0.017600,0.762754,0.000736,0.002304,0.001056,0.000576,1.213892
0.420897,0.017632,0.736802,0.000832,0.002240,0.001184,0.000384,1.186883
0.421377,0.017664,0.783203,0.001056,0.002368,0.001184,0.000608,1.234596
0.416098,0.017344,0.744290,0.000736,0.002144,0.001120,0.000576,1.188836
0.420737,0.017440,0.754946,0.000736,0.002336,0.001088,0.000576,1.204259
0.420737,0.017472,0.783939,0.001120,0.002496,0.001152,0.000384,1.234180
0.421409,0.017632,0.750018,0.000736,0.002208,0.001088,0.000352,1.199971
0.416417,0.017664,0.751394,0.000768,0.002176,0.001184,0.000608,1.196675
0.440353,0.017760,0.759427,0.000800,0.002400,0.001184,0.000384,1.229124
0.416033,0.017568,0.756738,0.000736,0.002592,0.001184,0.000416,1.202211
0.415873,0.017280,0.747906,0.000736,0.002112,0.001440,0.000576,1.192803
0.420706,0.017376,0.749634,0.000832,0.002624,0.001216,0.000352,1.199684
0.415553,0.017344,0.749154,0.000800,0.002368,0.001120,0.000384,1.193379
0.420257,0.017440,0.820483,0.000800,0.002304,0.001312,0.000608,1.270468
0.415873,0.017248,0.752834,0.000736,0.002368,0.001120,0.000576,1.198435
0.420161,0.017440,0.749762,0.000704,0.002144,0.001152,0.000576,1.198595
0.417953,0.017536,0.772707,0.000736,0.002272,0.001120,0.000416,1.220004
0.415745,0.017664,0.739874,0.000800,0.002304,0.001088,0.000384,1.184259
0.415617,0.017536,0.751970,0.000800,0.002464,0.001248,0.000608,1.197091
0.451585,0.017761,0.768194,0.000896,0.002464,0.001024,0.000608,1.250116
0.421313,0.017664,0.753378,0.000864,0.003168,0.001280,0.000608,1.205443
0.415905,0.017504,0.756226,0.000736,0.002304,0.001248,0.000352,1.201155
0.420769,0.017728,0.749538,0.000768,0.002400,0.001184,0.000608,1.199971
0.421121,0.017504,0.768226,0.000736,0.002016,0.001120,0.000384,1.217859
0.419777,0.017280,0.764515,0.001056,0.002432,0.001248,0.000704,1.214276
0.420737,0.017632,0.749954,0.000864,0.002112,0.001248,0.000352,1.199811
0.415809,0.017376,0.750178,0.000704,0.002048,0.001280,0.000352,1.194403
0.419745,0.017440,0.789410,0.000672,0.002464,0.001280,0.000352,1.237988
0.419905,0.017312,0.745506,0.000768,0.002432,0.001056,0.000352,1.193891
0.415617,0.017632,0.757890,0.000768,0.002656,0.001216,0.000352,1.203363
0.438658,0.017728,0.764866,0.000832,0.002976,0.001152,0.000320,1.233828
0.421025,0.017504,0.743234,0.000672,0.002752,0.001344,0.000352,1.193635
0.420577,0.017504,0.752259,0.000800,0.002336,0.001280,0.000608,1.201924
0.420161,0.017632,0.736546,0.000704,0.002464,0.001088,0.000384,1.185219
0.419617,0.017312,0.749794,0.000736,0.002528,0.001184,0.000384,1.198307
0.414721,0.017601,0.757378,0.000704,0.002176,0.001344,0.000672,1.201668
0.415585,0.017760,0.754530,0.000704,0.002336,0.001088,0.000352,1.198979
0.416353,0.017728,0.755170,0.000864,0.002112,0.001184,0.000576,1.200387
0.415329,0.017665,0.771010,0.001152,0.002368,0.001056,0.000352,1.215588
0.421537,0.018336,0.752642,0.001024,0.002208,0.001344,0.000640,1.205699
0.420545,0.017504,0.752098,0.000800,0.002720,0.001248,0.000576,1.202307
0.437538,0.017536,0.759426,0.000768,0.002240,0.001536,0.000448,1.227044
0.419969,0.017664,0.750562,0.000768,0.002144,0.001152,0.000352,1.199171
0.419617,0.017376,0.741698,0.000768,0.002240,0.001184,0.000352,1.190115
0.419906,0.017440,0.749122,0.000672,0.002368,0.001184,0.000384,1.197540
0.420193,0.017792,0.745922,0.000704,0.002176,0.001152,0.000608,1.195619
0.419905,0.017536,0.766339,0.000672,0.002208,0.001280,0.000608,1.215172
0.419905,0.017536,0.751042,0.000768,0.002624,0.001280,0.000384,1.200195
0.419873,0.017600,0.739458,0.000704,0.002304,0.001152,0.000544,1.187843
0.420193,0.017600,0.794403,0.000832,0.002432,0.001216,0.000576,1.245092
0.420513,0.017536,0.739842,0.000800,0.002496,0.001440,0.000384,1.189699
0.420705,0.017696,0.740066,0.000704,0.002368,0.001216,0.000576,1.190435
0.440450,0.017728,0.758242,0.000896,0.003040,0.001152,0.000544,1.229252
0.416417,0.017536,0.759618,0.000800,0.002144,0.001280,0.000384,1.204995
0.416385,0.017440,0.751106,0.000864,0.002592,0.001089,0.000416,1.196132
0.420449,0.017280,0.755426,0.000768,0.002656,0.001152,0.000576,1.204611
0.416033,0.017344,0.751842,0.000768,0.002208,0.001216,0.000608,1.196419
0.420833,0.018241,0.777218,0.000832,0.002368,0.001120,0.000352,1.227844
0.426561,0.017472,0.741186,0.000768,0.002496,0.001152,0.000384,1.196899
0.417793,0.017600,0.752162,0.000800,0.002592,0.001312,0.000608,1.200131
0.420898,0.017536,0.761922,0.000928,0.002528,0.001184,0.000384,1.212324
0.420769,0.017856,0.755522,0.000800,0.002336,0.001184,0.000320,1.205699
0.421185,0.017760,0.745731,0.000960,0.002176,0.001120,0.000608,1.196676
0.438881,0.017472,0.744802,0.000800,0.002432,0.001184,0.000576,1.213155
0.420257,0.017600,0.739490,0.000736,0.002272,0.001216,0.000608,1.189155
0.420097,0.017537,0.776322,0.000768,0.002368,0.001248,0.000608,1.226116
0.420545,0.017568,0.755394,0.000832,0.002176,0.001120,0.000576,1.206339
0.420481,0.017664,0.736194,0.000704,0.002112,0.001184,0.000416,1.185475
0.416578,0.017664,0.792770,0.000864,0.002720,0.001376,0.000416,1.240420
0.416705,0.017728,0.750914,0.000896,0.002464,0.001088,0.000352,1.197411
0.415521,0.017728,0.750114,0.000704,0.002304,0.001152,0.000576,1.195012
0.420769,0.017696,0.771874,0.000768,0.002560,0.001152,0.000544,1.222691
0.420737,0.017472,0.739778,0.000704,0.002208,0.001248,0.000576,1.189443
0.420962,0.017600,0.750626,0.000704,0.002720,0.001472,0.000608,1.201764
0.437729,0.017824,0.741186,0.000832,0.002208,0.001184,0.000576,1.208099
0.420257,0.017728,0.748450,0.000769,0.002112,0.001152,0.000576,1.198436
0.420449,0.017504,0.761762,0.000800,0.002208,0.001312,0.000608,1.212003
0.420065,0.017632,0.736322,0.000768,0.002080,0.001216,0.000384,1.185539
0.420545,0.017569,0.749954,0.000736,0.002272,0.001280,0.000608,1.200036
0.416449,0.017664,0.768418,0.000832,0.002496,0.001152,0.000352,1.215683
0.420385,0.017568,0.750306,0.000768,0.002304,0.001088,0.000384,1.199459
0.416450,0.017504,0.750434,0.000864,0.002528,0.001184,0.000608,1.197476
0.416129,0.035456,0.743298,0.000736,0.002368,0.001152,0.000352,1.206371
0.420129,0.017696,0.745122,0.001153,0.002560,0.001344,0.000448,1.195972
0.420737,0.017568,0.739746,0.001216,0.003008,0.001344,0.000608,1.190979
0.438401,0.017344,0.759938,0.000704,0.002368,0.001184,0.000352,1.227747
0.420290,0.018176,0.750914,0.000736,0.002240,0.001152,0.000576,1.200228
0.420609,0.017664,0.779874,0.000704,0.002400,0.001248,0.000352,1.229923
0.422145,0.017664,0.762115,0.000672,0.002720,0.001184,0.000416,1.214564
0.416993,0.017504,0.758178,0.000672,0.002368,0.001408,0.000384,1.205379
0.416545,0.017696,0.778722,0.000832,0.002656,0.001376,0.000448,1.226147
0.420546,0.017696,0.748898,0.000768,0.002240,0.001344,0.000608,1.200356
0.416545,0.017696,0.749186,0.000960,0.002432,0.001216,0.000608,1.195555
0.438049,0.018113,0.752898,0.000800,0.002048,0.001216,0.000576,1.221252
0.420097,0.017568,0.771490,0.000768,0.002272,0.001216,0.000384,1.220803
0.420225,0.017728,0.743906,0.000704,0.002304,0.001184,0.000416,1.193603
0.415458,0.017376,0.753794,0.000736,0.002240,0.001216,0.000608,1.198180
0.420481,0.017632,0.747714,0.000768,0.002240,0.001184,0.000576,1.197923
0.416289,0.017824,0.807715,0.000832,0.002528,0.001440,0.000576,1.256420
0.420481,0.017664,0.752642,0.000704,0.003168,0.001280,0.000352,1.203395
0.420545,0.017600,0.749411,0.000864,0.002336,0.001216,0.000608,1.199620
0.420993,0.017632,0.758850,0.000832,0.002336,0.001152,0.000608,1.209507
0.415905,0.017472,0.741538,0.000768,0.002784,0.001216,0.000384,1.186563
0.420706,0.017696,0.750562,0.000704,0.002176,0.001312,0.000608,1.201188
0.432833,0.017408,0.781474,0.000768,0.002432,0.001120,0.000576,1.243715
0.420385,0.017505,0.748418,0.000736,0.002208,0.001120,0.000608,1.198020
0.416065,0.017664,0.749442,0.000672,0.002528,0.001184,0.000384,1.194563
0.420449,0.017536,0.742786,0.000704,0.002304,0.001120,0.000544,1.191811
0.420738,0.017376,0.751970,0.000704,0.002464,0.001152,0.000608,1.202436
0.420769,0.017344,0.782082,0.001216,0.002464,0.001344,0.000608,1.234307
0.420450,0.017632,0.745602,0.000768,0.002400,0.001120,0.000384,1.195524
0.420673,0.017408,0.740098,0.001152,0.002368,0.001216,0.000640,1.191619
0.416289,0.017536,0.760962,0.000768,0.002657,0.001056,0.000384,1.206564
0.420418,0.017600,0.737986,0.000672,0.002432,0.001280,0.000448,1.187556
0.416065,0.017504,0.743746,0.000736,0.002272,0.001120,0.000576,1.188419
0.431170,0.017824,0.754594,0.000736,0.002080,0.001152,0.000352,1.215396
0.419873,0.017440,0.749314,0.000704,0.002080,0.001312,0.000416,1.197539
