Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.432513,0.017536,0.202208,0.005248,0.048129,0.000608,0.183808,0.000736,0.002048,0.001184,0.000384,0.904322
0.415937,0.017440,0.202336,0.004992,0.049056,0.000544,0.179649,0.000608,0.001792,0.000992,0.000480,0.880707
0.416065,0.017952,0.201729,0.005120,0.048672,0.000544,0.182592,0.000672,0.001824,0.001024,0.000352,0.884162
0.415937,0.017248,0.202752,0.004960,0.048449,0.000576,0.174848,0.000736,0.001920,0.000960,0.000288,0.875650
0.415905,0.017952,0.202177,0.004864,0.049280,0.000576,0.182721,0.000704,0.002048,0.001152,0.000256,0.884547
0.415233,0.017664,0.202209,0.004864,0.048448,0.000576,0.187680,0.000704,0.002016,0.000896,0.000256,0.887394
0.415585,0.017536,0.201984,0.004800,0.047104,0.000609,0.181504,0.000704,0.002016,0.000960,0.000288,0.880098
0.415361,0.017536,0.216897,0.005248,0.047264,0.000576,0.183041,0.000672,0.001920,0.001024,0.000352,0.897955
0.416321,0.017856,0.201857,0.004832,0.049664,0.000544,0.180480,0.000640,0.001984,0.001024,0.000352,0.883298
0.418049,0.017600,0.207136,0.004864,0.048897,0.000576,0.193760,0.000672,0.002144,0.001184,0.000320,0.904162
0.416258,0.017760,0.204576,0.004832,0.048032,0.000640,0.181473,0.000608,0.002112,0.001120,0.000352,0.885955
0.416545,0.017792,0.203009,0.004832,0.048096,0.000576,0.187329,0.000736,0.001920,0.001184,0.000320,0.890339
0.415393,0.017344,0.204129,0.005056,0.048128,0.000576,0.201504,0.000640,0.001952,0.001152,0.000352,0.904258
0.415585,0.017472,0.202464,0.005024,0.049249,0.000608,0.188896,0.000640,0.001920,0.001184,0.000352,0.890690
0.415266,0.017248,0.218944,0.005088,0.048992,0.000576,0.184033,0.000512,0.001792,0.001120,0.000352,0.901699
0.415937,0.017440,0.202625,0.004864,0.047040,0.000544,0.188097,0.000544,0.001824,0.001120,0.000352,0.887747
0.415521,0.017312,0.202369,0.005024,0.046880,0.000608,0.194080,0.000640,0.001792,0.001056,0.000352,0.892994
0.415585,0.017408,0.201856,0.005088,0.046720,0.000608,0.181025,0.000608,0.001792,0.001152,0.000320,0.879618
0.442337,0.017441,0.202048,0.005056,0.047200,0.000544,0.186209,0.000736,0.001920,0.001088,0.000352,0.912451
0.415905,0.017376,0.201921,0.005088,0.046976,0.000544,0.187104,0.000640,0.001984,0.001216,0.000288,0.887106
0.415553,0.017472,0.202145,0.005024,0.046976,0.000544,0.195072,0.000608,0.001952,0.001120,0.000352,0.894370
0.415810,0.017408,0.220096,0.005216,0.046816,0.000576,0.173473,0.000736,0.001824,0.001120,0.000320,0.891203
0.415713,0.017248,0.202529,0.004832,0.047264,0.000576,0.186049,0.000608,0.001792,0.001056,0.000352,0.885475
