Layer[0],Layer[8],Layer[9],Layer[10],classifier
0.416929,0.802722,0.001376,0.000384,1.226915
0.416929,0.745410,0.001408,0.000384,1.169795
0.417313,0.795746,0.001440,0.000416,1.219811
0.416065,0.797602,0.001536,0.000384,1.220899
0.416161,0.772098,0.001344,0.000384,1.195075
0.420641,0.802754,0.001248,0.000384,1.230723
0.416001,0.761763,0.001312,0.000352,1.184548
0.416225,0.780834,0.001344,0.000448,1.205475
0.430945,0.774403,0.001536,0.000416,1.212964
0.417281,0.776546,0.001376,0.000352,1.200771
0.417537,0.776611,0.001376,0.000416,1.201188
0.415969,0.777474,0.001312,0.000416,1.200675
0.416386,0.764130,0.001344,0.000416,1.187812
0.416641,0.784482,0.001504,0.000544,1.208419
0.420898,0.763202,0.001376,0.000416,1.191620
0.416769,0.775970,0.001280,0.000416,1.200131
0.416098,0.847266,0.001504,0.000416,1.270692
0.416193,0.782115,0.001504,0.000416,1.207940
0.416961,0.776898,0.001376,0.000416,1.200707
0.432801,0.766339,0.001312,0.000448,1.206084
0.418401,0.775874,0.001344,0.000384,1.200707
0.416545,0.771107,0.001280,0.000384,1.194948
0.420833,0.773346,0.001312,0.000416,1.201475
0.416034,0.772034,0.001536,0.000384,1.195204
0.422305,0.800226,0.001440,0.000384,1.228931
0.416321,0.800674,0.001344,0.000384,1.224195
0.415969,0.776163,0.001408,0.000384,1.199396
0.421697,0.784738,0.001536,0.000480,1.214595
0.416449,0.763331,0.001344,0.000384,1.186372
0.416993,0.763010,0.001376,0.000384,1.187427
0.441250,0.802498,0.001408,0.000384,1.251236
0.420577,0.766338,0.001376,0.000416,1.194499
0.416866,0.771394,0.001312,0.000416,1.194948
0.415905,0.774850,0.001376,0.000352,1.197731
0.416673,0.773218,0.001280,0.000384,1.196515
0.420289,0.794723,0.001344,0.000384,1.221956
0.417793,0.772674,0.001248,0.000416,1.198851
0.417442,0.776674,0.001280,0.000384,1.202212
0.417057,0.791522,0.001248,0.000384,1.215715
0.417569,0.761890,0.001216,0.000512,1.186787
0.416321,0.770978,0.001248,0.000448,1.193827
0.432801,0.782786,0.001248,0.000416,1.223427
0.416001,0.762018,0.001376,0.000416,1.185411
0.420609,0.775202,0.001312,0.000384,1.203011
0.437922,0.772578,0.001152,0.000384,1.216964
0.420193,0.795970,0.001344,0.000416,1.223939
0.416129,0.799330,0.001536,0.000416,1.223363
0.416513,0.761155,0.001376,0.000352,1.185476
0.416225,0.767234,0.001312,0.000384,1.190435
0.420514,0.783874,0.001536,0.000384,1.212452
0.421697,0.816610,0.001440,0.000384,1.245443
0.416129,0.773314,0.001216,0.000384,1.197347
0.416577,0.789123,0.001280,0.000384,1.212516
0.417505,0.779362,0.001280,0.000416,1.204355
0.420610,0.775554,0.001248,0.000416,1.202884
0.432577,0.769634,0.001216,0.000384,1.210083
0.416193,0.779906,0.001408,0.000352,1.202979
0.417505,0.767619,0.001184,0.000448,1.191940
0.416449,0.775106,0.001312,0.000416,1.198563
0.416802,0.775746,0.001280,0.000448,1.199556
0.421505,0.841347,0.001312,0.000416,1.269636
0.416033,0.802882,0.001280,0.000384,1.225795
0.421634,0.772866,0.001248,0.000320,1.201284
0.417249,0.794978,0.001248,0.000384,1.219459
0.417409,0.775874,0.001312,0.000384,1.200451
0.420450,0.804002,0.001312,0.000384,1.231172
0.434817,0.775810,0.001408,0.000384,1.219203
0.417185,0.783330,0.001312,0.000320,1.207459
0.417058,0.773474,0.001344,0.000320,1.197508
0.420993,0.770754,0.001376,0.000352,1.198659
0.420577,0.775938,0.001248,0.000416,1.203267
0.416097,0.793859,0.001408,0.000384,1.217540
0.416193,0.760898,0.001312,0.000384,1.184099
0.417762,0.781570,0.001472,0.000384,1.207268
0.416609,0.794114,0.001440,0.000352,1.217699
0.416385,0.767906,0.001344,0.000384,1.191779
0.417378,0.781474,0.001536,0.000448,1.208100
0.433857,0.780098,0.001344,0.000416,1.220195
0.417377,0.771778,0.001408,0.000480,1.197571
0.418082,0.772546,0.001472,0.000416,1.197924
0.422785,0.801218,0.001440,0.000384,1.231043
0.417089,0.773026,0.001440,0.000480,1.197251
0.420930,0.848834,0.001376,0.000480,1.276964
0.417697,0.780131,0.001376,0.000384,1.204516
0.421121,0.760162,0.001280,0.000416,1.188515
0.421761,0.780322,0.001504,0.000448,1.209635
0.416929,0.781346,0.001312,0.000384,1.208163
0.422081,0.774402,0.001376,0.000384,1.203267
0.432034,0.775906,0.001408,0.000512,1.215332
0.417377,0.770402,0.001376,0.000448,1.194883
0.416673,0.768994,0.001280,0.000352,1.192259
0.417826,0.775618,0.001408,0.000384,1.200964
0.417089,0.774658,0.001280,0.000416,1.199075
0.416705,0.799074,0.001408,0.000416,1.223011
0.415874,0.775618,0.001280,0.000416,1.198916
0.417153,0.774338,0.001376,0.000512,1.198691
0.416449,0.808354,0.001344,0.000384,1.234947
0.417697,0.778466,0.001408,0.000416,1.203363
0.416673,0.779491,0.001504,0.000416,1.205732
0.452001,0.773954,0.001216,0.000480,1.232963
0.417569,0.762434,0.001440,0.000416,1.188131
0.417890,0.795266,0.001376,0.000448,1.220356
0.416609,0.780578,0.001441,0.000416,1.204868
0.416929,0.802274,0.001312,0.000384,1.225635
0.417857,0.801922,0.001248,0.000416,1.226787
0.417602,0.802146,0.001600,0.000416,1.226916
0.417345,0.773666,0.001376,0.000576,1.198787
0.416129,0.791202,0.001248,0.000448,1.214435
0.417698,0.768994,0.001312,0.000416,1.193604
0.416961,0.774050,0.001440,0.000352,1.197923
0.438657,0.780994,0.001312,0.000416,1.227427
0.416929,0.826914,0.001952,0.000608,1.253283
0.416354,0.781026,0.001536,0.000384,1.205252
0.418209,0.773987,0.001440,0.000384,1.199556
0.418561,0.770818,0.001408,0.000416,1.197827
0.418753,0.802402,0.001536,0.000480,1.228547
0.416641,0.777538,0.001440,0.000352,1.201347
0.417441,0.770723,0.001376,0.000416,1.194852
0.417249,0.816450,0.001536,0.000352,1.240995
0.416609,0.768130,0.001376,0.000320,1.191491
0.416482,0.777090,0.001408,0.000448,1.200356
0.436001,0.776578,0.001440,0.000416,1.219299
