size,input(us),output(us)
1,110.280998230,68.742000580
1,82.439001083,58.853000641
1,81.606998444,60.645000458
1,78.566999435,77.957998276
1,76.103000641,66.597000122
1,86.759000778,57.125000000
1,82.119001389,60.900999069
1,79.687000275,58.243999481
1,75.846000671,57.028999329
1,74.309999466,57.828998566
1,76.934999466,58.692998886
1,88.806999207,58.309000015
1,82.439001083,61.156999588
1,77.062000275,59.748998642
1,78.983001709,57.957000732
1,75.654001236,57.253000259
1,94.408000946,67.238000870
1,79.175001144,58.053001404
1,93.063999176,61.892999649
1,73.029998779,57.475999832
1,94.215999603,62.534000397
1,72.454000473,56.933000565
1,97.576000214,62.693000793
1,75.238000870,57.541000366
1,90.791999817,66.150001526
1,73.829999924,60.932998657
1,88.392000198,61.253000259
1,76.453998566,58.437000275
1,82.566999435,63.045000076
1,74.982000351,60.933000565
1,80.263000488,60.580999374
1,75.333999634,59.460998535
1,82.343000412,60.805000305
1,76.357999802,59.973999023
1,97.640001297,66.790000916
1,74.725999832,59.589000702
1,84.199001312,62.661001205
1,75.781999588,58.436998367
1,106.985000610,62.756999969
1,76.038999557,58.117000580
1,91.399000168,64.645999908
1,74.213998795,58.660999298
1,95.687999725,67.750000000
1,76.071001053,57.380001068
1,98.343999863,63.878000259
1,78.023000717,57.156999588
1,94.247999191,63.781000137
1,79.270999908,63.364999771
1,104.296998978,65.188999176
1,77.446001053,60.517000198
1,96.263999939,60.805000305
1,80.326999664,57.636001587
1,98.920000076,59.301000595
1,78.886999130,58.309000015
1,76.486000061,115.529998779
1,73.318000793,58.212999344
1,72.678001404,57.572999954
1,73.798000336,57.604999542
1,73.253999710,57.892999649
1,87.527999878,62.340999603
1,76.454999924,57.763999939
1,104.520999908,72.166000366
1,77.157999039,58.916999817
1,80.647001266,63.333000183
