Layer[0],IN[1],INFER[1-3],OUT[3],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.394508,0.149893,0.546832,0.064034,0.764439,0.047713,0.000672,0.013505,0.000384,0.001504,0.001184,0.000384,1.229925
0.395276,0.170693,0.552752,0.075523,0.803192,0.048321,0.000704,0.013569,0.000384,0.001568,0.001280,0.000384,1.272486
0.395947,0.156741,0.537008,0.066434,0.764183,0.048033,0.000736,0.013633,0.000352,0.001536,0.001184,0.000384,1.233636
0.396140,0.171077,0.537936,0.069666,0.782423,0.050050,0.000704,0.013696,0.000448,0.001568,0.001216,0.000416,1.254245
0.395819,0.190118,0.565745,0.068546,0.828505,0.049793,0.000609,0.013600,0.000384,0.001536,0.001184,0.000448,1.298918
0.395371,0.169253,0.539183,0.066530,0.779160,0.048577,0.000672,0.013536,0.000384,0.001569,0.001248,0.000416,1.248421
0.396300,0.170629,0.550192,0.068098,0.793175,0.050562,0.000672,0.013600,0.000384,0.001600,0.001184,0.000416,1.265574
0.395468,0.172965,0.537488,0.066594,0.781111,0.051361,0.000640,0.014145,0.000480,0.001632,0.001312,0.000416,1.253317
0.396236,0.167109,0.538224,0.066690,0.775639,0.050082,0.000672,0.013664,0.000416,0.001632,0.001184,0.000416,1.246885
0.395884,0.165125,0.554929,0.084802,0.809656,0.049538,0.000640,0.013568,0.000416,0.001632,0.001248,0.000416,1.280678
0.396364,0.167205,0.539632,0.066786,0.778199,0.049441,0.000544,0.013601,0.000416,0.001568,0.001152,0.000384,1.248613
0.395500,0.155076,0.538544,0.066050,0.763574,0.049986,0.000640,0.014016,0.000448,0.001664,0.001088,0.000448,1.234981
0.418028,0.168709,0.540432,0.068546,0.781304,0.050465,0.000672,0.013697,0.000416,0.001824,0.001216,0.000384,1.276294
0.395724,0.196326,0.538128,0.068578,0.807096,0.049825,0.000608,0.013601,0.000352,0.001856,0.001280,0.000416,1.277926
0.395596,0.169637,0.538352,0.072834,0.784887,0.050018,0.000672,0.013536,0.000416,0.001568,0.001152,0.000384,1.256165
0.395628,0.169157,0.539248,0.067106,0.779959,0.049601,0.000640,0.013569,0.000384,0.001600,0.001120,0.000672,1.250053
0.396107,0.172261,0.553360,0.069698,0.799255,0.050434,0.000768,0.013664,0.000416,0.001600,0.001248,0.000448,1.271493
0.395756,0.172069,0.562096,0.079906,0.818104,0.050977,0.000672,0.013696,0.000384,0.001440,0.001216,0.000416,1.289414
0.395947,0.146852,0.547184,0.068002,0.767190,0.050626,0.000672,0.014016,0.000416,0.001632,0.001408,0.000416,1.240868
0.395852,0.171365,0.538544,0.079778,0.793463,0.050850,0.000704,0.014208,0.000416,0.001888,0.001217,0.000352,1.265990
0.412236,0.199526,0.538160,0.066786,0.808408,0.051170,0.000640,0.013664,0.000352,0.001536,0.001440,0.000448,1.296550
0.395692,0.170405,0.538768,0.067202,0.779991,0.050785,0.000704,0.013569,0.000352,0.001472,0.001184,0.000608,1.252549
0.395404,0.171397,0.556753,0.076610,0.809080,0.049794,0.000736,0.013664,0.000416,0.001536,0.001312,0.000384,1.279846
0.395691,0.158469,0.548208,0.068066,0.778423,0.049826,0.000640,0.013664,0.000384,0.001536,0.001344,0.000608,1.249125
0.395436,0.197574,0.537648,0.066402,0.805272,0.049761,0.000608,0.013601,0.000352,0.001504,0.001120,0.000608,1.275270
0.395852,0.181253,0.539568,0.066978,0.791863,0.050914,0.000736,0.013664,0.000448,0.001601,0.001152,0.000448,1.263878
