Layer[0],Layer[1],IN[2],INFER[2-2],OUT[2],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395147,0.017472,0.136516,0.525776,0.069218,0.735222,0.005472,0.048769,0.000896,0.013473,0.000352,0.001376,0.001184,0.000352,1.227332
0.395148,0.034785,0.137124,0.526607,0.069699,0.737430,0.005312,0.048225,0.000832,0.013473,0.000384,0.001536,0.001184,0.000608,1.247109
0.395276,0.017473,0.135556,0.525647,0.069122,0.733909,0.005313,0.048353,0.000864,0.013473,0.000352,0.001536,0.001120,0.000384,1.225957
0.396171,0.017985,0.138116,0.514927,0.069186,0.725845,0.005473,0.049121,0.000832,0.013504,0.000384,0.001440,0.001184,0.000640,1.220548
0.394796,0.017312,0.145316,0.511279,0.068738,0.729270,0.005376,0.049217,0.000992,0.013505,0.000384,0.001536,0.001216,0.000672,1.222020
0.394955,0.017601,0.137316,0.512879,0.069026,0.722965,0.005600,0.048673,0.000896,0.013472,0.000448,0.001504,0.001121,0.000384,1.215908
0.395148,0.017729,0.136516,0.531568,0.078498,0.750934,0.005440,0.049122,0.000864,0.013440,0.000416,0.001504,0.001120,0.000576,1.244101
0.395852,0.017664,0.140645,0.514063,0.073154,0.731766,0.005408,0.048546,0.000864,0.013664,0.000384,0.001536,0.001184,0.000384,1.224740
0.395500,0.017728,0.139364,0.514352,0.070658,0.728502,0.005440,0.048193,0.000833,0.013536,0.000384,0.001568,0.001248,0.000384,1.221252
0.395371,0.017376,0.155525,0.512751,0.069858,0.742262,0.005856,0.049058,0.000960,0.013632,0.000448,0.001536,0.001152,0.000576,1.236004
0.394988,0.017440,0.135044,0.528112,0.070114,0.737590,0.005376,0.048258,0.000832,0.013472,0.000416,0.001504,0.001248,0.000384,1.229316
0.394764,0.017632,0.137252,0.527696,0.070274,0.738998,0.005600,0.048930,0.001056,0.013504,0.000384,0.001440,0.001152,0.000544,1.231652
0.413292,0.017537,0.139172,0.513359,0.068994,0.725077,0.005441,0.048545,0.000864,0.013504,0.000352,0.001440,0.001216,0.000640,1.235909
0.396076,0.017377,0.134340,0.522063,0.070434,0.730837,0.005473,0.048513,0.000800,0.013568,0.000384,0.001568,0.001184,0.000352,1.224069
0.395468,0.017504,0.130884,0.513103,0.089826,0.737846,0.013473,0.048609,0.000864,0.013505,0.000384,0.001472,0.001056,0.000384,1.238117
0.395340,0.017921,0.131683,0.512752,0.070146,0.718645,0.005536,0.048769,0.001120,0.013633,0.000384,0.001568,0.001152,0.000608,1.213668
0.395468,0.017441,0.127395,0.511823,0.069794,0.712885,0.005600,0.048257,0.000832,0.013537,0.000384,0.001504,0.001120,0.000576,1.205316
0.396012,0.017249,0.141412,0.531472,0.080738,0.757686,0.005568,0.049378,0.000864,0.013504,0.000384,0.001472,0.001184,0.000352,1.251653
0.396044,0.017409,0.146980,0.512943,0.072899,0.736982,0.005376,0.050273,0.000992,0.013505,0.000352,0.001536,0.001184,0.000448,1.231845
0.394604,0.017537,0.128067,0.512272,0.070370,0.714741,0.005376,0.048737,0.000832,0.013473,0.000384,0.001536,0.001184,0.000416,1.206468
0.411917,0.017600,0.136868,0.526288,0.070274,0.737398,0.005408,0.048674,0.000800,0.013504,0.000384,0.001536,0.001248,0.000352,1.246437
