Layer[0],Layer[1],IN[2],INFER[2-6],OUT[6],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.412492,0.017729,0.138756,0.594417,0.070947,0.808024,0.000672,0.003040,0.001152,0.000384,1.250309
0.395755,0.017505,0.135652,0.597970,0.070978,0.807640,0.000704,0.005248,0.001248,0.000544,1.235012
0.396588,0.017985,0.133859,0.602065,0.080803,0.820760,0.000768,0.003264,0.001248,0.000448,1.248005
0.396044,0.017825,0.123267,0.582098,0.065090,0.773911,0.000992,0.005536,0.001120,0.000416,1.202180
0.395852,0.017600,0.137796,0.583186,0.079202,0.803960,0.000736,0.005440,0.001248,0.000384,1.232068
0.395979,0.017697,0.139908,0.614994,0.077091,0.835737,0.000672,0.002976,0.001216,0.000352,1.261925
0.395852,0.017824,0.121444,0.584753,0.065410,0.775383,0.000736,0.004000,0.001216,0.000320,1.201251
0.395499,0.017857,0.139428,0.584305,0.066754,0.794103,0.000864,0.005089,0.001248,0.000384,1.221988
0.417644,0.018049,0.137348,0.595025,0.067458,0.803159,0.000768,0.003040,0.001280,0.000352,1.250565
0.395755,0.017601,0.137700,0.584145,0.070562,0.795799,0.000704,0.004064,0.001600,0.000416,1.222020
0.395851,0.017792,0.136644,0.585585,0.074659,0.800216,0.000672,0.004032,0.001216,0.000480,1.247237
0.395852,0.017857,0.123331,0.585681,0.069954,0.782391,0.000704,0.003200,0.001184,0.000384,1.208548
0.395852,0.017729,0.143044,0.584753,0.071074,0.802519,0.000672,0.003776,0.001184,0.000448,1.228709
0.396075,0.017825,0.129604,0.613842,0.072770,0.819960,0.000704,0.005184,0.001280,0.000384,1.248036
0.395628,0.017729,0.137764,0.584049,0.066178,0.791543,0.000768,0.004128,0.001184,0.000384,1.218148
0.396011,0.017537,0.124964,0.583345,0.065378,0.777431,0.000768,0.003328,0.001120,0.000352,1.202755
0.413836,0.017889,0.122660,0.583473,0.065410,0.776823,0.000768,0.003040,0.001248,0.000416,1.220292
0.396556,0.017568,0.136036,0.588402,0.068002,0.796280,0.000736,0.002368,0.001184,0.000320,1.221444
0.395468,0.017857,0.136132,0.598257,0.068706,0.806391,0.000736,0.004097,0.001088,0.000352,1.232005
0.395596,0.017793,0.125027,0.585010,0.067106,0.780503,0.000864,0.003104,0.001280,0.000320,1.205828
0.395852,0.017568,0.135652,0.585618,0.071170,0.795928,0.000992,0.004192,0.001280,0.000384,1.222116
0.396588,0.017792,0.133700,0.597394,0.075618,0.810232,0.000992,0.003840,0.001281,0.000352,1.237893
0.400172,0.017857,0.136612,0.585425,0.068578,0.794359,0.000736,0.003328,0.001216,0.000448,1.224549
0.395691,0.017729,0.135876,0.583793,0.065954,0.789239,0.000704,0.003264,0.001185,0.000384,1.214628
0.395979,0.017697,0.138500,0.615538,0.072034,0.830137,0.000736,0.004032,0.001216,0.000352,1.257317
0.395692,0.017472,0.134852,0.586226,0.069570,0.793944,0.000768,0.005408,0.001376,0.000384,1.220964
0.395372,0.017792,0.130468,0.585425,0.068418,0.787864,0.000704,0.002976,0.001152,0.000416,1.212164
0.415212,0.017696,0.138628,0.586129,0.068066,0.796696,0.001056,0.003008,0.001088,0.000320,1.240740
0.395212,0.017600,0.163461,0.585265,0.074594,0.826681,0.000672,0.003040,0.001280,0.000352,1.251013
0.398124,0.017793,0.136676,0.586833,0.082915,0.810680,0.000800,0.002784,0.001344,0.000352,1.238373
0.396619,0.018113,0.144068,0.595986,0.076194,0.819928,0.001056,0.002784,0.001280,0.000512,1.245956
0.395916,0.017985,0.113123,0.591761,0.066529,0.776855,0.001088,0.002880,0.000960,0.000352,1.201156
0.395788,0.017825,0.157508,0.621971,0.077730,0.860889,0.001024,0.002592,0.001152,0.000384,1.285958
0.397772,0.018049,0.165828,0.591474,0.068194,0.830360,0.001152,0.003712,0.002272,0.000544,1.263813
