IN[0],INFER[0-1],OUT[1],TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.152709,1.017214,0.068386,1.243845,0.208775,0.009216,0.048129,0.000833,0.013696,0.000352,0.001408,0.001248,0.000416,1.533326
0.152389,1.022271,0.068706,1.250406,0.193381,0.005665,0.048257,0.000608,0.013953,0.000384,0.001408,0.001504,0.000352,1.521070
0.153476,1.017791,0.070626,1.249189,0.193318,0.005536,0.048802,0.000896,0.013984,0.000640,0.001472,0.001152,0.000640,1.520301
0.158117,1.019615,0.071970,1.257254,0.193606,0.005408,0.048289,0.001088,0.014497,0.000416,0.001440,0.001504,0.000352,1.528814
0.153156,1.018783,0.069090,1.248389,0.193190,0.005216,0.048449,0.000800,0.014081,0.000320,0.001440,0.001312,0.000448,1.518573
0.131716,1.030623,0.082882,1.252773,0.193510,0.005408,0.048322,0.000832,0.014016,0.000384,0.001376,0.001024,0.000384,1.523757
0.144389,1.018462,0.067906,1.236325,0.192998,0.005024,0.048450,0.000768,0.013888,0.000352,0.001568,0.001312,0.000576,1.506125
0.142244,1.041759,0.073219,1.263494,0.198118,0.005184,0.048001,0.000576,0.014337,0.000384,0.001376,0.000960,0.000416,1.537422
0.134436,1.018975,0.066562,1.225061,0.193894,0.005152,0.048193,0.000576,0.014273,0.000384,0.001376,0.001056,0.000352,1.495309
0.150820,1.019422,0.066818,1.243781,0.209702,0.005185,0.047553,0.000832,0.013920,0.000352,0.001409,0.001088,0.000448,1.529326
0.135364,1.018366,0.068930,1.230405,0.193222,0.005632,0.048066,0.000640,0.013920,0.000352,0.001440,0.001248,0.000416,1.500205
0.142564,1.016926,0.067234,1.232324,0.192902,0.005056,0.048130,0.000640,0.013824,0.000576,0.001408,0.000992,0.000544,1.501132
0.176357,1.039583,0.073187,1.296423,0.193029,0.005473,0.048705,0.000672,0.014337,0.000608,0.001536,0.001152,0.000416,1.567119
0.130724,1.018911,0.069058,1.225253,0.193318,0.005632,0.048769,0.000800,0.014017,0.000576,0.001440,0.001024,0.000416,1.495853
0.163781,1.030335,0.075171,1.275783,0.196613,0.005057,0.048673,0.000800,0.013665,0.000384,0.001376,0.001088,0.000832,1.548847
0.151588,1.021695,0.068482,1.249189,0.192998,0.005024,0.048769,0.000768,0.013569,0.000352,0.001408,0.001504,0.000384,1.518701
0.114435,1.047968,0.074658,1.243589,0.193670,0.005216,0.048033,0.000832,0.013729,0.000576,0.001408,0.001088,0.000416,1.513453
0.149188,1.015967,0.070050,1.241349,0.192998,0.005152,0.048129,0.000800,0.013825,0.000384,0.001408,0.000928,0.000384,1.509933
0.131203,1.016894,0.067394,1.220836,0.193542,0.023296,0.047618,0.000608,0.013504,0.000320,0.001472,0.001056,0.000352,1.507598
0.153829,1.018399,0.067810,1.246694,0.195110,0.009184,0.048033,0.000832,0.013889,0.000384,0.001440,0.001184,0.000384,1.522446
0.151172,1.018207,0.071234,1.247845,0.192902,0.005536,0.048065,0.000608,0.013761,0.000576,0.001408,0.001120,0.000480,1.517165
0.141252,1.034175,0.069378,1.251013,0.193350,0.005152,0.048065,0.000768,0.013697,0.000576,0.001440,0.001152,0.000416,1.520365
0.156996,1.019006,0.069794,1.252965,0.195238,0.005120,0.048738,0.000800,0.013568,0.000640,0.001440,0.001216,0.000608,1.525261
0.128964,1.031647,0.079234,1.245861,0.197190,0.005184,0.048162,0.000608,0.014144,0.000384,0.001472,0.001120,0.000640,1.519501
0.135748,1.017662,0.070082,1.229764,0.193510,0.005088,0.048258,0.000928,0.014304,0.000704,0.001312,0.000992,0.000353,1.499949
0.129892,1.042431,0.076515,1.255014,0.195526,0.005088,0.047937,0.000736,0.013953,0.000352,0.001408,0.000896,0.000416,1.526542
0.154820,1.016735,0.069954,1.247781,0.193542,0.005504,0.048065,0.000736,0.013857,0.000384,0.001440,0.001504,0.000384,1.518061
0.150532,1.018335,0.071330,1.245989,0.193894,0.005504,0.081250,0.000929,0.013920,0.000320,0.001408,0.001120,0.000384,1.550094
0.134980,1.017214,0.067778,1.225988,0.193158,0.005088,0.049730,0.000576,0.013984,0.000416,0.001472,0.001408,0.000576,1.497004
0.150693,1.018494,0.068706,1.244421,0.193062,0.005120,0.048226,0.000608,0.013952,0.000608,0.001504,0.001120,0.000672,1.514061
0.150756,1.033919,0.071363,1.262310,0.197286,0.005568,0.048897,0.000800,0.013601,0.000384,0.001440,0.001088,0.000416,1.537006
0.141700,1.025215,0.067458,1.240453,0.193126,0.005120,0.047490,0.000800,0.013760,0.000384,0.001408,0.001088,0.000448,1.508685
0.160229,1.041855,0.079714,1.289542,0.200806,0.005633,0.048321,0.000576,0.013856,0.000608,0.001472,0.001696,0.000416,1.568527
0.156229,1.019902,0.067586,1.250309,0.194566,0.009568,0.048258,0.000608,0.013920,0.000384,0.001472,0.001280,0.000384,1.526157
0.141604,1.038015,0.076866,1.265253,0.198438,0.005569,0.048481,0.000576,0.013856,0.000576,0.001440,0.001280,0.000608,1.541614
0.161925,1.020958,0.071267,1.261990,0.193349,0.005633,0.048321,0.000672,0.013921,0.000672,0.001504,0.001280,0.000544,1.532974
0.155684,1.019422,0.067554,1.250021,0.212326,0.005441,0.048417,0.000768,0.014081,0.000352,0.001536,0.001248,0.000608,1.540302
0.154948,1.021631,0.072098,1.256069,0.194022,0.005184,0.048258,0.000800,0.014080,0.000320,0.001408,0.001248,0.000384,1.526925
0.139076,1.017182,0.066978,1.229668,0.193350,0.005120,0.048194,0.000896,0.013856,0.000352,0.001440,0.001184,0.000448,1.499564
0.165637,1.030271,0.073410,1.276582,0.193190,0.005184,0.048354,0.000800,0.013984,0.000576,0.001440,0.001536,0.000384,1.547054
0.182438,1.019294,0.068354,1.277031,0.192965,0.005120,0.048130,0.000672,0.014016,0.000608,0.001440,0.001313,0.000608,1.546863
0.165317,1.040959,0.077154,1.292198,0.195429,0.005569,0.048449,0.000832,0.014112,0.000321,0.001504,0.001216,0.000384,1.565775
0.161189,1.022814,0.069315,1.261222,0.193413,0.005153,0.048289,0.000800,0.014368,0.000320,0.001440,0.001504,0.000416,1.531950
0.158245,1.036479,0.080866,1.283238,0.193414,0.005664,0.048674,0.000864,0.013856,0.000640,0.001728,0.001441,0.000416,1.554959
0.156549,1.021534,0.068514,1.254021,0.193061,0.005344,0.048674,0.000800,0.013920,0.000384,0.001440,0.001184,0.000608,1.524366
0.163013,1.036287,0.082178,1.288614,0.193958,0.005600,0.048034,0.000800,0.014624,0.000320,0.001536,0.001280,0.000416,1.560494
0.160773,1.022462,0.069858,1.260550,0.193445,0.005281,0.048481,0.000832,0.013985,0.000576,0.001504,0.001216,0.000384,1.531374
0.154277,1.015262,0.070178,1.246085,0.193734,0.005312,0.086115,0.000864,0.014273,0.000416,0.001600,0.001408,0.000608,1.555823
0.156324,1.017599,0.068514,1.249221,0.193574,0.005600,0.048193,0.000576,0.014401,0.000608,0.001504,0.001216,0.000640,1.520493
0.156549,1.020799,0.071042,1.254950,0.193094,0.005152,0.048705,0.000800,0.014433,0.000352,0.001408,0.001504,0.000416,1.525998
0.173573,1.046335,0.073986,1.301255,0.193734,0.005600,0.048546,0.000704,0.014176,0.000416,0.001472,0.001280,0.000416,1.572847
0.149892,1.020159,0.067970,1.245669,0.193350,0.005408,0.048673,0.000800,0.014305,0.000352,0.001504,0.001184,0.000416,1.516589
