Layer[0],Layer[1],Layer[2],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.417168,0.017409,0.202888,0.259306,0.003008,0.001185,0.000640,0.908676
0.416849,0.017537,0.203592,0.276394,0.002337,0.001056,0.000608,0.925253
0.418288,0.017505,0.202216,0.242569,0.002368,0.000992,0.000640,0.891779
0.418065,0.017505,0.202792,0.250793,0.002369,0.001280,0.000384,0.900932
0.442226,0.017760,0.203175,0.251114,0.003201,0.000992,0.000480,0.926949
0.416624,0.017473,0.202760,0.247561,0.002464,0.001056,0.000352,0.895107
0.420464,0.017473,0.203176,0.258442,0.003040,0.001088,0.000448,0.911299
0.417296,0.017505,0.203464,0.251338,0.002336,0.001088,0.000416,0.900259
0.421041,0.017665,0.202696,0.261066,0.002368,0.001120,0.000384,0.912868
0.418224,0.017505,0.202568,0.263338,0.002496,0.001152,0.000352,0.912835
0.418353,0.017569,0.202600,0.250505,0.002400,0.001120,0.000352,0.899876
0.432529,0.017601,0.203432,0.287659,0.002560,0.000960,0.000448,0.952518
0.419633,0.017696,0.202728,0.243498,0.002240,0.000960,0.000352,0.893955
0.416848,0.017792,0.203016,0.254506,0.002432,0.001120,0.000384,0.904100
0.421905,0.017665,0.204232,0.303467,0.002432,0.001024,0.000416,0.959206
0.421488,0.017345,0.203144,0.267882,0.002752,0.001025,0.000416,0.921189
0.420720,0.017569,0.202408,0.263050,0.003008,0.001057,0.000384,0.915172
0.416912,0.017472,0.202856,0.265227,0.002304,0.001024,0.000352,0.913476
0.440529,0.017601,0.202472,0.256586,0.002208,0.001024,0.000384,0.928292
0.420688,0.017601,0.203208,0.263626,0.002336,0.001056,0.000384,0.915236
0.416208,0.017473,0.203560,0.262922,0.002400,0.000961,0.000384,0.910564
0.415952,0.017569,0.202536,0.380559,0.003296,0.001152,0.000384,1.028104
0.415760,0.017441,0.203368,0.245802,0.002400,0.001120,0.000384,0.893027
0.416048,0.017537,0.202600,0.269482,0.003073,0.001088,0.000448,0.918020
0.415760,0.017697,0.203048,0.249866,0.002400,0.000960,0.000416,0.897923
0.435761,0.017761,0.202792,0.261546,0.002496,0.001089,0.000352,0.929445
0.416880,0.017505,0.202920,0.254538,0.002368,0.000992,0.000352,0.902499
0.416656,0.018496,0.202472,0.262923,0.002496,0.000992,0.000384,0.911748
0.417776,0.017601,0.222409,0.250922,0.002528,0.000896,0.000576,0.920388
0.417585,0.017664,0.202408,0.252010,0.002464,0.001056,0.000640,0.901219
0.420785,0.017473,0.202952,0.251498,0.002304,0.000928,0.000352,0.902980
0.417168,0.017729,0.202408,0.260842,0.002336,0.000960,0.000608,0.909155
0.433489,0.017505,0.202504,0.251562,0.002528,0.001024,0.000352,0.916196
0.418833,0.017696,0.202760,0.267595,0.002592,0.001056,0.000416,0.918724
