Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.416465,0.017825,0.202216,0.005344,0.247529,0.002592,0.001248,0.000384,0.901508
0.416592,0.017921,0.202536,0.005344,0.252170,0.002624,0.001184,0.000448,0.907331
0.416944,0.017473,0.202472,0.005280,0.253994,0.002464,0.001120,0.000384,0.908323
0.437329,0.017569,0.202248,0.005312,0.245449,0.002241,0.001184,0.000576,0.919204
0.416112,0.017505,0.202664,0.005280,0.249162,0.002176,0.001056,0.000352,0.901955
0.415984,0.017633,0.202536,0.005248,0.251978,0.002176,0.001088,0.000384,0.904003
0.415728,0.017729,0.202216,0.005024,0.275755,0.002368,0.001120,0.000352,0.927748
0.416785,0.017760,0.202024,0.005249,0.244361,0.002240,0.001120,0.000416,0.896771
0.417232,0.017728,0.203176,0.005344,0.236810,0.002336,0.001216,0.000352,0.892739
0.417489,0.018016,0.202824,0.005281,0.235465,0.002208,0.001216,0.000384,0.890019
0.432497,0.017601,0.202408,0.005184,0.237738,0.002112,0.001056,0.000416,0.906532
0.416400,0.017793,0.203016,0.005056,0.243594,0.002080,0.001152,0.000352,0.896611
0.416816,0.017953,0.202472,0.005248,0.249674,0.002400,0.001088,0.000384,0.904323
0.416241,0.018112,0.202695,0.004865,0.266250,0.002144,0.001056,0.000384,0.918980
0.416464,0.017825,0.202664,0.005216,0.242634,0.002080,0.001056,0.000384,0.894595
0.416240,0.017697,0.201992,0.004832,0.248234,0.002144,0.001152,0.000384,0.899331
0.416272,0.017473,0.202824,0.005248,0.244330,0.002240,0.001152,0.000416,0.896803
0.431281,0.017505,0.202408,0.004800,0.244522,0.002144,0.001088,0.000416,0.911204
0.417905,0.017664,0.203400,0.005089,0.249449,0.002497,0.001184,0.000416,0.907076
0.415472,0.017825,0.203112,0.005216,0.245610,0.002400,0.001216,0.000608,0.898851
0.416080,0.017761,0.202312,0.005120,0.253322,0.002944,0.001184,0.000608,0.906403
0.415920,0.017921,0.203272,0.005216,0.241385,0.002240,0.001089,0.000608,0.895587
0.416464,0.017920,0.202440,0.004832,0.252874,0.002497,0.001024,0.000608,0.907076
0.416016,0.017921,0.203880,0.004832,0.242954,0.002688,0.001216,0.000608,0.897411
0.433617,0.017953,0.203912,0.004896,0.253994,0.002368,0.001152,0.000384,0.927108
0.417169,0.017825,0.203656,0.004864,0.240713,0.002272,0.001312,0.000576,0.895811
0.416177,0.017793,0.203240,0.004992,0.243081,0.003008,0.001024,0.000416,0.897060
0.416017,0.018080,0.203592,0.005345,0.253577,0.002368,0.001088,0.000384,0.907364
0.417136,0.017793,0.203304,0.004928,0.236649,0.002400,0.001440,0.000384,0.892898
0.417616,0.017985,0.203880,0.005248,0.247274,0.002368,0.001056,0.000416,0.903139
0.416336,0.017505,0.203656,0.004832,0.247914,0.002176,0.001088,0.000608,0.900803
0.433745,0.017920,0.202728,0.004832,0.243594,0.002208,0.001152,0.000384,0.914276
0.417424,0.017409,0.202760,0.005184,0.247754,0.002272,0.001216,0.000384,0.902371
0.416785,0.017696,0.202536,0.005249,0.247721,0.002464,0.001248,0.000608,0.901315
0.416464,0.017633,0.220872,0.005345,0.235593,0.002496,0.001184,0.000384,0.907492
0.416208,0.018080,0.202248,0.004832,0.246986,0.002240,0.001120,0.000352,0.899331
0.416529,0.017600,0.202696,0.005249,0.236457,0.002208,0.001088,0.000384,0.889091
0.417776,0.017665,0.204040,0.004832,0.245674,0.002144,0.001280,0.000832,0.901443
0.417296,0.018241,0.204776,0.005248,0.280907,0.002432,0.001120,0.000576,0.939492
0.416497,0.017760,0.203144,0.005025,0.249001,0.002368,0.001153,0.000416,0.902500
