IN[0],INFER[0-7],OUT[7],TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
0.154149,1.584783,0.079267,1.823095,0.002592,0.001184,0.000384,1.829751
0.125827,1.567887,0.062882,1.762516,0.002560,0.001184,0.000384,1.768917
0.120004,1.575279,0.070690,1.773557,0.002784,0.001120,0.000480,1.781877
0.144901,1.563790,0.063778,1.778901,0.002528,0.001088,0.000416,1.785173
0.142052,1.575535,0.068930,1.792405,0.003488,0.001248,0.000480,1.800213
0.146981,1.569678,0.074787,1.796406,0.002592,0.000992,0.000384,1.802550
0.116515,1.586671,0.072323,1.780277,0.002464,0.001120,0.000448,1.786677
0.138757,1.574318,0.063426,1.781621,0.002592,0.001024,0.000448,1.788150
0.162340,1.598384,0.078818,1.844630,0.004320,0.001089,0.000448,1.853367
0.147044,1.573167,0.066242,1.792629,0.002528,0.001024,0.000416,1.798805
0.158821,1.593967,0.078466,1.836598,0.004352,0.001056,0.000448,1.844631
0.151268,1.563918,0.065826,1.789333,0.002656,0.000992,0.000384,1.795765
0.150884,1.597776,0.074626,1.830518,0.003520,0.001280,0.000448,1.838134
0.156772,1.564047,0.066402,1.792757,0.003520,0.001056,0.000416,1.800181
0.142789,1.585295,0.077026,1.810294,0.002912,0.001184,0.000384,1.816982
0.127556,1.564143,0.065378,1.762485,0.002752,0.000832,0.000416,1.768597
0.147300,1.575279,0.067138,1.794453,0.002624,0.001056,0.000416,1.801461
0.158948,1.564943,0.065826,1.794613,0.002592,0.000896,0.000384,1.800757
0.135044,1.590095,0.073410,1.803734,0.002592,0.000928,0.000416,1.810422
0.124067,1.571246,0.066402,1.767348,0.002720,0.000928,0.000384,1.773556
0.186406,1.564814,0.068258,1.825910,0.002976,0.001120,0.000480,1.832758
0.130340,1.565359,0.067298,1.772309,0.002912,0.000992,0.000416,1.778805
0.154020,1.576143,0.067010,1.804085,0.003008,0.001056,0.000384,1.810933
0.138085,1.566990,0.064578,1.777077,0.004672,0.000960,0.000416,1.785749
0.151908,1.567919,0.066818,1.793717,0.002784,0.001056,0.000416,1.800245
0.152677,1.568174,0.087138,1.815030,0.005568,0.001152,0.000512,1.824694
0.146916,1.563919,0.071618,1.788629,0.003520,0.001216,0.000416,1.796117
0.152804,1.586191,0.068994,1.815094,0.005536,0.001184,0.000480,1.824534
0.151237,1.567726,0.065921,1.791702,0.003200,0.001120,0.000416,1.798710
