TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.684458,0.048867,0.000832,0.013697,0.000608,0.001536,0.001248,0.000352,1.759119
1.718796,0.049187,0.000896,0.014081,0.000608,0.001536,0.001216,0.000352,1.794290
1.720908,0.049379,0.000800,0.014017,0.000608,0.001536,0.001152,0.000384,1.795953
1.726893,0.049059,0.000801,0.013952,0.000672,0.001601,0.001024,0.000384,1.801810
1.680970,0.050211,0.001056,0.014145,0.000608,0.001600,0.001088,0.000384,1.757167
1.730733,0.049795,0.000832,0.013633,0.000576,0.001600,0.001088,0.000416,1.806386
1.731021,0.049155,0.000896,0.013697,0.000608,0.001536,0.001120,0.000384,1.806066
1.725357,0.050051,0.000800,0.014593,0.000576,0.001569,0.000960,0.000384,1.801938
1.696844,0.049155,0.000832,0.014049,0.000608,0.001632,0.001120,0.000384,1.771504
1.700748,0.049635,0.000864,0.013729,0.000608,0.001664,0.001248,0.000384,1.775664
1.704940,0.049059,0.000800,0.014529,0.000608,0.001568,0.001153,0.000352,1.780081
1.694763,0.049187,0.000896,0.013857,0.000608,0.001568,0.001152,0.000384,1.770448
1.705676,0.049603,0.000800,0.014017,0.000576,0.001536,0.001152,0.000384,1.780624
1.745903,0.048867,0.000800,0.013537,0.000576,0.001632,0.001088,0.000416,1.819859
1.704363,0.049219,0.001056,0.013505,0.000832,0.001536,0.001120,0.000352,1.779376
1.740206,0.049699,0.000896,0.013569,0.000640,0.001792,0.001024,0.000352,1.816210
1.709132,0.049252,0.000800,0.013633,0.000608,0.001568,0.001088,0.000384,1.784625
1.739182,0.049955,0.000864,0.013569,0.000576,0.001760,0.001120,0.000352,1.814802
1.721197,0.049892,0.000832,0.013697,0.000608,0.001504,0.000896,0.000384,1.796338
1.717644,0.049827,0.000896,0.013537,0.000608,0.001472,0.001056,0.000384,1.792561
1.712332,0.049091,0.000800,0.013569,0.000608,0.001568,0.000992,0.000384,1.786897
1.706892,0.049539,0.000800,0.013857,0.000608,0.001440,0.001088,0.000416,1.782032
1.675114,0.049315,0.000832,0.014241,0.000640,0.001536,0.001024,0.000352,1.750382
1.718285,0.050083,0.000800,0.013729,0.000608,0.001440,0.001089,0.000352,1.793938
1.689899,0.049892,0.000832,0.013793,0.000832,0.001568,0.001120,0.000416,1.765232
1.682666,0.049347,0.000864,0.013729,0.000608,0.001504,0.001120,0.000352,1.758191
1.688747,0.049635,0.000833,0.013760,0.000608,0.001569,0.001056,0.000448,1.763376
1.710732,0.050468,0.000608,0.013569,0.000384,0.001504,0.001152,0.000384,1.785969
1.680618,0.051876,0.000832,0.013441,0.000576,0.001408,0.000992,0.000352,1.756815
1.742190,0.049475,0.000896,0.013729,0.000672,0.001536,0.001088,0.000384,1.817042
1.684298,0.049475,0.000896,0.013473,0.000608,0.001504,0.001153,0.000352,1.758351
1.689067,0.049347,0.000833,0.013536,0.000608,0.001473,0.001152,0.000384,1.763312
