Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-9],Layer[10],classifier
0.416881,0.017377,0.202856,0.004768,0.047010,0.000576,0.013376,0.173703,0.000672,0.883747
0.420849,0.017440,0.202536,0.004865,0.047073,0.000544,0.013345,0.180071,0.000608,0.894083
0.437841,0.017441,0.202375,0.004801,0.047074,0.000576,0.013376,0.183975,0.000576,0.914851
0.415697,0.017248,0.203144,0.004864,0.046850,0.000576,0.013345,0.180263,0.000672,0.888867
0.415696,0.017281,0.202280,0.004864,0.047010,0.000576,0.013376,0.169799,0.000608,0.878402
0.417265,0.017185,0.202472,0.004832,0.047170,0.000576,0.013312,0.170727,0.000576,0.882243
0.417617,0.017504,0.203880,0.004801,0.047010,0.000608,0.013568,0.187879,0.000608,0.900740
0.416817,0.017312,0.202792,0.004833,0.046913,0.000576,0.013441,0.176295,0.000544,0.886819
0.416752,0.017249,0.202504,0.004864,0.046946,0.000576,0.013441,0.179431,0.000576,0.889731
0.414608,0.017473,0.220840,0.004961,0.047201,0.000448,0.013409,0.173031,0.000480,0.898851
0.415857,0.017408,0.202855,0.004833,0.047138,0.000576,0.013344,0.177447,0.000544,0.886563
0.462066,0.017313,0.202440,0.004800,0.047170,0.000608,0.013409,0.175303,0.000576,0.930373
0.415920,0.017537,0.202439,0.004864,0.047074,0.000544,0.013408,0.174791,0.000608,0.883907
0.415632,0.017249,0.202056,0.004800,0.047074,0.000608,0.013440,0.179431,0.000576,0.887874
0.416400,0.017504,0.202504,0.004832,0.046978,0.000576,0.013441,0.185159,0.000672,0.894851
0.416208,0.017601,0.201992,0.004832,0.047234,0.000576,0.013376,0.173447,0.000640,0.882754
0.415280,0.017377,0.220232,0.005057,0.047201,0.000577,0.013504,0.186823,0.000640,0.914275
0.416368,0.017217,0.203592,0.004832,0.047138,0.000608,0.013377,0.186663,0.000576,0.897859
0.416497,0.017536,0.202311,0.004801,0.048898,0.000544,0.013440,0.182055,0.000608,0.893539
0.415728,0.017249,0.202184,0.004768,0.048738,0.000576,0.013473,0.183623,0.000704,0.893987
0.433617,0.017313,0.202248,0.004800,0.049122,0.000576,0.013408,0.173671,0.000608,0.902563
0.416465,0.017281,0.202791,0.004832,0.047938,0.000544,0.013472,0.177031,0.000704,0.888835
0.416049,0.017505,0.202855,0.004832,0.048418,0.000576,0.013664,0.174983,0.000608,0.886179
0.420913,0.017472,0.201960,0.004832,0.066851,0.000576,0.013473,0.179239,0.000576,0.912708
0.416624,0.017281,0.201896,0.004832,0.047426,0.000608,0.013409,0.187303,0.000640,0.897539
0.417616,0.017537,0.202600,0.004800,0.048898,0.000608,0.013569,0.187943,0.000608,0.901699
0.415089,0.017440,0.202152,0.004865,0.049314,0.000416,0.014080,0.177639,0.000704,0.888739
