Layer[0],IN[1],INFER[1-2],OUT[2],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.398892,0.166085,0.529264,0.067938,0.766647,0.008544,0.048962,0.000864,0.013568,0.000384,0.001440,0.000896,0.000448,1.247685
0.399180,0.166213,0.545328,0.080642,0.796151,0.012512,0.048193,0.000832,0.013505,0.000352,0.001408,0.001056,0.000384,1.281030
0.402796,0.167973,0.529552,0.068194,0.769015,0.006688,0.047649,0.000832,0.013537,0.000416,0.001472,0.000992,0.000384,1.252709
0.401452,0.165317,0.533008,0.066978,0.769015,0.013216,0.047938,0.001056,0.013664,0.000416,0.001504,0.001440,0.000416,1.258117
0.412140,0.156645,0.543344,0.068738,0.774103,0.011904,0.047618,0.001088,0.013504,0.000416,0.001472,0.001024,0.000448,1.272389
0.394764,0.162852,0.532463,0.067074,0.765942,0.006465,0.047457,0.001056,0.013696,0.000384,0.001505,0.001216,0.000384,1.240037
0.396651,0.174278,0.533327,0.090274,0.802936,0.012993,0.047425,0.000832,0.013857,0.000384,0.001440,0.000992,0.000352,1.286694
0.394956,0.204230,0.532784,0.069730,0.810712,0.005184,0.051106,0.000800,0.013600,0.000416,0.001504,0.000992,0.000352,1.286854
0.400780,0.152389,0.533392,0.069698,0.760023,0.005952,0.048897,0.000832,0.013537,0.000416,0.001472,0.001056,0.000352,1.241509
0.399627,0.196390,0.549905,0.069954,0.821273,0.012512,0.050306,0.000864,0.013760,0.000384,0.001472,0.001024,0.000384,1.309350
0.400140,0.149508,0.547216,0.067938,0.768503,0.009088,0.049281,0.001056,0.013665,0.000416,0.001440,0.001024,0.000416,1.252389
0.395820,0.149700,0.531056,0.068322,0.752758,0.006176,0.048482,0.001024,0.013600,0.000448,0.001472,0.001120,0.000384,1.229124
0.413933,0.169285,0.540304,0.072322,0.787607,0.006176,0.048258,0.001024,0.013568,0.000416,0.001440,0.000960,0.000352,1.283494
0.396556,0.156868,0.531568,0.070498,0.762710,0.012641,0.048129,0.000864,0.013633,0.000384,0.001472,0.001312,0.000384,1.244869
0.400012,0.150980,0.546896,0.076386,0.778135,0.015424,0.049666,0.000832,0.013664,0.000352,0.001504,0.001024,0.000352,1.268517
0.399851,0.165029,0.545201,0.068066,0.782136,0.006400,0.048769,0.001024,0.013633,0.000416,0.001440,0.001088,0.000352,1.262085
0.399852,0.173285,0.530960,0.068738,0.777015,0.005248,0.048354,0.001088,0.013696,0.000448,0.001440,0.001088,0.000384,1.256581
0.394540,0.187110,0.565008,0.093827,0.849945,0.005888,0.049346,0.000768,0.013632,0.000416,0.001472,0.001152,0.000352,1.325032
0.400075,0.165925,0.531216,0.072610,0.773623,0.005889,0.048801,0.000992,0.013600,0.000385,0.001376,0.001024,0.000384,1.253446
0.396204,0.163653,0.530704,0.067074,0.765559,0.005792,0.048002,0.000832,0.013696,0.000416,0.001440,0.000960,0.000352,1.240837
0.396300,0.156069,0.530896,0.074018,0.765143,0.005248,0.052866,0.000832,0.013600,0.000384,0.001376,0.001056,0.000352,1.244229
0.400524,0.151460,0.540912,0.069346,0.765783,0.014912,0.047905,0.001056,0.013537,0.000384,0.001472,0.001216,0.000352,1.254021
0.400492,0.173125,0.545968,0.076643,0.800024,0.011744,0.047521,0.001056,0.013472,0.000384,0.001504,0.001248,0.000384,1.285638
0.395404,0.150948,0.529424,0.070914,0.755190,0.006688,0.047682,0.000832,0.013536,0.000416,0.001472,0.001088,0.000384,1.229797
0.399851,0.154852,0.530288,0.068066,0.756886,0.005344,0.047330,0.000832,0.013504,0.000416,0.001440,0.001088,0.000352,1.234308
0.399916,0.176774,0.540304,0.072546,0.794424,0.011040,0.047394,0.000864,0.013472,0.000416,0.001408,0.001216,0.000384,1.278726
0.401132,0.164965,0.532079,0.073347,0.774455,0.005504,0.048961,0.000864,0.013761,0.000416,0.001472,0.001248,0.000384,1.256933
0.395628,0.171365,0.532976,0.072610,0.781015,0.006976,0.051170,0.001056,0.013824,0.000384,0.001504,0.001280,0.000384,1.260837
0.394924,0.159268,0.529904,0.068642,0.761910,0.007041,0.049505,0.001056,0.013824,0.000448,0.001504,0.001280,0.000384,1.239941
0.394604,0.196166,0.533264,0.068674,0.802104,0.006368,0.049378,0.000832,0.013600,0.000416,0.001440,0.001248,0.000384,1.277702
