IN[0],INFER[0-9],OUT[9],TEE[0-9],Layer[10],classifier
0.150405,1.594287,0.082083,1.834487,0.000832,1.837591
0.124420,1.575503,0.068674,1.776405,0.000800,1.778965
0.152708,1.594384,0.084962,1.839414,0.000800,1.841846
0.124803,1.580207,0.067330,1.778612,0.000832,1.781013
0.119332,1.594767,0.082307,1.802902,0.000672,1.805654
0.147205,1.585615,0.066626,1.805334,0.000736,1.807798
0.175525,1.592879,0.086179,1.860855,0.000704,1.863671
0.146341,1.579215,0.066114,1.797206,0.000704,1.799702
0.143909,1.599983,0.083683,1.834263,0.000672,1.837047
0.148069,1.569134,0.073411,1.796502,0.000672,1.798998
0.152325,1.599375,0.075362,1.834423,0.000800,1.837431
0.153700,1.569167,0.066786,1.796693,0.000704,1.799029
0.146885,1.584943,0.079714,1.818262,0.000672,1.821142
0.145604,1.565743,0.067042,1.784373,0.000704,1.786773
0.144644,1.599631,0.074787,1.825526,0.000672,1.828278
0.146725,1.578031,0.070530,1.801014,0.000704,1.803286
0.147972,1.595567,0.074019,1.824534,0.000640,1.827350
0.144196,1.578831,0.070082,1.799062,0.000768,1.801558
0.148612,1.598575,0.076258,1.830742,0.000608,1.833750
0.144100,1.582895,0.066370,1.799029,0.000736,1.801621
0.136804,1.609872,0.081026,1.836342,0.000896,1.839606
0.131108,1.583471,0.074050,1.796118,0.000704,1.798518
0.150469,1.592591,0.080195,1.830551,0.000704,1.833463
0.144868,1.568782,0.069186,1.788949,0.000672,1.791509
0.168677,1.588847,0.088163,1.852375,0.000640,1.854487
0.144100,1.581487,0.067842,1.799445,0.000736,1.802006
0.167141,1.581423,0.069154,1.825014,0.000800,1.828214
0.167909,1.568175,0.066914,1.808598,0.000608,1.811382
0.151621,1.576271,0.071810,1.805878,0.000640,1.808278
0.148709,1.569518,0.067138,1.791253,0.000640,1.793525
0.153157,1.574927,0.070050,1.805558,0.000640,1.808086
0.149093,1.576623,0.074466,1.807094,0.000960,1.809942
0.146212,1.577967,0.068354,1.798165,0.000800,1.800789
0.147172,1.569071,0.088962,1.811734,0.000736,1.814198
0.145700,1.566286,0.066882,1.785141,0.000832,1.787669
0.146533,1.583151,0.079746,1.816694,0.000800,1.819734
0.143588,1.566222,0.070179,1.786197,0.000768,1.788597
0.166021,1.597231,0.081347,1.851607,0.000800,1.854679
0.175685,1.576975,0.068226,1.827510,0.000672,1.829910
0.175589,1.588687,0.074274,1.845558,0.000800,1.848566
0.147140,1.580559,0.069346,1.802901,0.000704,1.805205
0.154917,1.606896,0.079170,1.849975,0.000960,1.853271
0.150629,1.580367,0.069922,1.808214,0.000832,1.810774
0.134500,1.587728,0.077186,1.806582,0.000736,1.809526
0.151460,1.586127,0.069539,1.813270,0.000672,1.815638
0.126019,1.595504,0.081922,1.811221,0.000768,1.814293
0.147492,1.568655,0.066146,1.787925,0.000704,1.790421
0.147140,1.591343,0.078786,1.824310,0.000800,1.827254
0.167877,1.567662,0.067202,1.810006,0.000736,1.812438
0.149828,1.597264,0.080962,1.835862,0.000736,1.838902
0.146788,1.582447,0.078210,1.813173,0.000672,1.815413
0.152805,1.598479,0.075746,1.834326,0.000736,1.837462
0.144356,1.580975,0.072674,1.803445,0.000608,1.805749
0.144996,1.594319,0.076994,1.822070,0.000608,1.824342
0.145060,1.581039,0.070242,1.802421,0.000640,1.804629
0.125348,1.593391,0.075170,1.800309,0.000640,1.803061
0.138725,1.565550,0.064866,1.774901,0.000608,1.777141
0.129860,1.586063,0.082851,1.804822,0.000608,1.807638
0.139940,1.575503,0.065506,1.786741,0.000576,1.789045
0.155525,1.597231,0.077059,1.837207,0.000672,1.840247
0.173830,1.578030,0.066946,1.825239,0.000768,1.827575
0.151044,1.598863,0.079138,1.836662,0.000768,1.839671
0.146884,1.570031,0.067810,1.790325,0.000704,1.792725
0.166885,1.590672,0.066402,1.830743,0.000736,1.833655
0.134020,1.573455,0.064610,1.778069,0.000672,1.780309
0.171237,1.579567,0.066114,1.821622,0.000672,1.823766
0.147236,1.577134,0.066562,1.797269,0.000704,1.800181
0.149284,1.579567,0.079203,1.814710,0.000768,1.817654
0.131588,1.565775,0.064034,1.767797,0.000576,1.770101
0.151684,1.580335,0.068994,1.809045,0.000672,1.811733
0.151557,1.571886,0.093730,1.824598,0.000640,1.827606
0.124131,1.579407,0.071426,1.779988,0.000672,1.782196
0.154981,1.590063,0.088899,1.838807,0.000736,1.841175
0.148420,1.566383,0.064066,1.784437,0.000576,1.786613
0.142084,1.591855,0.075843,1.815094,0.000608,1.817622
0.115620,1.578511,0.068674,1.768597,0.000704,1.770965
0.115747,1.586351,0.070370,1.778388,0.001024,1.780852
