Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],IN[10],INFER[10-10],OUT[10],TEE[10-10],classifier
0.400236,0.017793,0.191366,0.005408,0.048353,0.000768,0.013473,0.000352,0.001536,0.001184,0.110627,0.029601,0.000064,0.143012,0.830649
0.396908,0.017632,0.191622,0.004896,0.047682,0.000576,0.013696,0.000352,0.001504,0.001216,0.114212,0.032961,0.000064,0.150021,0.833273
0.400844,0.017633,0.191846,0.004896,0.047937,0.000576,0.013729,0.000384,0.001536,0.001152,0.106851,0.033249,0.000064,0.142660,0.830681
0.416140,0.017568,0.191622,0.004864,0.048417,0.000800,0.013601,0.000384,0.001504,0.001152,0.114787,0.033345,0.000096,0.150660,0.854617
0.395916,0.017568,0.191205,0.005312,0.048098,0.000832,0.013440,0.000384,0.001536,0.001088,0.108324,0.029312,0.000064,0.140164,0.822648
0.396204,0.017760,0.191782,0.004896,0.048098,0.000832,0.013568,0.000384,0.001504,0.001120,0.112291,0.034754,0.000064,0.149701,0.833401
0.396524,0.017600,0.191302,0.005248,0.047457,0.000800,0.013537,0.000384,0.001472,0.001152,0.110595,0.030497,0.000032,0.143940,0.826392
0.397195,0.017441,0.192902,0.004928,0.047457,0.000800,0.013505,0.000352,0.001440,0.001184,0.101763,0.031073,0.000064,0.135460,0.821176
0.397292,0.017696,0.191526,0.004864,0.047106,0.000832,0.013536,0.000352,0.001408,0.001216,0.108131,0.030529,0.000064,0.141220,0.824376
0.396556,0.017729,0.191621,0.004801,0.047585,0.000800,0.013536,0.000385,0.001504,0.001184,0.109731,0.035809,0.000064,0.148036,0.831033
0.396780,0.017696,0.209318,0.005409,0.050017,0.000832,0.014305,0.000448,0.001600,0.001664,0.116419,0.035649,0.000064,0.154724,0.861273
0.397035,0.017825,0.191462,0.004864,0.047841,0.000640,0.014017,0.000384,0.001536,0.001472,0.109283,0.035425,0.000064,0.147364,0.831960
0.400716,0.017729,0.191493,0.005089,0.048161,0.000576,0.014080,0.000384,0.001505,0.001184,0.111491,0.034273,0.000064,0.148356,0.837177
0.401420,0.017825,0.191493,0.005281,0.049441,0.000800,0.013889,0.000384,0.001472,0.001216,0.109763,0.033889,0.000032,0.146468,0.837049
0.418029,0.017728,0.191398,0.004864,0.049762,0.000576,0.013824,0.000384,0.001504,0.001216,0.107203,0.035489,0.000064,0.145189,0.851898
0.396555,0.018016,0.191814,0.005280,0.049409,0.000992,0.013505,0.000576,0.001472,0.002400,0.124836,0.037057,0.000032,0.164389,0.853177
0.395788,0.017760,0.191814,0.004832,0.050146,0.000864,0.013824,0.000384,0.001440,0.001216,0.103395,0.032129,0.000064,0.138180,0.823256
0.396684,0.017633,0.191941,0.004864,0.048353,0.001024,0.013697,0.000352,0.001472,0.001152,0.112451,0.029345,0.000064,0.144484,0.830713
0.400844,0.017792,0.191878,0.005056,0.047777,0.001024,0.013441,0.000384,0.001440,0.001184,0.105795,0.030945,0.000032,0.139236,0.827288
0.396076,0.017600,0.191430,0.005024,0.047265,0.000801,0.013536,0.000320,0.001376,0.001184,0.110147,0.031521,0.000032,0.144420,0.826552
0.396108,0.017793,0.191653,0.004832,0.047874,0.001024,0.013504,0.000416,0.001536,0.001216,0.108708,0.036065,0.000064,0.147173,0.830681
0.400876,0.017569,0.209254,0.005184,0.047298,0.000608,0.013600,0.000352,0.001440,0.001152,0.110147,0.035489,0.000064,0.148037,0.853434
0.396939,0.017985,0.192070,0.004896,0.047937,0.000768,0.013569,0.000384,0.001600,0.001152,0.108675,0.036033,0.000064,0.147268,0.832408
0.396268,0.017824,0.191622,0.005248,0.047778,0.000800,0.013504,0.000384,0.001568,0.001184,0.105795,0.036194,0.000064,0.144549,0.828665
0.400588,0.017793,0.191557,0.005281,0.047713,0.000800,0.013504,0.000352,0.001472,0.001184,0.105731,0.035425,0.000032,0.143684,0.831193
0.420044,0.017760,0.191590,0.004992,0.047073,0.000960,0.013857,0.000352,0.001504,0.001184,0.104931,0.034817,0.000096,0.142532,0.849529
0.396236,0.017760,0.191590,0.005312,0.047393,0.000961,0.013504,0.000352,0.001664,0.001152,0.106019,0.031169,0.000064,0.139812,0.822712
0.401548,0.017793,0.191717,0.005313,0.047809,0.000800,0.013568,0.000384,0.001472,0.001153,0.115619,0.029761,0.000064,0.148036,0.838617
