Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-4],OUT[4],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.397804,0.017536,0.219111,0.005312,0.128324,0.088130,0.066018,0.285640,0.000832,0.014529,0.000640,0.001504,0.001152,0.000384,0.953436
0.399244,0.017600,0.191942,0.005280,0.121700,0.083458,0.064098,0.272968,0.001184,0.014593,0.000352,0.001504,0.001056,0.000352,0.914363
0.399500,0.017408,0.192486,0.005184,0.118468,0.082498,0.066242,0.270440,0.000928,0.014529,0.000416,0.001472,0.001216,0.000576,0.912411
0.399052,0.017505,0.192037,0.005120,0.117379,0.082339,0.064770,0.267528,0.000864,0.014528,0.000672,0.001472,0.001056,0.000384,0.907739
0.395500,0.017536,0.191718,0.005216,0.119972,0.082402,0.067010,0.272520,0.000928,0.014497,0.000416,0.001472,0.001152,0.000608,0.909723
0.400011,0.017344,0.191782,0.005120,0.118435,0.081731,0.062658,0.265832,0.000832,0.014304,0.000384,0.001440,0.001184,0.000544,0.906074
0.402252,0.017537,0.192549,0.005216,0.114980,0.081058,0.063394,0.262920,0.000864,0.014081,0.000352,0.001536,0.001376,0.000384,0.906875
0.417452,0.017409,0.191941,0.005089,0.116195,0.092995,0.065602,0.277992,0.000928,0.014240,0.000352,0.001472,0.001120,0.000352,0.936091
0.395820,0.017344,0.192326,0.005056,0.115396,0.081026,0.064770,0.264424,0.000832,0.014433,0.000384,0.001440,0.001024,0.000384,0.901051
0.396428,0.017472,0.192005,0.005088,0.116740,0.079586,0.062786,0.262536,0.000864,0.014529,0.000640,0.001408,0.001120,0.000352,0.900667
0.397676,0.017633,0.191622,0.005088,0.112419,0.079650,0.084931,0.280296,0.000864,0.014528,0.000384,0.001473,0.001120,0.000448,0.918812
0.395724,0.017793,0.192261,0.005280,0.122372,0.087715,0.065410,0.278473,0.000864,0.014432,0.000416,0.001408,0.001056,0.000384,0.916443
0.398252,0.017601,0.191749,0.005281,0.121475,0.084099,0.069442,0.278312,0.000864,0.014592,0.000384,0.001504,0.001184,0.000576,0.917243
0.395276,0.017537,0.192325,0.005088,0.120644,0.089027,0.070242,0.282921,0.000896,0.014688,0.000384,0.001472,0.001120,0.000320,0.919163
0.414925,0.017696,0.192518,0.005184,0.124964,0.092899,0.076194,0.297513,0.001216,0.014720,0.000416,0.001472,0.001024,0.000417,0.955677
0.395052,0.017569,0.192549,0.005088,0.119172,0.081634,0.063010,0.266920,0.000992,0.014913,0.000384,0.001504,0.001024,0.000352,0.903739
0.394923,0.017953,0.192006,0.005152,0.118787,0.082659,0.061986,0.266568,0.000992,0.014592,0.000384,0.001472,0.001088,0.000384,0.902778
0.395340,0.017760,0.192166,0.005152,0.138180,0.095619,0.066306,0.303497,0.001152,0.014625,0.000416,0.001440,0.000960,0.000384,0.941116
0.395180,0.017953,0.192165,0.005057,0.116035,0.082818,0.065249,0.267815,0.001120,0.014624,0.000352,0.001536,0.001120,0.000416,0.906395
0.395404,0.020864,0.193094,0.005184,0.121732,0.083362,0.068834,0.277192,0.000864,0.014657,0.000352,0.001472,0.001120,0.000384,0.919323
0.397420,0.017696,0.192358,0.005120,0.116580,0.084290,0.060738,0.264520,0.000896,0.014144,0.000384,0.001504,0.000960,0.000640,0.903131
0.417325,0.017376,0.192326,0.005120,0.123140,0.088226,0.077475,0.292137,0.001184,0.015200,0.000416,0.001536,0.000992,0.000384,0.952988
0.395404,0.017536,0.192166,0.005024,0.122084,0.082434,0.064610,0.272040,0.000864,0.014528,0.000673,0.001472,0.001120,0.000384,0.908795
0.394604,0.017409,0.191685,0.005088,0.113828,0.082402,0.061602,0.261032,0.000832,0.014273,0.000384,0.001472,0.001120,0.000384,0.895451
0.395532,0.017409,0.211974,0.005248,0.127652,0.087267,0.068482,0.286889,0.001184,0.014944,0.000416,0.001472,0.001024,0.000384,0.945468
0.395212,0.018016,0.191558,0.005120,0.120548,0.079618,0.064066,0.267560,0.000928,0.014817,0.000608,0.001472,0.001216,0.000352,0.903515
0.394987,0.017793,0.191846,0.005056,0.122979,0.082883,0.063618,0.272648,0.000832,0.014336,0.000704,0.001472,0.001248,0.000576,0.908730
0.399692,0.017985,0.192325,0.005313,0.153988,0.085699,0.066178,0.310345,0.000864,0.015744,0.000576,0.001728,0.002400,0.000352,0.958940
0.395724,0.017728,0.191750,0.005312,0.122436,0.082594,0.063394,0.271496,0.000800,0.016001,0.000384,0.001440,0.001280,0.000352,0.909851
0.400044,0.017536,0.191814,0.005120,0.116259,0.081283,0.063682,0.264488,0.000960,0.014400,0.000608,0.001408,0.001152,0.000448,0.906618
0.395948,0.017601,0.191749,0.005152,0.118211,0.082178,0.064930,0.268456,0.000896,0.014817,0.000416,0.001472,0.001280,0.000448,0.905819
0.415597,0.017696,0.192198,0.005216,0.123620,0.094691,0.064610,0.285897,0.000960,0.014048,0.000352,0.001440,0.001056,0.000576,0.943388
0.399403,0.017537,0.192294,0.005184,0.117987,0.082467,0.063394,0.266856,0.000896,0.014144,0.000576,0.001440,0.001152,0.000576,0.907546
0.395500,0.017728,0.191942,0.005376,0.114820,0.079106,0.062722,0.259656,0.000864,0.014208,0.000352,0.001504,0.001216,0.000352,0.896507
0.395532,0.017633,0.191909,0.005056,0.119172,0.083586,0.089283,0.295241,0.000896,0.014561,0.000384,0.001504,0.001088,0.000384,0.931740
0.396172,0.017504,0.191878,0.005056,0.116804,0.080834,0.062242,0.263080,0.000992,0.014241,0.000384,0.001472,0.001120,0.000480,0.899995
0.394476,0.017793,0.191685,0.005312,0.113828,0.081154,0.067298,0.266600,0.001056,0.014433,0.000832,0.001440,0.000992,0.000448,0.902523
0.395595,0.017537,0.192102,0.005088,0.115427,0.082787,0.064802,0.265960,0.000768,0.014464,0.000640,0.001504,0.001120,0.000576,0.902874
0.421548,0.017472,0.191430,0.005120,0.121348,0.095522,0.065314,0.285000,0.000896,0.014977,0.000800,0.001472,0.001152,0.000608,0.948284
0.396395,0.017601,0.191846,0.005216,0.125700,0.081762,0.067842,0.278824,0.000864,0.014913,0.000640,0.001440,0.001152,0.000672,0.918139
0.395084,0.017569,0.191717,0.005088,0.118820,0.083939,0.064001,0.269896,0.000993,0.014592,0.000800,0.001504,0.001120,0.000352,0.906267
0.396971,0.017729,0.191974,0.005376,0.121315,0.101379,0.075523,0.301897,0.001152,0.014912,0.000384,0.001504,0.001088,0.000352,0.941979
0.397484,0.017793,0.191685,0.005120,0.122500,0.081762,0.065378,0.272456,0.000832,0.014561,0.000640,0.001472,0.001088,0.000384,0.911547
0.396875,0.017569,0.192166,0.005184,0.120835,0.082243,0.066146,0.272328,0.000832,0.014656,0.000608,0.001472,0.001216,0.000353,0.911259
0.402444,0.017601,0.191781,0.005281,0.115715,0.081922,0.061794,0.262503,0.000832,0.014657,0.000384,0.001440,0.001120,0.000448,0.905979
0.413164,0.017697,0.192134,0.005184,0.115043,0.082435,0.067106,0.267784,0.001088,0.014784,0.000352,0.001504,0.001056,0.000384,0.922971
0.396716,0.017728,0.191462,0.005312,0.148452,0.086467,0.067298,0.305609,0.001056,0.015009,0.000384,0.001472,0.000896,0.000320,0.942780
0.397228,0.017920,0.191685,0.005056,0.108100,0.081346,0.065058,0.257736,0.000864,0.014848,0.000672,0.001473,0.001120,0.000416,0.896187
0.395052,0.017728,0.191558,0.005120,0.124228,0.082306,0.061058,0.270664,0.000832,0.014305,0.000608,0.001504,0.000992,0.000384,0.905691
0.397356,0.017664,0.191814,0.005248,0.112644,0.078722,0.060322,0.255592,0.000896,0.014336,0.000640,0.001536,0.000960,0.000288,0.894618
0.398508,0.017696,0.191558,0.005280,0.122020,0.081506,0.062658,0.269320,0.000960,0.014401,0.000384,0.001440,0.001184,0.000384,0.909083
0.396235,0.017632,0.192262,0.005216,0.122244,0.082530,0.064514,0.272552,0.000800,0.014400,0.000608,0.001505,0.001184,0.000640,0.911451
0.410220,0.018145,0.192358,0.005312,0.110371,0.080130,0.064257,0.258567,0.000928,0.014113,0.000832,0.001472,0.001120,0.000384,0.910267
0.395564,0.017856,0.191558,0.005056,0.124932,0.086243,0.069538,0.284425,0.000832,0.014176,0.000416,0.001408,0.000864,0.000576,0.919771
0.395467,0.017889,0.192198,0.005184,0.116291,0.086179,0.068802,0.274408,0.000800,0.014080,0.000640,0.001504,0.001088,0.000256,0.910586
0.397579,0.017441,0.191878,0.004832,0.118979,0.082179,0.060002,0.264616,0.000864,0.014144,0.000640,0.001472,0.000992,0.000320,0.901562
0.399020,0.017825,0.191557,0.005121,0.114499,0.096515,0.060834,0.275176,0.000928,0.014272,0.000640,0.001504,0.000928,0.000384,0.913435
0.395628,0.017984,0.191590,0.005088,0.113891,0.082627,0.070242,0.269864,0.000832,0.014240,0.000384,0.001409,0.000928,0.000448,0.905435
0.395915,0.017409,0.191686,0.005312,0.117059,0.092483,0.061954,0.274504,0.000800,0.014144,0.000352,0.001472,0.000928,0.000352,0.909690
0.428685,0.017856,0.193574,0.005408,0.120964,0.088259,0.067970,0.280905,0.000896,0.014944,0.000416,0.001536,0.001184,0.000416,0.954396
0.401260,0.017761,0.192005,0.005152,0.123812,0.082499,0.064897,0.274345,0.000896,0.014880,0.000640,0.001408,0.001152,0.000576,0.918395
0.394923,0.017632,0.192422,0.005088,0.116835,0.083459,0.065442,0.269032,0.000896,0.014496,0.000640,0.001472,0.001120,0.000577,0.905787
0.396556,0.017697,0.210662,0.005472,0.115140,0.092930,0.070178,0.281576,0.000896,0.014368,0.000352,0.001504,0.001024,0.000352,0.938652
0.399884,0.017696,0.191974,0.005120,0.115619,0.091427,0.074274,0.284296,0.000800,0.014753,0.000384,0.001504,0.001184,0.000576,0.927259
0.395660,0.017696,0.192006,0.005024,0.118468,0.083970,0.061666,0.267304,0.000896,0.014464,0.000384,0.001472,0.001153,0.000544,0.904379
0.395532,0.017409,0.192645,0.005121,0.113059,0.083426,0.062690,0.262119,0.000800,0.014081,0.000832,0.001472,0.000992,0.000352,0.898523
0.395244,0.017632,0.192806,0.005024,0.119620,0.082050,0.064386,0.269064,0.001024,0.014625,0.000640,0.001440,0.001088,0.000384,0.906683
0.395276,0.017889,0.192293,0.005120,0.115587,0.081090,0.063874,0.263719,0.000864,0.014657,0.000352,0.001440,0.000960,0.000384,0.900571
