Layer[0],Layer[1],IN[2],INFER[2-9],OUT[9],TEE[2-9],Layer[10],classifier
0.396748,0.017633,0.133572,0.621586,0.079234,0.840664,0.000768,1.261542
0.395500,0.017665,0.131107,0.590802,0.065314,0.791159,0.000736,1.210308
0.395500,0.018049,0.130372,0.590609,0.065218,0.789943,0.000704,1.208996
0.396139,0.017665,0.136548,0.608402,0.077378,0.827256,0.000832,1.247173
0.395980,0.017792,0.131491,0.590834,0.068610,0.794679,0.000832,1.213924
0.398060,0.017664,0.139621,0.591377,0.067586,0.803064,0.000800,1.224324
0.414540,0.017665,0.133796,0.601362,0.068898,0.808376,0.000672,1.246085
0.397164,0.017952,0.140357,0.588209,0.068450,0.801368,0.000672,1.222276
0.395435,0.017569,0.133668,0.587601,0.071874,0.797047,0.000672,1.215651
0.395596,0.017729,0.132516,0.587601,0.069378,0.794071,0.000672,1.213476
0.395244,0.017665,0.134180,0.591857,0.069666,0.799511,0.000704,1.217636
0.395531,0.017824,0.133028,0.608562,0.074114,0.820024,0.000672,1.238500
0.395499,0.017729,0.129028,0.587921,0.069282,0.789847,0.000704,1.208323
0.394891,0.017697,0.131588,0.589361,0.065506,0.790167,0.000704,1.208035
0.395180,0.017537,0.156228,0.590194,0.066530,0.817208,0.000800,1.234981
0.394731,0.017568,0.131012,0.588689,0.065058,0.788663,0.000672,1.206275
0.395467,0.017857,0.123396,0.587185,0.067234,0.781623,0.000736,1.200611
0.413292,0.017697,0.136676,0.590865,0.068386,0.799767,0.000704,1.236229
0.395851,0.017729,0.125220,0.585457,0.070658,0.785367,0.000864,1.204835
0.395403,0.017633,0.137668,0.616530,0.079587,0.839001,0.000768,1.259333
0.395724,0.017760,0.132388,0.593938,0.068322,0.798680,0.000768,1.217892
0.395884,0.017921,0.127651,0.585298,0.065986,0.783127,0.000736,1.202596
0.396331,0.017601,0.127780,0.600337,0.073059,0.805560,0.000736,1.225253
0.396044,0.017537,0.121699,0.587090,0.065762,0.778423,0.000864,1.197924
0.396076,0.017600,0.124612,0.588018,0.064130,0.780728,0.000864,1.200388
0.414700,0.017889,0.140868,0.599218,0.068450,0.812472,0.000736,1.251365
0.399820,0.017953,0.151748,0.600114,0.068066,0.824248,0.000736,1.248293
0.397003,0.017505,0.137828,0.592818,0.091042,0.826520,0.000768,1.247717
0.396683,0.017824,0.135492,0.592722,0.067586,0.799832,0.000800,1.221252
0.398028,0.017825,0.131780,0.606194,0.067202,0.809720,0.000800,1.232677
0.397163,0.017633,0.145220,0.618899,0.087810,0.855641,0.000704,1.276389
0.396939,0.017633,0.135396,0.603282,0.068098,0.810520,0.000736,1.230948
0.397964,0.017889,0.144836,0.588817,0.066369,0.803768,0.000768,1.225669
0.413900,0.017729,0.143812,0.588050,0.067458,0.803320,0.000704,1.240805
