Layer[0],Layer[1],IN[2],INFER[2-10],OUT[10],TEE[2-10],classifier
0.395532,0.021185,0.122371,0.583121,0.063426,0.772087,1.193060
0.397515,0.017505,0.129124,0.602930,0.072898,0.808216,1.227172
0.396780,0.017761,0.134948,0.587505,0.065346,0.790967,1.209828
0.396684,0.017505,0.129796,0.587889,0.064994,0.785975,1.204516
0.397643,0.017729,0.122916,0.597681,0.101923,0.825976,1.245732
0.396556,0.017728,0.127108,0.586289,0.064610,0.781399,1.199363
0.397196,0.017472,0.125220,0.585393,0.063458,0.777335,1.195939
0.424588,0.017505,0.121123,0.582226,0.065346,0.772087,1.218596
0.398220,0.017345,0.129508,0.588273,0.065122,0.786327,1.205444
0.396939,0.017729,0.126052,0.584017,0.063746,0.777431,1.196259
0.396140,0.017440,0.128708,0.597810,0.065378,0.797016,1.214756
0.396012,0.017344,0.130084,0.587698,0.064482,0.785496,1.202500
0.396620,0.017600,0.129764,0.600530,0.083106,0.817144,1.235621
0.397324,0.017728,0.131108,0.587346,0.065409,0.787608,1.206820
0.396972,0.017504,0.130084,0.587217,0.064098,0.785047,1.203747
0.396716,0.017760,0.128324,0.600722,0.071458,0.803960,1.222372
0.396204,0.017632,0.125700,0.581265,0.062498,0.772759,1.190595
0.396267,0.017729,0.098435,0.582961,0.062178,0.746774,1.164802
0.396427,0.017825,0.140900,0.598770,0.065442,0.808728,1.227268
0.396043,0.017761,0.131620,0.586833,0.068386,0.790455,1.208611
0.395851,0.017345,0.138660,0.585361,0.063106,0.790327,1.207747
0.412044,0.017921,0.139748,0.587697,0.065442,0.796279,1.230820
0.396236,0.017408,0.128612,0.602418,0.064514,0.799064,1.217092
0.395788,0.017345,0.136548,0.599825,0.064033,0.803639,1.220996
0.395883,0.017761,0.131492,0.587889,0.065058,0.787671,1.205763
0.395468,0.017664,0.125732,0.594258,0.063874,0.787384,1.206180
0.395308,0.017792,0.121188,0.601266,0.104579,0.830457,1.247749
0.395659,0.018017,0.135780,0.586257,0.064034,0.789591,1.208163
0.395692,0.017568,0.136708,0.596114,0.064770,0.801304,1.218436
0.395627,0.017793,0.148612,0.616051,0.067138,0.836537,1.254501
0.395532,0.017536,0.139492,0.600818,0.063842,0.807800,1.224932
0.396715,0.017409,0.123492,0.582961,0.061282,0.771127,1.189699
0.417549,0.017632,0.135460,0.602450,0.066754,0.808536,1.248645
0.396012,0.017536,0.123012,0.583857,0.064002,0.774295,1.192291
0.395308,0.017568,0.125924,0.585617,0.062946,0.778231,1.195235
0.395916,0.017697,0.119971,0.581297,0.062850,0.767382,1.185379
