TEE[0-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.677684,0.005280,0.047716,0.000608,0.013857,0.000448,0.001472,0.001152,0.000384,1.755609
1.667730,0.005504,0.048292,0.001088,0.013409,0.000384,0.001536,0.001184,0.000352,1.747544
1.674195,0.005409,0.048035,0.000576,0.013441,0.000416,0.001504,0.001120,0.000416,1.752344
1.682067,0.005472,0.048131,0.000864,0.013665,0.000448,0.001569,0.001248,0.000352,1.762745
1.661074,0.005345,0.047651,0.000576,0.013409,0.000384,0.001536,0.001088,0.000384,1.737559
1.688147,0.005344,0.047683,0.000769,0.013472,0.000449,0.001408,0.001056,0.000320,1.766809
1.680020,0.005696,0.048548,0.000576,0.013665,0.000512,0.001536,0.001248,0.000384,1.761177
1.672339,0.005248,0.048324,0.000768,0.013473,0.000448,0.001568,0.001056,0.000384,1.751640
1.660370,0.005280,0.048195,0.000577,0.013504,0.000417,0.001504,0.001312,0.000352,1.739800
1.691061,0.005248,0.048004,0.000576,0.013889,0.000416,0.001440,0.001088,0.000384,1.770170
1.684724,0.005344,0.047972,0.000608,0.013953,0.000416,0.001376,0.001152,0.000416,1.763641
1.700244,0.005280,0.047779,0.000640,0.013601,0.000512,0.001408,0.000897,0.000320,1.778330
1.671667,0.005376,0.047876,0.000800,0.013537,0.000448,0.001472,0.001152,0.000384,1.751352
1.700341,0.005185,0.047843,0.000544,0.013505,0.000384,0.001408,0.001024,0.000320,1.777818
1.662643,0.005248,0.047651,0.000545,0.013472,0.000416,0.001536,0.000960,0.000384,1.740536
1.701109,0.005313,0.048163,0.000640,0.013441,0.000416,0.001504,0.001184,0.000352,1.780282
1.684852,0.005248,0.048388,0.000576,0.013601,0.000416,0.001504,0.001120,0.000384,1.763769
1.654802,0.005248,0.047876,0.000640,0.013537,0.000448,0.001440,0.001088,0.000320,1.732887
1.680627,0.005249,0.048291,0.000832,0.013505,0.000384,0.001472,0.001120,0.000416,1.759224
1.669843,0.005120,0.048260,0.000608,0.013441,0.000416,0.001472,0.001120,0.000352,1.748248
1.696980,0.005280,0.047843,0.000576,0.013377,0.000448,0.001473,0.001120,0.000352,1.774746
1.654801,0.005281,0.047875,0.000768,0.013409,0.000416,0.001408,0.001024,0.000352,1.731862
1.675474,0.005792,0.050500,0.000608,0.014049,0.000448,0.001888,0.001504,0.000352,1.760537
1.707221,0.005408,0.048900,0.000736,0.014049,0.000384,0.001504,0.001248,0.000384,1.787386
1.660434,0.005664,0.048676,0.000800,0.013953,0.000384,0.001440,0.001184,0.000352,1.740535
1.653137,0.005440,0.049411,0.000832,0.013888,0.000417,0.001600,0.001088,0.000352,1.733911
1.651698,0.005632,0.049732,0.000512,0.013537,0.000352,0.001696,0.001184,0.000384,1.731927
1.661746,0.005280,0.049156,0.000608,0.013633,0.000352,0.001440,0.001120,0.000320,1.739575
1.675763,0.005216,0.048196,0.000800,0.013473,0.000384,0.001440,0.001024,0.000352,1.753752
1.683892,0.005344,0.048195,0.000544,0.013441,0.000416,0.001440,0.001120,0.000352,1.761945
1.668626,0.005280,0.049924,0.000640,0.013601,0.000416,0.001568,0.001056,0.000384,1.748952
1.690036,0.010465,0.048131,0.000609,0.013440,0.000384,0.001536,0.001088,0.000384,1.774074
1.691284,0.005344,0.047748,0.000640,0.013601,0.000416,0.001536,0.001152,0.000352,1.770521
1.699924,0.005313,0.047907,0.000576,0.013921,0.000416,0.001536,0.001024,0.000384,1.778233
1.657938,0.005057,0.047747,0.000832,0.013473,0.000416,0.001632,0.000960,0.000256,1.735767
1.708213,0.005472,0.048003,0.000800,0.013505,0.000352,0.001473,0.001216,0.000384,1.787579
1.668306,0.005281,0.050211,0.000608,0.013505,0.000384,0.001440,0.001152,0.000352,1.749655
1.689524,0.005408,0.047747,0.000544,0.013441,0.000384,0.001568,0.000992,0.000384,1.766745
1.675026,0.005409,0.047619,0.000576,0.013409,0.000416,0.001504,0.001056,0.000320,1.752280
