Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-8],Layer[9],Layer[10],classifier
0.420240,0.017537,0.202856,0.005248,0.048578,0.001088,0.014081,0.000416,0.169702,0.001536,0.000320,0.890787
0.415792,0.017889,0.202376,0.005312,0.048002,0.000832,0.013697,0.000384,0.179719,0.001376,0.000352,0.894659
0.416529,0.017664,0.202536,0.005281,0.047809,0.000768,0.013792,0.000416,0.170823,0.001376,0.000352,0.885891
0.420080,0.017537,0.202440,0.005216,0.047874,0.000800,0.013601,0.000640,0.162438,0.001568,0.000448,0.880994
0.433649,0.017601,0.204456,0.005120,0.047906,0.000800,0.013440,0.000640,0.168775,0.001472,0.000416,0.904067
0.420273,0.017473,0.202984,0.005312,0.048546,0.000864,0.013952,0.000384,0.174247,0.001440,0.000384,0.893699
0.420145,0.017760,0.202728,0.005217,0.048545,0.000832,0.013888,0.000672,0.165767,0.001536,0.000608,0.886787
0.415408,0.017729,0.202824,0.005024,0.048098,0.000864,0.013921,0.000416,0.176263,0.001664,0.000416,0.890499
0.419985,0.017729,0.203528,0.005152,0.048098,0.000832,0.013664,0.000608,0.162535,0.001792,0.000416,0.883075
0.417872,0.017632,0.202728,0.005088,0.048546,0.000800,0.013601,0.000416,0.174183,0.001504,0.000608,0.890499
0.416433,0.017664,0.202504,0.004833,0.048641,0.000800,0.013856,0.000416,0.179879,0.001184,0.000352,0.895075
0.415472,0.017857,0.220136,0.005536,0.048257,0.000800,0.013953,0.000416,0.184359,0.001408,0.000608,0.918051
0.420240,0.017504,0.202536,0.004832,0.048290,0.000864,0.014241,0.000384,0.165926,0.001537,0.000608,0.885155
0.420112,0.018464,0.202568,0.004800,0.048770,0.000832,0.013889,0.000416,0.171783,0.001344,0.000352,0.891395
0.420913,0.017696,0.202696,0.005024,0.047938,0.000800,0.013729,0.000384,0.164742,0.001473,0.000384,0.883747
0.421584,0.017697,0.203048,0.005376,0.048162,0.000800,0.013633,0.000416,0.169254,0.001312,0.000544,0.889507
0.416336,0.017857,0.202472,0.005024,0.047810,0.000832,0.013601,0.000384,0.187239,0.001216,0.000352,0.903747
0.417040,0.018145,0.203240,0.004864,0.048482,0.000832,0.013632,0.000416,0.172359,0.001664,0.000416,0.889506
0.417968,0.017697,0.219880,0.005377,0.048098,0.001120,0.014048,0.000416,0.166567,0.001504,0.000384,0.902851
0.415952,0.017601,0.202920,0.005088,0.048610,0.000832,0.013921,0.000416,0.166054,0.001696,0.000416,0.881283
0.420721,0.017568,0.202920,0.005216,0.048258,0.000832,0.013665,0.000640,0.172743,0.001408,0.000384,0.892579
0.415824,0.017824,0.202952,0.005056,0.048354,0.000864,0.013761,0.000384,0.168999,0.001536,0.000448,0.884099
0.416689,0.017729,0.203079,0.005120,0.048386,0.000768,0.013824,0.000416,0.164775,0.001568,0.000416,0.880995
0.420592,0.017665,0.203176,0.005056,0.048546,0.000832,0.014081,0.000416,0.167014,0.001473,0.000352,0.887075
0.415824,0.017537,0.203176,0.005088,0.048194,0.000832,0.013953,0.000608,0.186247,0.001600,0.000416,0.902243
