Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416656,0.017729,0.202760,0.005248,0.047650,0.179271,0.014176,0.000481,0.001600,0.001024,0.000384,0.896387
0.415217,0.018049,0.203496,0.005248,0.047202,0.174502,0.014272,0.000480,0.001440,0.001088,0.000384,0.890467
0.415568,0.017409,0.202216,0.005280,0.046882,0.167367,0.014208,0.000480,0.001536,0.001024,0.000384,0.880834
0.415504,0.036322,0.203272,0.005280,0.047106,0.175207,0.014016,0.000512,0.001568,0.001152,0.000352,0.909284
0.419985,0.017409,0.202984,0.005216,0.047906,0.176039,0.014176,0.000448,0.001440,0.001056,0.000416,0.895779
0.415729,0.017664,0.204104,0.005313,0.048034,0.170534,0.014305,0.000512,0.001408,0.000992,0.000352,0.887555
0.415632,0.017441,0.203304,0.005280,0.048962,0.171687,0.013984,0.000544,0.001537,0.001056,0.000352,0.889411
0.419920,0.017728,0.202856,0.005345,0.048065,0.174631,0.014145,0.000480,0.001504,0.000992,0.000384,0.895459
0.416752,0.017537,0.202888,0.005216,0.047906,0.178407,0.014081,0.000448,0.001472,0.001056,0.000384,0.894723
0.415793,0.017473,0.202920,0.005280,0.047330,0.167142,0.014497,0.000416,0.001440,0.001088,0.000416,0.884579
0.416496,0.017729,0.221673,0.005216,0.048130,0.187943,0.014113,0.000512,0.001536,0.000960,0.000384,0.922788
0.415888,0.017473,0.202920,0.005344,0.047586,0.171847,0.014176,0.000480,0.001504,0.000960,0.000352,0.886819
0.419665,0.017537,0.202856,0.005248,0.047362,0.180679,0.014208,0.000480,0.001440,0.001024,0.000385,0.899108
0.420209,0.017920,0.202951,0.005281,0.047682,0.167302,0.014497,0.000480,0.001440,0.000992,0.000384,0.888355
0.414961,0.017440,0.202728,0.005281,0.048065,0.166983,0.014529,0.000416,0.001472,0.000992,0.000384,0.881571
0.414833,0.017440,0.202920,0.005281,0.048258,0.166726,0.014081,0.000480,0.001472,0.000928,0.000352,0.881699
0.414992,0.017633,0.202279,0.005248,0.047778,0.152774,0.013856,0.000448,0.001472,0.000992,0.000384,0.866145
0.420880,0.017504,0.220969,0.005088,0.047714,0.172711,0.013984,0.000448,0.001409,0.001024,0.000352,0.910980
0.415376,0.017409,0.203560,0.004896,0.047042,0.169031,0.013952,0.000448,0.001440,0.000992,0.000384,0.882435
0.420753,0.017536,0.203272,0.004833,0.046849,0.167367,0.014081,0.000480,0.001440,0.001184,0.000352,0.887747
0.415408,0.017601,0.203080,0.005312,0.046978,0.171559,0.014144,0.000448,0.001440,0.001120,0.000416,0.886018
0.430321,0.017377,0.202696,0.005312,0.046946,0.171622,0.013889,0.000480,0.001440,0.001056,0.000352,0.900099
0.421872,0.017696,0.204360,0.005313,0.048322,0.201447,0.014656,0.000672,0.001472,0.002240,0.000544,0.932452
0.421904,0.018016,0.204360,0.005121,0.048834,0.220520,0.014401,0.000608,0.001472,0.002496,0.000832,0.953189
0.441330,0.018305,0.207784,0.005152,0.048898,0.229897,0.015329,0.000704,0.001600,0.002336,0.000800,0.984871
0.421360,0.017729,0.205192,0.005376,0.049122,0.188199,0.014912,0.000736,0.001440,0.001024,0.000352,0.915331
0.419152,0.020769,0.205832,0.005345,0.048706,0.171046,0.014913,0.000736,0.001536,0.001088,0.000352,0.899235
0.418160,0.017793,0.203944,0.005216,0.048002,0.201416,0.015585,0.000704,0.001600,0.001088,0.000384,0.923780
0.416720,0.017633,0.202632,0.004928,0.048098,0.182759,0.015777,0.000704,0.001664,0.001024,0.000416,0.901987
0.420945,0.017761,0.203144,0.005312,0.048066,0.180071,0.015233,0.000736,0.001568,0.001120,0.000384,0.904068
0.417424,0.017632,0.203272,0.005184,0.048418,0.182151,0.014976,0.000736,0.001536,0.001088,0.000320,0.902211
0.434737,0.017473,0.202152,0.005312,0.047938,0.167366,0.014561,0.000672,0.001568,0.001216,0.000352,0.902979
0.417488,0.017472,0.203528,0.005312,0.048578,0.174727,0.014369,0.000704,0.001536,0.001056,0.000352,0.894115
0.417200,0.017633,0.203400,0.005280,0.047874,0.178695,0.014305,0.000736,0.001536,0.001024,0.000416,0.897475
0.416497,0.017633,0.202599,0.005377,0.048994,0.187463,0.015233,0.000736,0.001568,0.001120,0.000384,0.906564
0.418160,0.017760,0.202248,0.005376,0.048610,0.180519,0.014337,0.000736,0.001472,0.001056,0.000384,0.899299
0.416656,0.017505,0.204520,0.005152,0.048738,0.152774,0.014913,0.000512,0.001568,0.000992,0.000384,0.872610
0.421425,0.017729,0.204808,0.005216,0.047714,0.193128,0.015168,0.000768,0.001536,0.001216,0.000352,0.918692
0.433969,0.017537,0.203720,0.004896,0.048706,0.179463,0.014881,0.000608,0.001664,0.001088,0.000288,0.916260
0.417968,0.017729,0.203912,0.005344,0.048130,0.176391,0.015009,0.000672,0.001696,0.001088,0.000384,0.898211
0.417424,0.017729,0.203496,0.005280,0.048674,0.182759,0.014817,0.000672,0.001536,0.001184,0.000384,0.903235
0.416368,0.017953,0.204040,0.005344,0.064323,0.175911,0.014656,0.000736,0.001568,0.001088,0.000352,0.911812
0.416593,0.017696,0.203624,0.005249,0.048290,0.168998,0.014689,0.000448,0.001632,0.001120,0.000352,0.887843
