Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-9],OUT[9],TEE[7-9],Layer[10],classifier
0.395788,0.017568,0.191910,0.004928,0.048674,0.000864,0.013472,0.106115,0.034113,0.056194,0.199462,0.000704,0.879450
0.395660,0.017568,0.191494,0.004832,0.048225,0.000832,0.013537,0.109059,0.038017,0.060354,0.210598,0.000640,0.890170
0.417389,0.017824,0.192262,0.004960,0.047554,0.000832,0.013536,0.113923,0.045666,0.065794,0.229671,0.000800,0.931836
0.400427,0.017472,0.191718,0.005152,0.048513,0.000832,0.013665,0.104035,0.039393,0.061922,0.208838,0.000736,0.894842
0.396396,0.017504,0.191558,0.004864,0.047874,0.000864,0.013696,0.108675,0.037633,0.058850,0.208550,0.000704,0.888154
0.400012,0.017537,0.192101,0.004800,0.048418,0.000832,0.013888,0.124324,0.033569,0.058978,0.220103,0.000768,0.905275
0.400012,0.017824,0.191558,0.004896,0.048610,0.000832,0.013504,0.102659,0.039201,0.058402,0.203206,0.001024,0.887834
0.401964,0.017633,0.191621,0.005280,0.049282,0.000800,0.014016,0.106563,0.038178,0.058529,0.206342,0.000864,0.894426
0.404780,0.017761,0.191462,0.004800,0.048321,0.000864,0.013761,0.104707,0.036289,0.057825,0.201894,0.000704,0.890491
0.417101,0.017696,0.191718,0.004832,0.047938,0.000832,0.013536,0.107747,0.048994,0.060802,0.220679,0.000768,0.921404
0.400460,0.017537,0.192133,0.004961,0.047937,0.000832,0.013504,0.105892,0.039873,0.061346,0.210919,0.000672,0.895131
0.398348,0.017569,0.191589,0.005313,0.048129,0.000832,0.013632,0.113348,0.035425,0.056162,0.208007,0.000864,0.891355
0.395596,0.017601,0.192229,0.004801,0.047969,0.000768,0.014144,0.123459,0.042817,0.076194,0.247976,0.000704,0.928732
0.400619,0.017729,0.191590,0.005152,0.047841,0.000832,0.013409,0.103331,0.038241,0.058210,0.202918,0.000992,0.887450
0.399979,0.017696,0.192070,0.004832,0.049217,0.000832,0.013441,0.104323,0.035393,0.056578,0.199782,0.000672,0.884794
0.396299,0.017601,0.191846,0.005088,0.048065,0.000832,0.013569,0.108675,0.036097,0.056770,0.204710,0.000704,0.885626
0.417164,0.017921,0.191974,0.004896,0.047457,0.000832,0.013761,0.105027,0.039329,0.059234,0.206662,0.000640,0.907803
0.396044,0.017664,0.191686,0.004832,0.047809,0.000768,0.013537,0.109507,0.038017,0.062082,0.212710,0.000864,0.893050
0.400140,0.017280,0.192390,0.004800,0.047714,0.000800,0.013536,0.104259,0.038849,0.058786,0.204902,0.000800,0.888314
0.400620,0.017825,0.191973,0.004929,0.048065,0.000832,0.013504,0.123844,0.043105,0.062562,0.233095,0.000992,0.918331
0.399916,0.017697,0.191557,0.004896,0.049890,0.000800,0.013568,0.111044,0.037825,0.063650,0.215655,0.000736,0.901755
0.400908,0.017536,0.191558,0.004832,0.047649,0.000832,0.013505,0.111811,0.034593,0.056642,0.206086,0.000736,0.890650
0.396011,0.017697,0.191622,0.004864,0.048193,0.000832,0.014049,0.105795,0.034785,0.056706,0.200198,0.000736,0.880346
0.433004,0.017793,0.192678,0.004864,0.047297,0.000896,0.013729,0.111139,0.038433,0.062242,0.215110,0.000768,0.932635
0.395852,0.017536,0.191782,0.005088,0.048066,0.000800,0.013568,0.106947,0.037473,0.057890,0.205670,0.000608,0.885082
0.396267,0.017600,0.191398,0.004960,0.047681,0.000832,0.013441,0.105475,0.038625,0.060834,0.208678,0.000768,0.888922
0.395500,0.017600,0.192582,0.004896,0.047298,0.000832,0.013408,0.104643,0.050978,0.071810,0.231943,0.000736,0.912059
0.400492,0.017601,0.191717,0.004769,0.048001,0.000832,0.013408,0.108516,0.045665,0.060098,0.217255,0.000704,0.902043
0.400940,0.017824,0.191302,0.004800,0.047553,0.000832,0.013472,0.103811,0.049281,0.062594,0.218662,0.000896,0.902394
0.399980,0.017249,0.191301,0.004864,0.048161,0.000832,0.013504,0.101539,0.036161,0.062497,0.203878,0.000608,0.887066
0.410252,0.017473,0.191941,0.004897,0.047489,0.000800,0.013536,0.109732,0.042689,0.061474,0.216967,0.000608,0.910971
0.400716,0.017696,0.191558,0.005024,0.047362,0.000832,0.013568,0.111779,0.037665,0.059745,0.212262,0.000672,0.896474
0.400396,0.017857,0.191813,0.004833,0.047489,0.000832,0.013472,0.103811,0.038337,0.064930,0.210919,0.000672,0.894779
0.400172,0.017697,0.192198,0.004864,0.047009,0.000832,0.013793,0.103043,0.068770,0.123075,0.298216,0.000640,0.981501
0.396172,0.017760,0.191782,0.004800,0.046945,0.000832,0.013473,0.103139,0.036865,0.059746,0.202534,0.000736,0.881370
0.395627,0.017473,0.192197,0.004865,0.047041,0.000832,0.013504,0.105827,0.037793,0.063554,0.211079,0.000640,0.890970
0.399787,0.017473,0.191526,0.004928,0.047073,0.001024,0.013569,0.106595,0.037345,0.062242,0.209382,0.000768,0.891834
0.412108,0.017632,0.191237,0.004896,0.047106,0.000832,0.013504,0.108067,0.038434,0.068738,0.218247,0.000704,0.912891
0.395244,0.017857,0.191621,0.004864,0.047330,0.000896,0.013472,0.102691,0.037377,0.059842,0.203046,0.000832,0.881306
0.401932,0.017344,0.191238,0.004928,0.047138,0.000800,0.013504,0.101411,0.038465,0.060866,0.204294,0.000928,0.889274
0.401420,0.017729,0.192965,0.004833,0.047265,0.000800,0.013536,0.110628,0.038497,0.084227,0.256488,0.000704,0.943836
0.400396,0.017632,0.191910,0.004896,0.048098,0.000832,0.013952,0.109571,0.037922,0.060609,0.211142,0.000672,0.896219
0.399756,0.017600,0.192102,0.005312,0.047426,0.000832,0.013504,0.103779,0.037985,0.059778,0.205190,0.000640,0.889914
0.399852,0.017312,0.192070,0.004896,0.048418,0.001024,0.013504,0.101347,0.037601,0.066658,0.209158,0.000736,0.894010
0.410732,0.017377,0.192165,0.004864,0.047842,0.000896,0.013536,0.103971,0.045986,0.062530,0.215495,0.000608,0.910139
0.400204,0.017601,0.191557,0.004800,0.048098,0.000832,0.013536,0.105827,0.037922,0.063489,0.211143,0.000704,0.895675
