Layer[0],IN[1],INFER[1-10],OUT[10],TEE[1-10],classifier
0.396428,0.181125,0.626355,0.083458,0.895514,1.296007
0.396363,0.187077,0.619250,0.085219,0.895258,1.295430
0.397708,0.157764,0.608145,0.072482,0.842393,1.244421
0.396012,0.160485,0.624242,0.083619,0.872922,1.273062
0.396555,0.161797,0.605778,0.070946,0.842329,1.243652
0.396108,0.147428,0.608786,0.069442,0.830712,1.231652
0.413580,0.155140,0.626707,0.074402,0.860505,1.278246
0.396811,0.195206,0.609586,0.070530,0.879738,1.280389
0.397932,0.169125,0.627283,0.078114,0.879610,1.281798
0.397036,0.163077,0.610994,0.073058,0.851769,1.253317
0.398124,0.167717,0.609746,0.071074,0.852569,1.254853
0.396939,0.184966,0.637587,0.073442,0.900443,1.301670
0.396331,0.168997,0.610994,0.071458,0.855674,1.256293
0.396556,0.167877,0.609202,0.070178,0.851289,1.251941
0.396780,0.169349,0.618514,0.083075,0.874906,1.277350
0.397643,0.165188,0.612594,0.071778,0.853785,1.256261
0.397260,0.169669,0.626643,0.093379,0.894491,1.296423
0.397100,0.167141,0.610162,0.069730,0.851225,1.252613
0.396012,0.164389,0.608050,0.068482,0.844729,1.244677
0.396651,0.174534,0.618610,0.070082,0.867354,1.268805
0.397004,0.167717,0.622739,0.075906,0.870202,1.272006
0.397324,0.194278,0.608146,0.069890,0.876314,1.277830
0.397228,0.167589,0.610322,0.079330,0.861113,1.262661
0.396460,0.173989,0.611858,0.075586,0.865657,1.265509
0.398380,0.167237,0.625906,0.082787,0.880474,1.283398
0.397868,0.172933,0.610354,0.076322,0.863610,1.266150
0.397516,0.168741,0.610354,0.073378,0.856537,1.257797
0.420525,0.156837,0.606514,0.067650,0.835129,1.260262
0.397196,0.169669,0.620210,0.071267,0.865402,1.267078
0.395852,0.167237,0.612466,0.071170,0.855225,1.255557
0.396460,0.171141,0.608978,0.070658,0.854809,1.255429
0.396748,0.165253,0.607698,0.068962,0.845817,1.246853
0.395500,0.151972,0.624307,0.073186,0.853785,1.253765
0.399948,0.204230,0.618451,0.079842,0.907963,1.315207
0.398187,0.203430,0.613138,0.071298,0.892090,1.295974
0.415692,0.163045,0.611762,0.072482,0.851321,1.271589
0.397803,0.188709,0.609042,0.069282,0.871225,1.273445
0.396620,0.161093,0.629714,0.082371,0.879194,1.280710
0.396652,0.197094,0.608434,0.071810,0.881402,1.282310
0.397196,0.167621,0.621778,0.071842,0.865465,1.267557
0.397260,0.177061,0.612019,0.068258,0.862042,1.263718
0.395788,0.164773,0.608690,0.069346,0.846809,1.246917
0.396619,0.159237,0.608978,0.067266,0.839321,1.239492
0.408364,0.161509,0.617042,0.069218,0.851545,1.263557
0.396075,0.179046,0.620658,0.077058,0.880923,1.282982
0.396620,0.166629,0.625203,0.075554,0.871162,1.271462
0.396556,0.147012,0.620371,0.068450,0.839801,1.239845
0.395819,0.190405,0.605938,0.067042,0.867097,1.266341
0.396555,0.168069,0.639923,0.078211,0.892187,1.292871
0.397356,0.161028,0.607857,0.068354,0.840825,1.241477
0.396684,0.163781,0.607826,0.070658,0.845977,1.245989
0.413868,0.168229,0.617202,0.084162,0.873529,1.291942
0.395980,0.162469,0.605970,0.068962,0.841305,1.240613
0.397740,0.164485,0.622802,0.076642,0.868121,1.269285
0.396620,0.168709,0.607090,0.069890,0.849721,1.250405
0.396140,0.163045,0.607474,0.068482,0.843033,1.242821
0.396683,0.164773,0.625075,0.111683,0.906011,1.306758
0.395980,0.145732,0.606226,0.066274,0.821976,1.221636
0.396428,0.142629,0.607570,0.069058,0.823257,1.223397
0.410348,0.161637,0.617906,0.067394,0.850617,1.264549
0.396747,0.146789,0.605522,0.069634,0.825945,1.226308
0.396588,0.162084,0.605234,0.068354,0.839544,1.239524
0.396268,0.159844,0.603218,0.066754,0.833880,1.233508
0.396556,0.180261,0.607026,0.068482,0.859449,1.259461
0.396363,0.171909,0.626994,0.094915,0.898842,1.301606
0.397643,0.203718,0.611218,0.072162,0.891099,1.292838
0.396747,0.165317,0.619635,0.070754,0.859610,1.260421
0.416076,0.194918,0.610098,0.075555,0.884123,1.304839
0.397644,0.168677,0.611218,0.070146,0.854105,1.256165
0.397964,0.166309,0.632018,0.093795,0.896346,1.298630
0.397643,0.155973,0.607378,0.070562,0.837497,1.239140
0.395980,0.154565,0.611826,0.072162,0.842585,1.242949
