Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-8],Layer[9],Layer[10],classifier
0.415920,0.017504,0.202920,0.004960,0.048258,0.000608,0.185608,0.001376,0.000384,0.884035
0.415792,0.017665,0.202184,0.004832,0.048450,0.000576,0.190760,0.001312,0.000352,0.888579
0.420817,0.017665,0.202024,0.005056,0.048514,0.000544,0.197160,0.001344,0.000384,0.899940
0.415280,0.017601,0.202216,0.005056,0.047970,0.000608,0.217449,0.001216,0.000384,0.914596
0.415824,0.017537,0.202536,0.005120,0.048130,0.000544,0.188903,0.001344,0.000352,0.887459
0.419760,0.017473,0.221385,0.005216,0.048994,0.000576,0.188295,0.001472,0.000384,0.910819
0.419537,0.017633,0.202279,0.005088,0.048578,0.000608,0.180839,0.001376,0.000384,0.883011
0.420273,0.017600,0.202088,0.005121,0.048642,0.000544,0.195303,0.001312,0.000384,0.897795
0.420016,0.017537,0.201928,0.005024,0.047650,0.000576,0.195944,0.001184,0.000384,0.897059
0.415472,0.017889,0.203464,0.005312,0.047586,0.000800,0.209096,0.001312,0.000384,0.908867
0.419857,0.017536,0.202344,0.004897,0.047777,0.000769,0.191751,0.001120,0.000384,0.893091
0.415024,0.017376,0.204168,0.004896,0.047874,0.000544,0.192840,0.001280,0.000352,0.890915
0.416529,0.017920,0.218793,0.004992,0.047970,0.000576,0.199048,0.001440,0.000384,0.916580
0.419665,0.017345,0.201960,0.004864,0.048162,0.000544,0.189991,0.001312,0.000384,0.890851
0.416337,0.017728,0.202952,0.005249,0.047809,0.000608,0.191720,0.001248,0.000320,0.890243
0.420529,0.017792,0.202088,0.004833,0.048033,0.000576,0.183368,0.001344,0.000352,0.885507
0.431601,0.017569,0.204648,0.004864,0.047842,0.000576,0.197544,0.001344,0.000416,0.913124
0.415633,0.017248,0.202696,0.004833,0.048417,0.000576,0.185511,0.001280,0.000416,0.883171
0.415312,0.017537,0.202120,0.005024,0.049250,0.000576,0.193768,0.001216,0.000320,0.892035
0.415185,0.017888,0.217897,0.005120,0.048322,0.000608,0.190824,0.001376,0.000448,0.905316
0.420272,0.017408,0.202120,0.004928,0.047842,0.000576,0.199080,0.001312,0.000416,0.901155
0.420080,0.017505,0.202440,0.005056,0.048354,0.000576,0.190087,0.001280,0.000416,0.892675
0.416560,0.017665,0.201960,0.005088,0.048802,0.000576,0.188231,0.001376,0.000384,0.888515
0.435537,0.017569,0.202344,0.005056,0.049186,0.000576,0.215817,0.001344,0.000384,0.935141
0.420560,0.017825,0.201896,0.005184,0.048194,0.000576,0.189992,0.001248,0.000416,0.892547
0.419920,0.017761,0.203176,0.005024,0.047970,0.000576,0.195144,0.001312,0.000352,0.899107
0.416401,0.017568,0.202792,0.005056,0.064706,0.000864,0.202632,0.001344,0.000384,0.920484
0.415664,0.017569,0.202152,0.004928,0.048866,0.000544,0.193063,0.001344,0.000384,0.892163
0.420368,0.017697,0.203624,0.005120,0.048258,0.000768,0.210632,0.001152,0.000384,0.915684
0.415248,0.017729,0.203624,0.005088,0.047874,0.000608,0.193288,0.001280,0.000384,0.892675
0.437425,0.017665,0.201832,0.004832,0.048258,0.000544,0.187687,0.001248,0.000384,0.906915
0.420880,0.017569,0.203048,0.004800,0.047842,0.000544,0.181575,0.001408,0.000448,0.885090
0.420592,0.017569,0.202856,0.004992,0.048418,0.000544,0.194024,0.001280,0.000352,0.897539
0.419985,0.017504,0.202376,0.004864,0.066211,0.000832,0.190888,0.001376,0.000352,0.913060
0.416048,0.017505,0.202696,0.004896,0.048642,0.000576,0.193064,0.001248,0.000352,0.891587
0.419920,0.017633,0.202760,0.004864,0.048130,0.000608,0.199592,0.001344,0.000352,0.902051
0.416368,0.017728,0.201832,0.005024,0.048130,0.000544,0.188232,0.001472,0.000352,0.886179
0.434161,0.017601,0.202280,0.005152,0.047842,0.000576,0.203304,0.001280,0.000320,0.920452
0.420561,0.017568,0.202920,0.005057,0.048994,0.000576,0.186663,0.001504,0.000384,0.891299
0.415600,0.017697,0.203016,0.005024,0.047714,0.000640,0.173319,0.001376,0.000416,0.874178
0.419985,0.017952,0.202152,0.004961,0.047937,0.000608,0.201384,0.001408,0.000385,0.903716
0.420977,0.017825,0.202471,0.005120,0.047874,0.000576,0.217288,0.001216,0.000384,0.922372
0.422448,0.017505,0.202440,0.005184,0.048258,0.000608,0.195688,0.001248,0.000384,0.901347
0.420688,0.017856,0.202376,0.004832,0.048514,0.000640,0.182663,0.001248,0.000384,0.886403
0.432721,0.017633,0.202568,0.004896,0.048802,0.000544,0.189063,0.001376,0.000384,0.906372
