TEE[0-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.747840,0.015040,0.000769,0.001504,0.001088,0.000320,1.773634
1.759777,0.016545,0.000928,0.001408,0.001024,0.000352,1.787458
1.784706,0.014529,0.000928,0.001440,0.001120,0.000384,1.809795
1.800098,0.015136,0.000608,0.001440,0.001184,0.000384,1.827781
1.761120,0.014753,0.000896,0.001504,0.001153,0.000416,1.786594
1.773954,0.014625,0.000736,0.001536,0.001184,0.000416,1.799875
1.722335,0.014785,0.000704,0.001568,0.001088,0.000320,1.747616
1.759136,0.015073,0.000832,0.001376,0.001121,0.000416,1.784610
1.762177,0.014913,0.000384,0.001472,0.000960,0.000352,1.785890
1.782082,0.014657,0.000640,0.001472,0.001088,0.000384,1.806819
1.731967,0.014849,0.000704,0.001472,0.001216,0.000384,1.757184
1.751264,0.015329,0.000736,0.001440,0.001344,0.000384,1.777314
1.731455,0.015041,0.000704,0.001440,0.001216,0.000352,1.757152
1.761505,0.015841,0.000672,0.001536,0.001056,0.000448,1.787874
1.770145,0.015841,0.000736,0.001664,0.001248,0.000352,1.797314
1.806979,0.015201,0.000704,0.001568,0.001152,0.000352,1.832389
1.718302,0.015105,0.000704,0.001472,0.001088,0.000384,1.743295
1.745791,0.015681,0.000992,0.001472,0.000992,0.000320,1.772065
1.775233,0.015585,0.000736,0.001504,0.001088,0.000416,1.801346
1.747296,0.015073,0.000736,0.001568,0.001120,0.000416,1.773153
1.732991,0.015073,0.000736,0.001472,0.000992,0.000416,1.758368
1.786882,0.015041,0.001024,0.001536,0.001184,0.000416,1.813156
1.725887,0.014753,0.000928,0.001536,0.001120,0.000416,1.751616
1.778498,0.015105,0.000736,0.001376,0.001216,0.000384,1.802819
1.750848,0.014753,0.000704,0.001472,0.001152,0.000384,1.776418
1.782433,0.015456,0.000928,0.001473,0.000992,0.000352,1.808643
1.751424,0.014721,0.000896,0.001472,0.001024,0.000384,1.776769
1.779169,0.014657,0.000736,0.001472,0.001120,0.000384,1.804386
1.764225,0.014593,0.000704,0.001472,0.001120,0.000416,1.789602
1.774625,0.014624,0.000768,0.001472,0.001120,0.000384,1.799619
1.736767,0.015073,0.000704,0.001472,0.001088,0.000384,1.762273
1.776866,0.015393,0.000704,0.001504,0.000960,0.000384,1.802499
1.774209,0.016065,0.000832,0.001472,0.001056,0.000384,1.801506
1.718847,0.015937,0.000704,0.001792,0.001120,0.000352,1.745760
1.750656,0.016193,0.000704,0.001536,0.001216,0.000385,1.778114
1.759360,0.015681,0.000704,0.001472,0.001248,0.000576,1.786209
1.759424,0.015969,0.000704,0.001792,0.001184,0.000416,1.786370
1.731295,0.016065,0.000736,0.001696,0.001216,0.000384,1.758049
1.752032,0.015904,0.000736,0.001504,0.001152,0.000384,1.778114
1.756992,0.016129,0.000768,0.001536,0.001088,0.000320,1.783905
1.754784,0.016129,0.000768,0.001889,0.001344,0.000352,1.783106
1.762240,0.016544,0.000705,0.001728,0.001184,0.000352,1.790242
1.753440,0.016289,0.000736,0.001568,0.001153,0.000320,1.780994
1.738975,0.015553,0.000704,0.001472,0.000992,0.000416,1.765216
1.748767,0.015937,0.000704,0.001505,0.001152,0.000384,1.775137
1.743071,0.016256,0.000736,0.001536,0.001024,0.000320,1.769953
1.752960,0.016449,0.000672,0.001408,0.001120,0.000352,1.779938
1.733535,0.016737,0.000736,0.001696,0.001408,0.000384,1.761184
1.742591,0.016705,0.000992,0.001568,0.001248,0.000416,1.770689
1.732159,0.015841,0.000736,0.001472,0.001312,0.000384,1.758688
1.743424,0.015713,0.000736,0.001568,0.001408,0.000384,1.769921
1.734015,0.015745,0.000704,0.001536,0.001248,0.000385,1.760257
1.781378,0.015681,0.000736,0.001600,0.001120,0.000352,1.808675
1.764481,0.015393,0.000704,0.001440,0.001152,0.000352,1.790370
1.794658,0.015489,0.000704,0.001472,0.001120,0.000384,1.820227
1.763584,0.016257,0.000736,0.001633,0.001120,0.000416,1.790722
1.747775,0.015137,0.000704,0.001408,0.001281,0.000352,1.773441
1.763808,0.015809,0.000704,0.001536,0.001088,0.000352,1.789698
1.756992,0.015649,0.000736,0.001472,0.001120,0.000352,1.783777
1.750112,0.015745,0.000704,0.001632,0.001120,0.000416,1.776769
1.735231,0.016257,0.000704,0.001441,0.001088,0.000416,1.762497
1.759264,0.015617,0.000736,0.001408,0.001248,0.000384,1.786465
1.815460,0.015265,0.000736,0.001760,0.001088,0.000384,1.841253
1.776577,0.015937,0.000704,0.001504,0.001216,0.000352,1.804290
1.766848,0.017089,0.000800,0.001472,0.001120,0.000416,1.795170
1.758048,0.016417,0.000736,0.001472,0.001248,0.000352,1.785345
1.751808,0.016193,0.000736,0.001664,0.001216,0.000416,1.779041
1.728927,0.015105,0.000768,0.001856,0.001024,0.000320,1.755008
1.780865,0.015841,0.000736,0.001536,0.001120,0.000384,1.808034
1.762048,0.015489,0.000736,0.001600,0.001152,0.000416,1.788482
1.770689,0.017729,0.000704,0.001505,0.001184,0.000352,1.799811
1.736255,0.015041,0.000768,0.001536,0.001152,0.000416,1.762496
1.803011,0.015105,0.001216,0.001536,0.001152,0.000384,1.829060
1.737663,0.014881,0.000704,0.001568,0.001024,0.000384,1.762912
1.781442,0.015009,0.000736,0.001440,0.001216,0.000384,1.806755
1.763552,0.014688,0.000769,0.001408,0.001088,0.000416,1.788418
1.797858,0.015264,0.000704,0.001537,0.001056,0.000384,1.822660
1.754720,0.014657,0.000736,0.001472,0.001216,0.000416,1.779585
1.770273,0.014881,0.000672,0.001376,0.001024,0.000384,1.794626
1.730591,0.015137,0.000928,0.001440,0.001152,0.000384,1.756288
1.761792,0.014721,0.000896,0.001440,0.001217,0.000352,1.786946
1.782145,0.014816,0.000928,0.001472,0.001120,0.000384,1.807779
1.799426,0.016065,0.000704,0.001472,0.001248,0.000384,1.826916
1.742175,0.014785,0.000704,0.001568,0.001248,0.000384,1.767745
1.786658,0.016577,0.000704,0.001504,0.001184,0.000416,1.814499
1.764192,0.014689,0.000768,0.001536,0.001056,0.000416,1.788834
1.763456,0.014721,0.000704,0.001440,0.001120,0.000384,1.788193
1.759392,0.014848,0.000896,0.001441,0.001120,0.000384,1.784770
1.775777,0.014721,0.000704,0.001344,0.000992,0.000416,1.800226
1.779489,0.014752,0.000736,0.001473,0.001152,0.000384,1.804547
1.735454,0.015201,0.000768,0.001472,0.001024,0.000384,1.760704
1.752992,0.014913,0.000736,0.001408,0.001184,0.000352,1.779169
1.752096,0.014945,0.000704,0.001472,0.001184,0.000416,1.777825
1.769665,0.014753,0.000704,0.001440,0.000992,0.000384,1.794978
