Layer[0],Layer[1],Layer[2],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416817,0.021089,0.202119,0.258539,0.000832,0.002496,0.001216,0.000352,0.910980
0.416721,0.017985,0.202824,0.257194,0.000800,0.002368,0.001120,0.000480,0.906980
0.423280,0.017633,0.202216,0.281003,0.000832,0.003136,0.001280,0.000352,0.939108
0.417009,0.017793,0.202120,0.266666,0.000864,0.002368,0.001216,0.000416,0.916516
0.416240,0.017568,0.202248,0.272875,0.000800,0.002304,0.001088,0.000352,0.921316
0.415856,0.017601,0.202120,0.281675,0.000768,0.002528,0.001280,0.000448,0.929636
0.432528,0.017760,0.202184,0.260298,0.000800,0.002144,0.001216,0.000384,0.925348
0.416529,0.017568,0.202056,0.275435,0.000832,0.002144,0.001184,0.000416,0.924420
0.416497,0.017440,0.202600,0.253834,0.000800,0.002304,0.001153,0.000416,0.903044
0.420817,0.017313,0.219720,0.268011,0.000768,0.002272,0.001184,0.000640,0.938373
0.415472,0.017505,0.201896,0.259306,0.000896,0.002368,0.001152,0.000416,0.906627
0.416688,0.017985,0.203944,0.258378,0.000832,0.002656,0.001248,0.000384,0.910723
0.418576,0.017601,0.204648,0.262538,0.000992,0.002369,0.001280,0.000416,0.917124
0.417233,0.017889,0.202632,0.255722,0.000800,0.002208,0.001184,0.000384,0.905956
0.415152,0.018049,0.202376,0.261066,0.000832,0.002144,0.001088,0.000384,0.908387
0.416464,0.017505,0.202216,0.256970,0.000736,0.002304,0.001088,0.000416,0.905187
0.421361,0.017729,0.223017,0.249737,0.000736,0.002145,0.001024,0.000640,0.923621
0.415792,0.017537,0.203144,0.256490,0.000768,0.002176,0.001024,0.000352,0.905091
0.415761,0.017952,0.201960,0.255210,0.000704,0.002145,0.001024,0.000416,0.902308
0.415472,0.017696,0.202024,0.247210,0.000704,0.002208,0.000960,0.000416,0.893763
0.420529,0.017793,0.202216,0.254730,0.000768,0.002272,0.000992,0.000608,0.907012
0.420304,0.017537,0.202120,0.261578,0.000736,0.002337,0.001120,0.000608,0.913860
0.416976,0.017729,0.203432,0.261930,0.000832,0.002625,0.001088,0.000352,0.913828
0.433777,0.017729,0.202887,0.250377,0.000640,0.002177,0.001024,0.000384,0.917700
