Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-10],classifier
0.415952,0.017729,0.203080,0.005088,0.196072,0.909123
0.416560,0.017601,0.204136,0.005344,0.198824,0.917891
0.416880,0.017760,0.203880,0.005376,0.178151,0.909636
0.421777,0.017633,0.204104,0.004800,0.207720,0.929445
0.415760,0.017600,0.202216,0.005280,0.203208,0.917220
0.439666,0.017760,0.202952,0.005249,0.201063,0.933829
0.421489,0.017697,0.203432,0.005248,0.191207,0.913092
0.421201,0.017505,0.202312,0.005248,0.192359,0.907908
0.421329,0.017696,0.202792,0.005217,0.201639,0.942725
0.416113,0.017728,0.202760,0.004897,0.197511,0.907940
0.420177,0.017761,0.203272,0.005248,0.191079,0.912900
0.420688,0.017793,0.203016,0.005056,0.184615,0.905571
0.434993,0.017760,0.202088,0.005249,0.194631,0.928741
0.415728,0.017665,0.202376,0.005216,0.203560,0.914628
0.422608,0.017665,0.203272,0.005056,0.194312,0.914308
0.420593,0.017601,0.202439,0.005249,0.209896,0.933221
0.420785,0.017664,0.203784,0.004993,0.198407,0.912228
0.416337,0.017473,0.203080,0.005280,0.205800,0.915172
0.415792,0.017505,0.202792,0.004800,0.176455,0.890307
0.434929,0.017729,0.202408,0.004864,0.215592,0.943877
0.415345,0.017473,0.202631,0.005025,0.194887,0.910244
0.415505,0.017504,0.202632,0.004832,0.195848,0.903620
0.415408,0.017793,0.203016,0.005024,0.198696,0.932932
0.415505,0.017504,0.202408,0.005249,0.207304,0.919204
0.415088,0.017761,0.202760,0.004800,0.181255,0.891939
0.415248,0.017729,0.202856,0.004800,0.166374,0.876226
0.442289,0.017537,0.203336,0.005056,0.197320,0.928548
0.416368,0.017985,0.202216,0.004768,0.177959,0.888995
0.420656,0.017697,0.202056,0.004800,0.183399,0.893699
0.419920,0.017729,0.202792,0.005216,0.194952,0.929860
0.415152,0.017825,0.203144,0.005120,0.175911,0.887555
0.415600,0.017409,0.203144,0.005056,0.192680,0.933284
0.415568,0.017441,0.203400,0.005216,0.185256,0.900995
0.431249,0.017793,0.202280,0.005248,0.174407,0.895395
0.415120,0.017281,0.202472,0.004800,0.209448,0.924964
0.417008,0.017601,0.202600,0.004768,0.218889,0.928420
0.415120,0.017697,0.201736,0.005472,0.194632,0.901731
0.420048,0.017505,0.201768,0.004928,0.218281,0.933956
0.415473,0.017568,0.202344,0.005281,0.177927,0.888899
0.415664,0.017760,0.202440,0.004992,0.166439,0.878018
0.416976,0.017505,0.217800,0.005377,0.209896,0.935620
0.414864,0.017568,0.203496,0.005248,0.181096,0.888067
0.415216,0.017441,0.202856,0.004832,0.195976,0.901027
0.421488,0.017697,0.203688,0.005056,0.225161,0.948677
0.419985,0.017793,0.203752,0.005312,0.195208,0.913796
0.419792,0.017505,0.203688,0.004864,0.202504,0.917571
0.419728,0.017729,0.202664,0.005280,0.203496,0.919844
0.440081,0.017633,0.202632,0.005056,0.189287,0.923428
0.419952,0.017760,0.202216,0.005248,0.190056,0.902947
0.420721,0.017761,0.202408,0.005248,0.179815,0.894243
0.420976,0.017601,0.202664,0.005248,0.179783,0.926948
0.421873,0.017664,0.202791,0.005217,0.204776,0.944037
0.416272,0.017569,0.203400,0.005056,0.191144,0.907779
0.419920,0.017633,0.202280,0.004928,0.190311,0.911427
0.441170,0.017601,0.202471,0.005313,0.207048,0.955558
0.421040,0.017729,0.202504,0.004864,0.203336,0.917828
0.424465,0.018625,0.209608,0.005120,0.208360,0.951366
0.418992,0.017568,0.223209,0.005248,0.179975,0.914820
0.417105,0.017728,0.203048,0.004801,0.198055,0.905732
0.421457,0.017664,0.203496,0.005089,0.180039,0.898403
0.423729,0.017601,0.203016,0.005088,0.196744,0.915012
0.415952,0.017761,0.203560,0.005280,0.192840,0.910244
0.416976,0.017472,0.202408,0.005248,0.206280,0.917892
0.417073,0.017728,0.203752,0.005281,0.206344,0.917956
0.416593,0.033377,0.203080,0.005280,0.201736,0.931493
0.420497,0.017729,0.202535,0.005057,0.207432,0.921668
0.416176,0.017505,0.202856,0.005248,0.206792,0.916996
0.416624,0.017536,0.206600,0.004993,0.200263,0.945477
0.416368,0.017729,0.203336,0.005248,0.181639,0.892067
0.420208,0.017569,0.202728,0.005184,0.189256,0.900099
