Layer[0],Layer[1],IN[2],INFER[2-8],OUT[8],TEE[2-8],Layer[9],Layer[10],classifier
0.395628,0.017568,0.137957,0.593457,0.069826,0.804632,0.001504,0.000448,1.225156
0.395083,0.017345,0.133284,0.604978,0.066690,0.808568,0.001472,0.000480,1.227588
0.395468,0.017473,0.130340,0.588305,0.065954,0.788407,0.001440,0.000384,1.208324
0.394668,0.017441,0.137988,0.585073,0.063906,0.790583,0.001408,0.000448,1.209572
0.395339,0.017377,0.132452,0.601170,0.072546,0.809656,0.001344,0.000416,1.229220
0.402380,0.018305,0.189573,0.597458,0.078370,0.870105,0.003265,0.000608,1.302279
0.397676,0.017568,0.141188,0.590161,0.066946,0.801592,0.001440,0.000352,1.223620
0.396812,0.017568,0.150277,0.602385,0.066594,0.822808,0.001537,0.000640,1.244645
0.396812,0.017568,0.118660,0.587921,0.065282,0.775415,0.001664,0.000448,1.197347
0.397163,0.017409,0.123460,0.586865,0.065730,0.779895,0.001568,0.000416,1.202307
0.412332,0.017472,0.122948,0.597746,0.065986,0.790200,0.001504,0.000448,1.226980
0.396715,0.017409,0.134180,0.589521,0.067938,0.795895,0.001504,0.000384,1.217795
0.396332,0.017408,0.133604,0.607026,0.085219,0.829497,0.001440,0.000448,1.250341
0.396363,0.020993,0.125732,0.595281,0.072674,0.796791,0.001473,0.000384,1.220996
0.395532,0.017408,0.132036,0.585201,0.063650,0.784151,0.001408,0.000384,1.203908
0.396139,0.017409,0.137924,0.597810,0.099491,0.839193,0.001472,0.000480,1.259877
0.395276,0.017344,0.140485,0.584113,0.073602,0.801656,0.001536,0.000416,1.221636
