IN[0],INFER[0-3],OUT[3],TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.144996,1.525645,0.096899,1.774709,0.050210,0.000832,0.013504,0.000384,0.001568,0.001120,0.000417,1.847128
0.142180,1.500045,0.063874,1.711219,0.051073,0.000832,0.013921,0.000384,0.001472,0.001152,0.000416,1.784277
0.150820,1.518158,0.082146,1.757076,0.052930,0.000832,0.013760,0.000352,0.001408,0.001280,0.000352,1.832502
0.141189,1.512429,0.075298,1.735412,0.052162,0.000832,0.013696,0.000384,0.001504,0.001120,0.000384,1.809558
0.148516,1.529390,0.073282,1.756756,0.052418,0.000832,0.013824,0.000320,0.001440,0.001152,0.000384,1.831126
0.166565,1.500428,0.065570,1.738963,0.050306,0.000832,0.013696,0.000352,0.001568,0.000993,0.000384,1.811158
0.137764,1.516013,0.084259,1.744884,0.052673,0.000864,0.013601,0.000352,0.001632,0.001184,0.000384,1.820086
0.146309,1.508749,0.079170,1.740820,0.052162,0.000864,0.013600,0.000384,0.001536,0.001056,0.000352,1.814902
0.185605,1.526702,0.067362,1.786133,0.049217,0.000832,0.013505,0.000384,0.001536,0.000992,0.000384,1.856983
0.128644,1.499725,0.067842,1.702675,0.050721,0.000864,0.013441,0.000352,0.001568,0.001120,0.000416,1.775413
0.137892,1.510605,0.069474,1.723667,0.052194,0.000864,0.013568,0.000320,0.001472,0.001056,0.000384,1.797493
0.141860,1.501517,0.066818,1.716211,0.049089,0.000864,0.013537,0.000320,0.001536,0.001056,0.000416,1.786901
0.142821,1.503533,0.068994,1.722452,0.052769,0.000832,0.013569,0.000416,0.001536,0.001120,0.000384,1.797110
0.138788,1.503277,0.067330,1.715891,0.051169,0.000896,0.013793,0.000416,0.001536,0.001056,0.000640,1.789941
0.143204,1.513869,0.068994,1.733299,0.049314,0.000832,0.013824,0.000352,0.001504,0.001056,0.000352,1.805014
0.143076,1.510061,0.085186,1.744340,0.048673,0.000608,0.013824,0.000352,0.001537,0.001152,0.000352,1.814678
0.149605,1.514573,0.068194,1.739892,0.049474,0.000832,0.013632,0.000352,0.001536,0.001152,0.000384,1.811350
0.166277,1.551278,0.093251,1.817686,0.051202,0.000864,0.013536,0.000352,0.001504,0.000992,0.000352,1.890936
0.137220,1.510541,0.068002,1.722195,0.049570,0.000832,0.013792,0.000352,0.001504,0.001056,0.000352,1.793813
