Layer[0],Layer[1],Layer[2],IN[3],INFER[3-5],OUT[5],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.393996,0.017569,0.191589,0.137476,0.090051,0.060226,0.290857,0.014464,0.000544,0.001440,0.000992,0.000352,0.917915
0.411788,0.017569,0.191941,0.131492,0.103971,0.066690,0.305481,0.015265,0.000736,0.001472,0.000960,0.000352,0.951644
0.394732,0.017760,0.191814,0.133284,0.082498,0.061154,0.280168,0.015553,0.000512,0.001440,0.000992,0.000352,0.909499
0.395084,0.017472,0.191910,0.135812,0.083939,0.059425,0.282376,0.015521,0.000480,0.001536,0.001024,0.000352,0.912603
0.395020,0.017601,0.191845,0.154437,0.103459,0.060450,0.321930,0.015040,0.000512,0.001472,0.001024,0.000320,0.951068
0.394923,0.017697,0.191333,0.134404,0.085987,0.067106,0.290633,0.014241,0.000480,0.001376,0.001024,0.000352,0.917659
0.394443,0.017600,0.191814,0.122371,0.084387,0.061410,0.271560,0.015104,0.000512,0.001472,0.000992,0.000320,0.900282
0.394507,0.017473,0.191622,0.138948,0.086306,0.067170,0.295848,0.014273,0.000736,0.001344,0.001056,0.000352,0.923515
0.411980,0.017537,0.191526,0.131491,0.097859,0.062786,0.295624,0.014273,0.000512,0.001568,0.001024,0.000384,0.941404
0.401867,0.018304,0.194086,0.173925,0.096259,0.065666,0.339914,0.016544,0.000705,0.001920,0.002592,0.000608,0.985821
0.395852,0.017889,0.191813,0.140133,0.089986,0.061858,0.295657,0.016449,0.000704,0.001408,0.001248,0.000768,0.928348
0.420909,0.017505,0.191557,0.137572,0.100323,0.065154,0.306537,0.015937,0.000512,0.001440,0.001088,0.000320,0.963005
0.395660,0.017633,0.192069,0.137828,0.089283,0.064098,0.294281,0.014816,0.000480,0.001472,0.000992,0.000320,0.924316
0.394892,0.017664,0.191814,0.135524,0.087394,0.062753,0.290152,0.015297,0.000512,0.001472,0.000960,0.000320,0.919131
0.395244,0.017472,0.192614,0.136580,0.115268,0.109603,0.364651,0.014560,0.000512,0.001440,0.000992,0.000288,0.994173
0.396108,0.017761,0.192645,0.130916,0.083747,0.063426,0.281609,0.014560,0.000512,0.001440,0.000992,0.000352,0.912347
0.395724,0.017505,0.191621,0.123524,0.097379,0.064386,0.288777,0.014432,0.000512,0.001472,0.000928,0.000320,0.917179
