IN[0],INFER[0-10],OUT[10],TEE[0-10],classifier
0.175141,1.589871,0.081474,1.854039,1.855735
0.145572,1.572783,0.074946,1.800021,1.801429
0.142789,1.578478,0.068866,1.796182,1.797526
0.127172,1.570350,0.068866,1.772181,1.773429
0.150437,1.596495,0.074658,1.828438,1.830198
0.145604,1.581263,0.074626,1.807733,1.809013
0.138724,1.571855,0.071490,1.788309,1.789589
0.134244,1.576974,0.074019,1.792053,1.793493
0.149892,1.570799,0.074658,1.803093,1.804341
0.151588,1.579567,0.095299,1.833750,1.835638
0.133572,1.576750,0.075330,1.793653,1.795317
0.146405,1.594319,0.081987,1.829815,1.831447
0.170021,1.582703,0.067458,1.826134,1.827318
0.128452,1.583631,0.080002,1.799317,1.800885
0.144996,1.575439,0.076546,1.803797,1.805205
0.146724,1.590287,0.098083,1.842519,1.844311
0.130948,1.576815,0.075074,1.789493,1.791126
0.131972,1.594383,0.082562,1.816406,1.818166
0.154340,1.597615,0.072354,1.831158,1.832726
0.130884,1.592207,0.083075,1.813910,1.815606
0.148484,1.582511,0.070786,1.809206,1.810902
0.148741,1.591855,0.083074,1.831126,1.832886
0.159013,1.575054,0.070338,1.810869,1.812182
0.147365,1.595855,0.107523,1.857879,1.859639
0.145572,1.568815,0.068770,1.788885,1.790197
0.180774,1.602575,0.080099,1.869528,1.870744
0.181222,1.577455,0.069538,1.835927,1.837143
0.145988,1.594543,0.105540,1.854167,1.855895
0.147461,1.570702,0.072194,1.797077,1.798422
0.149637,1.596015,0.083939,1.837239,1.838967
0.180038,1.576046,0.073058,1.837111,1.838519
0.135332,1.583407,0.082850,1.808982,1.810774
0.149732,1.575791,0.069570,1.802261,1.803541
0.144996,1.582799,0.107427,1.842326,1.844054
0.144900,1.568463,0.074370,1.794101,1.795285
0.192581,1.580943,0.076707,1.857655,1.859415
0.153573,1.572398,0.071907,1.803414,1.804918
0.151268,1.573679,0.077538,1.809206,1.811158
0.173637,1.571887,0.073954,1.825910,1.827286
0.146725,1.580719,0.076610,1.810806,1.812054
0.150500,1.596880,0.081858,1.838422,1.840214
0.146277,1.582799,0.074114,1.809654,1.811510
0.147429,1.588847,0.111779,1.854967,1.856728
0.150309,1.585839,0.075266,1.818230,1.820182
0.132196,1.601647,0.084291,1.825494,1.827318
