Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-7],OUT[7],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.396204,0.018081,0.192165,0.004960,0.047426,0.000832,0.108291,0.046690,0.060513,0.218918,0.002624,0.001057,0.000384,0.889691
0.396780,0.017824,0.192037,0.004832,0.048898,0.000608,0.105123,0.064930,0.065378,0.239783,0.005568,0.001184,0.000704,0.915067
0.395244,0.017728,0.192102,0.005312,0.048417,0.000800,0.105380,0.062849,0.061282,0.232583,0.002528,0.001472,0.000641,0.903419
0.395468,0.017504,0.191814,0.005280,0.048578,0.000768,0.102659,0.049089,0.059458,0.214342,0.005472,0.001056,0.000384,0.887066
0.394988,0.017824,0.192166,0.004832,0.048738,0.000800,0.110051,0.060130,0.065986,0.239687,0.003200,0.001632,0.000640,0.912091
0.394316,0.017472,0.191686,0.005024,0.048001,0.000832,0.126564,0.060674,0.066946,0.259560,0.003744,0.001120,0.000608,0.930011
0.410220,0.017665,0.191877,0.005472,0.049089,0.000832,0.103939,0.048994,0.060994,0.217223,0.002592,0.001408,0.000416,0.903067
0.399788,0.017888,0.196902,0.004896,0.048578,0.000832,0.117443,0.047266,0.061954,0.229831,0.002592,0.001376,0.000448,0.911259
0.401228,0.017729,0.192934,0.004960,0.048641,0.000864,0.114980,0.059361,0.063522,0.240999,0.002464,0.001344,0.000416,0.918523
0.394796,0.017760,0.192517,0.004928,0.048130,0.000800,0.119139,0.068674,0.089955,0.281096,0.002432,0.001312,0.000416,0.951356
0.400107,0.017569,0.192390,0.004928,0.049857,0.000800,0.112772,0.050273,0.065250,0.231335,0.003104,0.001184,0.000672,0.908954
0.396780,0.017760,0.191878,0.005312,0.048482,0.000800,0.120035,0.049122,0.062626,0.234983,0.002560,0.001248,0.000608,0.907483
0.399756,0.017633,0.192005,0.005185,0.048577,0.000800,0.110915,0.049602,0.066370,0.229959,0.002464,0.001248,0.000480,0.905051
0.413581,0.026784,0.192550,0.005120,0.049122,0.000800,0.119747,0.057410,0.072290,0.252871,0.002912,0.001248,0.000384,0.953948
0.399723,0.017825,0.192102,0.005248,0.048545,0.000800,0.111332,0.048257,0.060930,0.223751,0.002208,0.001408,0.000416,0.898746
0.400300,0.017601,0.191781,0.005344,0.048962,0.000800,0.111875,0.048066,0.063874,0.227111,0.002784,0.001280,0.000416,0.903995
0.399692,0.017344,0.207303,0.005184,0.048289,0.000832,0.113316,0.049153,0.063202,0.228743,0.002080,0.001120,0.000352,0.918299
0.395051,0.017729,0.191430,0.004832,0.047393,0.000768,0.108900,0.046273,0.065378,0.223879,0.002496,0.001632,0.000384,0.892538
0.399116,0.017569,0.191621,0.004800,0.047458,0.000800,0.112515,0.048162,0.062818,0.227751,0.002336,0.001184,0.000416,0.899931
0.402828,0.018241,0.192166,0.005120,0.048801,0.001056,0.161477,0.062306,0.072418,0.300201,0.003424,0.003264,0.001184,0.987390
0.400684,0.017921,0.191973,0.005376,0.048066,0.001088,0.118051,0.048770,0.059266,0.229415,0.002432,0.002144,0.000608,0.906683
0.399596,0.017697,0.192294,0.005024,0.048577,0.001024,0.110403,0.047681,0.059842,0.221383,0.002336,0.001536,0.000384,0.897819
0.394763,0.017888,0.192070,0.005344,0.048129,0.000832,0.106820,0.051009,0.061154,0.222439,0.002432,0.001664,0.000672,0.893146
0.395180,0.017792,0.205478,0.005216,0.048578,0.001312,0.100675,0.051649,0.060386,0.215942,0.003360,0.001312,0.000640,0.901530
0.394828,0.017761,0.191525,0.005345,0.048577,0.000832,0.113059,0.049250,0.061762,0.227207,0.002496,0.001472,0.000672,0.897403
0.395595,0.017857,0.192262,0.005056,0.048641,0.000832,0.095331,0.045474,0.057857,0.201862,0.002304,0.001120,0.000384,0.871673
0.396684,0.017857,0.191781,0.005121,0.047905,0.000832,0.109059,0.048354,0.058721,0.218951,0.002592,0.001184,0.000448,0.890491
0.394668,0.018049,0.191781,0.005120,0.049218,0.000704,0.104099,0.045825,0.059746,0.212934,0.002336,0.001152,0.000608,0.882554
0.394796,0.017729,0.192229,0.005312,0.047842,0.000832,0.104995,0.047969,0.062018,0.218406,0.002400,0.001312,0.000417,0.888219
0.395052,0.017888,0.192038,0.005088,0.048930,0.000800,0.115363,0.065890,0.065890,0.250663,0.002272,0.001408,0.000416,0.921563
0.399467,0.017729,0.209894,0.005248,0.047938,0.000832,0.109571,0.048898,0.082018,0.244199,0.002592,0.001344,0.000448,0.937115
0.399564,0.017665,0.192133,0.005153,0.048001,0.000800,0.103363,0.045122,0.057665,0.208998,0.002272,0.001440,0.000416,0.883226
0.399404,0.017633,0.191685,0.005185,0.049089,0.000832,0.108387,0.048386,0.063234,0.223079,0.002304,0.001152,0.000448,0.897499
0.395052,0.017601,0.191685,0.005313,0.048897,0.000832,0.105059,0.049346,0.061121,0.218886,0.002465,0.001408,0.000416,0.889051
0.395148,0.017856,0.191846,0.005184,0.047490,0.000800,0.110659,0.046081,0.060226,0.220070,0.002208,0.001440,0.000416,0.889082
0.395628,0.017728,0.191782,0.005120,0.050466,0.000768,0.103203,0.049505,0.063490,0.219494,0.003744,0.001120,0.000448,0.892314
