Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415728,0.017633,0.201928,0.005440,0.048514,0.197416,0.000672,0.001760,0.001088,0.000288,0.897411
0.416240,0.017633,0.203208,0.005280,0.048418,0.209352,0.000640,0.001889,0.001216,0.000352,0.911556
0.415377,0.017472,0.205224,0.005248,0.048418,0.207560,0.000736,0.001728,0.001088,0.000352,0.910884
0.415408,0.017441,0.202343,0.005281,0.048610,0.191559,0.000672,0.001728,0.001120,0.000320,0.891170
0.420176,0.017632,0.202504,0.005280,0.047938,0.192392,0.000800,0.001728,0.001120,0.000320,0.898691
0.445425,0.017664,0.202568,0.005248,0.047970,0.192808,0.000736,0.001728,0.001152,0.000384,0.923108
0.420080,0.017409,0.202888,0.005248,0.047874,0.206632,0.000704,0.001760,0.001088,0.000288,0.911748
0.415664,0.017569,0.202024,0.005024,0.048642,0.192040,0.000704,0.001728,0.001056,0.000352,0.891715
0.415440,0.017601,0.202376,0.005312,0.049250,0.257450,0.000736,0.002176,0.001120,0.000352,0.959973
0.416016,0.017505,0.201960,0.005248,0.048610,0.190727,0.000608,0.001632,0.001248,0.000352,0.890979
0.415504,0.017408,0.202504,0.005376,0.047746,0.202952,0.000704,0.001728,0.001248,0.000352,0.903395
0.415473,0.017440,0.202695,0.005537,0.048674,0.206920,0.000768,0.001728,0.001184,0.000352,0.907844
0.434193,0.017536,0.202727,0.005249,0.047714,0.212072,0.000672,0.001792,0.001152,0.000352,0.931396
0.415921,0.017440,0.202407,0.005345,0.048514,0.192807,0.000736,0.001760,0.001280,0.000384,0.893251
0.416944,0.017504,0.202728,0.005312,0.048578,0.191592,0.000768,0.001728,0.001184,0.000320,0.895459
0.419792,0.017953,0.202472,0.005280,0.078019,0.195400,0.000736,0.001984,0.001216,0.000320,0.931364
0.416561,0.017633,0.202888,0.005312,0.048130,0.198119,0.000673,0.001696,0.001184,0.000320,0.899940
0.416241,0.017280,0.202472,0.005280,0.048098,0.203112,0.000800,0.001697,0.001184,0.000352,0.903716
0.415248,0.017504,0.202216,0.005312,0.047874,0.202088,0.000736,0.001728,0.001024,0.000320,0.900931
0.435281,0.017921,0.202952,0.005280,0.048194,0.192968,0.000608,0.001664,0.001152,0.000352,0.913476
0.416273,0.017633,0.203272,0.005312,0.048066,0.189127,0.000704,0.001696,0.001088,0.000352,0.891043
0.419728,0.020545,0.202696,0.005312,0.048642,0.188616,0.000736,0.001888,0.001184,0.000352,0.896867
0.417488,0.017761,0.202216,0.005312,0.068227,0.195399,0.000736,0.001888,0.001152,0.000320,0.920228
0.416272,0.017505,0.202664,0.005344,0.048962,0.192904,0.000736,0.001664,0.001120,0.000320,0.894499
0.415761,0.017376,0.204616,0.005312,0.049954,0.213800,0.000736,0.001792,0.001120,0.000320,0.918116
0.419792,0.017409,0.202888,0.005088,0.047650,0.206120,0.000704,0.001792,0.001248,0.000320,0.909475
0.437041,0.017441,0.202504,0.005280,0.048482,0.207528,0.000672,0.001696,0.001120,0.000352,0.929092
0.415697,0.017248,0.202600,0.005217,0.048706,0.205736,0.000704,0.001856,0.001088,0.000352,0.906020
0.416240,0.017377,0.202856,0.005280,0.048610,0.203272,0.000736,0.001792,0.001088,0.000352,0.904835
0.415568,0.017505,0.202920,0.005408,0.065283,0.206408,0.000704,0.001792,0.001120,0.000352,0.924644
0.415089,0.017537,0.203239,0.005312,0.047778,0.194183,0.000672,0.001664,0.001024,0.000320,0.894179
