Layer[0],TEE[1-8],Layer[9],Layer[10],classifier
0.416017,0.795744,0.001312,0.000608,1.220721
0.416305,0.769759,0.001632,0.000448,1.195248
0.416753,0.770975,0.001344,0.000320,1.195888
0.433522,0.762783,0.001248,0.000416,1.204657
0.416497,0.758975,0.001280,0.000448,1.182960
0.416209,0.755647,0.001280,0.000416,1.179632
0.432018,0.784543,0.001217,0.000416,1.224754
0.416432,0.765662,0.001248,0.000641,1.189456
0.416656,0.763710,0.001409,0.000640,1.189168
0.416465,0.765055,0.001344,0.000384,1.189232
0.415601,0.765119,0.001344,0.000416,1.189136
0.416208,0.782431,0.001248,0.000384,1.207248
0.416113,0.772095,0.001120,0.000384,1.196144
0.416369,0.774847,0.001248,0.000384,1.199184
0.415601,0.788127,0.001473,0.000480,1.213297
0.416400,0.796960,0.001344,0.000384,1.221809
0.416401,0.765695,0.001280,0.000416,1.189552
0.431729,0.760958,0.001216,0.000416,1.200400
0.420817,0.802272,0.002560,0.000416,1.233713
0.418353,0.781504,0.001568,0.000416,1.209105
0.417617,0.773888,0.001440,0.000416,1.200209
0.417329,0.774111,0.001472,0.000384,1.200944
0.418321,0.799585,0.001632,0.000640,1.226930
0.416145,0.773695,0.001536,0.000384,1.198352
0.417713,0.777471,0.001472,0.000352,1.203376
0.417457,0.789024,0.001504,0.000384,1.215025
0.416369,0.772799,0.001536,0.000352,1.197168
0.416624,0.765022,0.001568,0.000641,1.190192
0.432593,0.769215,0.001632,0.000640,1.210384
0.417073,0.815777,0.001632,0.000672,1.241490
0.417073,0.796384,0.001664,0.000416,1.222673
0.416881,0.790208,0.001696,0.000352,1.216465
0.416464,0.764766,0.001632,0.000673,1.190448
0.417521,0.785311,0.001505,0.000672,1.212145
0.416689,0.768607,0.001568,0.000384,1.194160
0.416145,0.770975,0.001600,0.000416,1.195824
0.435441,0.778399,0.001600,0.000416,1.221649
0.417329,0.772799,0.001536,0.000769,1.199281
0.417073,0.770847,0.001632,0.000416,1.196688
0.416785,0.783040,0.001568,0.000416,1.208881
0.417008,0.760734,0.001696,0.000384,1.186127
0.416785,0.804289,0.001600,0.000416,1.230866
0.416945,0.773343,0.001408,0.000416,1.199216
0.417617,0.773248,0.001792,0.000352,1.199505
0.433873,0.779008,0.001504,0.000384,1.221873
0.416977,0.759774,0.001472,0.000448,1.185487
0.415761,0.770143,0.001472,0.000384,1.193904
0.416465,0.779231,0.001472,0.000416,1.204176
0.416145,0.770015,0.001408,0.000448,1.194448
0.417104,0.843586,0.001440,0.000352,1.270995
0.416529,0.769471,0.001312,0.000352,1.193552
0.415793,0.770591,0.001312,0.000384,1.194800
0.416305,0.790560,0.001248,0.000384,1.214609
0.416144,0.761886,0.001248,0.000352,1.185583
0.415281,0.778944,0.001280,0.000384,1.201489
0.433041,0.754335,0.001312,0.000416,1.194960
0.416721,0.767711,0.001312,0.000416,1.191472
0.417073,0.770783,0.001376,0.000416,1.195888
0.443026,0.749823,0.001184,0.000416,1.200497
0.415793,0.766463,0.001312,0.000320,1.192208
0.416433,0.785984,0.001376,0.000544,1.211249
0.416049,0.771551,0.001248,0.000320,1.195792
0.417169,0.765951,0.001312,0.000256,1.190288
