Layer[0],TEE[1-9],Layer[10],classifier
0.420880,0.779743,0.000672,1.207760
0.416016,0.780672,0.000544,1.203792
0.415760,0.782208,0.000992,1.206833
0.415889,0.784703,0.001056,1.207984
0.420241,0.799040,0.000640,1.225937
0.415697,0.785183,0.000704,1.208752
0.416241,0.781087,0.000736,1.204400
0.438034,0.780287,0.000928,1.225170
0.420625,0.761406,0.000896,1.188975
0.415601,0.776255,0.000736,1.198544
0.416209,0.810785,0.000736,1.233906
0.416464,0.763582,0.000672,1.187055
0.415953,0.801568,0.001184,1.225841
0.416144,0.775455,0.000896,1.199216
0.419761,0.807040,0.000832,1.233681
0.417585,0.834305,0.000864,1.260051
0.419344,0.774431,0.000672,1.200496
0.415665,0.816064,0.000608,1.237873
0.438993,0.781184,0.000640,1.227057
0.416177,0.770687,0.000768,1.193392
0.420433,0.765439,0.000608,1.191984
0.420593,0.770367,0.000864,1.197456
0.416209,0.777823,0.000992,1.201520
0.420209,0.801665,0.000800,1.228210
0.420144,0.794272,0.000576,1.220752
0.420689,0.782336,0.000896,1.210993
0.420561,0.803136,0.000640,1.230609
0.421777,0.777183,0.000768,1.205616
0.420689,0.777983,0.000608,1.204688
0.433777,0.767423,0.000800,1.208144
0.420593,0.796608,0.000640,1.223441
0.421265,0.741982,0.000608,1.169743
0.420561,0.818177,0.000800,1.246546
0.420977,0.776319,0.000640,1.204432
0.440338,0.839458,0.000992,1.288628
0.421520,0.783679,0.000672,1.212432
0.417905,0.782175,0.000928,1.207632
0.420913,0.791168,0.000768,1.219441
0.420977,0.767007,0.000768,1.194928
0.416976,0.776960,0.000640,1.200880
0.437905,0.781248,0.000640,1.226289
0.417008,0.773919,0.000768,1.197200
0.420880,0.804992,0.000704,1.232913
0.420945,0.779615,0.000896,1.207888
0.421648,0.768606,0.000896,1.198544
0.417264,0.798015,0.000832,1.222705
0.420721,0.780607,0.000832,1.208528
0.421137,0.780800,0.000896,1.208977
0.435634,0.783359,0.000801,1.225938
0.421329,0.776031,0.000800,1.204592
0.417201,0.776319,0.000704,1.200144
0.416145,0.771839,0.000896,1.194992
0.416720,0.781568,0.000864,1.205744
0.416209,0.789311,0.000768,1.211504
0.418193,0.776639,0.000832,1.202160
0.416401,0.774367,0.000896,1.196816
0.417136,0.794400,0.000896,1.217712
0.415792,0.766975,0.000768,1.188687
0.415824,0.758143,0.000608,1.179439
0.433874,0.767198,0.000896,1.207408
0.416113,0.774399,0.000704,1.196656
0.416145,0.785567,0.001056,1.212753
0.416593,0.776479,0.001184,1.200208
0.415920,0.772319,0.000608,1.194320
0.420817,0.788447,0.000737,1.217137
0.416337,0.775391,0.000640,1.197648
0.416881,0.779743,0.000640,1.202096
0.420753,0.795648,0.000832,1.222545
0.420465,0.775615,0.000672,1.202256
0.421137,0.765855,0.000736,1.192880
0.456306,0.776511,0.000608,1.238642
0.420721,0.781472,0.000896,1.211089
0.420561,0.775519,0.000832,1.202384
0.420528,0.776928,0.000640,1.203184
0.417553,0.774495,0.000864,1.200304
0.415953,0.795744,0.000800,1.218257
0.421105,0.773823,0.000768,1.200848
0.420401,0.796064,0.000608,1.222385
0.420401,0.795519,0.000800,1.222481
0.420593,0.775167,0.000864,1.202000
0.420689,0.771903,0.000800,1.199664
0.433809,0.774431,0.000992,1.216368
0.415729,0.803296,0.000864,1.225521
0.419793,0.760927,0.001088,1.187728
0.415921,0.772607,0.000992,1.195952
0.415857,0.769247,0.000640,1.191120
0.420721,0.783807,0.000832,1.211088
0.415793,0.759902,0.000673,1.181424
0.420048,0.772670,0.000896,1.199184
0.420593,0.780063,0.000672,1.206544
0.419953,0.770559,0.000608,1.196752
0.420497,0.782143,0.000896,1.210897
0.448434,0.799648,0.000608,1.254162
0.415824,0.769919,0.000576,1.190799
0.415536,0.767199,0.000736,1.190640
0.443314,0.780864,0.000672,1.230770
0.417297,0.775551,0.000640,1.198832
0.416529,0.795168,0.000640,1.217521
0.420561,0.767230,0.000704,1.193583
0.420529,0.768703,0.000640,1.195152
0.416721,0.813600,0.000640,1.236945
0.416017,0.806496,0.000736,1.229457
0.421649,0.787679,0.001184,1.217617
0.434353,0.817408,0.000864,1.259986
0.420784,0.786271,0.000992,1.215152
0.416529,0.787423,0.000736,1.211312
0.420305,0.807968,0.000896,1.235825
0.421137,0.780767,0.000736,1.208912
0.416624,0.792351,0.000960,1.216048
0.422033,0.816065,0.000928,1.245522
0.415857,0.786207,0.000864,1.209681
0.415729,0.838753,0.001024,1.262483
0.420625,0.772447,0.000768,1.200432
0.420209,0.781312,0.000864,1.210001
0.434705,0.785536,0.000768,1.227857
0.420817,0.769631,0.000704,1.197104
0.421553,0.802208,0.000960,1.231249
0.420305,0.784960,0.000832,1.211825
0.420977,0.781503,0.000768,1.208945
0.420017,0.820512,0.000832,1.247410
0.420433,0.816801,0.000928,1.244722
0.421137,0.786976,0.000896,1.216401
0.438737,0.780991,0.000864,1.227345
