Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-10],OUT[10],TEE[5-10],classifier
0.401612,0.017664,0.194278,0.005248,0.047490,0.107747,0.055265,0.063202,0.229478,0.901146
0.396236,0.017601,0.193093,0.005184,0.047682,0.106467,0.053826,0.064162,0.227719,0.892923
0.411213,0.017472,0.192038,0.005056,0.047489,0.105988,0.059201,0.062114,0.230759,0.909211
0.396172,0.017600,0.192070,0.005056,0.047266,0.102083,0.057793,0.060866,0.223846,0.887354
0.395756,0.017537,0.192293,0.005056,0.047586,0.106819,0.054946,0.065058,0.230471,0.893915
0.395371,0.017633,0.192390,0.004832,0.047329,0.107875,0.054466,0.061666,0.251464,0.914107
0.397580,0.017600,0.192230,0.004864,0.047522,0.100195,0.052609,0.064770,0.220870,0.885722
0.396300,0.017568,0.191526,0.004832,0.047521,0.094595,0.053666,0.061954,0.213511,0.876346
0.395596,0.017377,0.191749,0.004800,0.047298,0.104835,0.058850,0.062274,0.229831,0.891579
0.395276,0.017345,0.210054,0.004896,0.047265,0.108228,0.053665,0.063330,0.228775,0.909659
0.396940,0.017760,0.192166,0.004832,0.047266,0.111171,0.055682,0.063586,0.233959,0.898587
0.396939,0.017377,0.191462,0.004800,0.047137,0.103075,0.050722,0.061762,0.219143,0.882202
0.397548,0.017504,0.191622,0.005056,0.047073,0.100963,0.055330,0.063298,0.223079,0.887034
