Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-10],classifier
0.415889,0.017600,0.218569,0.005152,0.047266,0.138278,0.912420
0.415856,0.017664,0.202984,0.004800,0.047394,0.134470,0.896803
0.415728,0.017633,0.201992,0.004800,0.047362,0.132805,0.891842
0.415568,0.017569,0.202696,0.005280,0.047074,0.133733,0.894019
0.416176,0.017473,0.203944,0.005088,0.047106,0.135941,0.895684
0.417232,0.017504,0.202344,0.004992,0.047106,0.127909,0.881827
0.416465,0.017568,0.203176,0.004865,0.046946,0.137349,0.894211
0.415600,0.017569,0.220009,0.005216,0.047138,0.157702,0.930532
0.418064,0.017665,0.203720,0.005056,0.048418,0.137669,0.895331
0.417136,0.017505,0.202312,0.005248,0.048578,0.139685,0.900387
0.416656,0.017697,0.202568,0.005248,0.049026,0.136261,0.891971
0.417040,0.017792,0.203112,0.005088,0.048898,0.137254,0.899843
0.418609,0.017504,0.202920,0.005025,0.049057,0.134981,0.899523
0.417392,0.017857,0.202824,0.005024,0.047970,0.133029,0.889474
0.418448,0.017761,0.223145,0.005184,0.048834,0.135077,0.914851
0.418321,0.017632,0.202152,0.005024,0.048578,0.139014,0.904996
0.416080,0.017793,0.202376,0.005088,0.048386,0.137926,0.895363
0.416753,0.017600,0.201991,0.004865,0.048450,0.143301,0.903908
0.417232,0.017632,0.202248,0.005248,0.048354,0.136998,0.897827
0.416368,0.017825,0.202824,0.005088,0.048418,0.141702,0.906275
0.417264,0.017568,0.203016,0.005184,0.048034,0.139750,0.898115
0.417392,0.017665,0.220329,0.005184,0.048354,0.136933,0.919492
0.416624,0.017505,0.203208,0.004832,0.047842,0.139685,0.897955
0.416528,0.017761,0.202472,0.004800,0.048162,0.138917,0.896963
0.415952,0.018273,0.202088,0.005056,0.048258,0.152454,0.909060
0.415920,0.017569,0.202152,0.005056,0.048546,0.142309,0.902019
0.419153,0.017697,0.201863,0.005057,0.048418,0.135909,0.895683
0.417424,0.017505,0.202152,0.004864,0.048610,0.136133,0.894339
0.417681,0.037185,0.202728,0.005184,0.048258,0.140486,0.923428
0.417137,0.017632,0.203016,0.005089,0.048129,0.143909,0.905860
0.417233,0.017536,0.202344,0.004832,0.048225,0.143654,0.902692
0.417777,0.017664,0.202856,0.005025,0.048257,0.140166,0.900035
0.416688,0.017505,0.202504,0.005056,0.048802,0.143045,0.903171
0.417552,0.017825,0.202152,0.005024,0.048770,0.138501,0.903299
0.417105,0.017761,0.202504,0.004992,0.048386,0.134181,0.894755
0.436465,0.017760,0.202600,0.005025,0.048898,0.140549,0.920548
0.416464,0.017505,0.202440,0.005024,0.048418,0.132645,0.890787
0.416432,0.017472,0.203368,0.005024,0.048386,0.140038,0.900227
0.417648,0.018049,0.202376,0.005024,0.048386,0.137766,0.935013
0.417873,0.017504,0.202408,0.004992,0.048610,0.140390,0.903908
0.416432,0.017505,0.202344,0.005280,0.048322,0.142277,0.901699
0.415504,0.017537,0.202120,0.005056,0.048546,0.137829,0.893283
0.433137,0.017600,0.202664,0.005217,0.048257,0.139142,0.915139
0.416976,0.017761,0.202120,0.005088,0.048482,0.145382,0.905027
0.416848,0.017537,0.202472,0.005408,0.048354,0.141317,0.900611
0.416625,0.017633,0.202343,0.005249,0.048386,0.160166,0.921476
