Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-9],OUT[9],TEE[5-9],Layer[10],classifier
0.396363,0.017761,0.192230,0.005024,0.047969,0.107299,0.052961,0.087139,0.251112,0.000928,0.917595
0.395819,0.017761,0.192966,0.005152,0.048577,0.113668,0.053121,0.063650,0.234183,0.000608,0.900986
0.396044,0.017824,0.192550,0.005184,0.047842,0.110115,0.051874,0.061121,0.226566,0.000704,0.892666
0.396652,0.017793,0.192037,0.004896,0.047202,0.107203,0.053442,0.067906,0.231879,0.000640,0.896795
0.413324,0.017888,0.191654,0.004768,0.047458,0.112579,0.065474,0.064226,0.245319,0.000608,0.926555
0.397324,0.017760,0.192422,0.005120,0.047394,0.111939,0.051810,0.060097,0.227334,0.000768,0.893914
0.396780,0.017888,0.191686,0.005056,0.047361,0.112004,0.051329,0.059362,0.226151,0.000704,0.891706
0.398444,0.017889,0.192550,0.005088,0.047873,0.109379,0.051458,0.075682,0.240231,0.000864,0.909179
0.395916,0.017857,0.191973,0.005057,0.047649,0.107011,0.049346,0.058849,0.218758,0.000769,0.883739
0.396748,0.017824,0.192294,0.005152,0.048929,0.112836,0.053857,0.061026,0.231367,0.000640,0.898618
0.397323,0.017952,0.192038,0.004800,0.048225,0.111844,0.054177,0.062050,0.231751,0.000608,0.898586
0.416525,0.018176,0.192262,0.004864,0.049282,0.110179,0.064802,0.062786,0.241863,0.000704,0.929564
0.396940,0.017984,0.192486,0.004864,0.048194,0.112387,0.050401,0.060290,0.226950,0.000672,0.894362
0.397196,0.017664,0.192230,0.004832,0.049217,0.115428,0.053313,0.064929,0.237159,0.000865,0.905595
0.398572,0.017664,0.194054,0.005184,0.047842,0.118339,0.072514,0.082115,0.276840,0.000864,0.946940
0.401548,0.017889,0.193701,0.005057,0.049249,0.131780,0.057570,0.067266,0.260456,0.000768,0.936892
0.397419,0.017889,0.192966,0.005024,0.048449,0.116388,0.056162,0.064193,0.240391,0.000672,0.908955
0.398924,0.017825,0.192357,0.005120,0.047874,0.118563,0.054882,0.063714,0.240903,0.000704,0.909851
0.413645,0.017696,0.192422,0.005056,0.047874,0.115395,0.062658,0.061666,0.243207,0.000608,0.926428
0.396972,0.017824,0.192518,0.004832,0.048162,0.113635,0.050658,0.060545,0.228455,0.000896,0.895611
0.400492,0.018176,0.193670,0.005152,0.049250,0.150468,0.060354,0.065282,0.280424,0.001120,0.956796
0.396172,0.017888,0.211239,0.005152,0.048161,0.115268,0.068258,0.068162,0.255304,0.000704,0.941244
0.397548,0.017792,0.192742,0.005216,0.047906,0.112995,0.054050,0.066754,0.237415,0.000736,0.905947
0.396716,0.017633,0.192453,0.004864,0.048002,0.114531,0.053794,0.063234,0.235111,0.000704,0.901403
0.400588,0.017633,0.192677,0.005185,0.047745,0.112643,0.050626,0.063618,0.230663,0.000896,0.901371
0.400716,0.017697,0.192614,0.005024,0.048321,0.110724,0.053377,0.060642,0.228167,0.000704,0.899035
0.401036,0.017633,0.192165,0.005089,0.048129,0.110019,0.053186,0.061794,0.228679,0.000736,0.899355
0.400812,0.017729,0.192389,0.005152,0.048034,0.114787,0.054818,0.061762,0.235175,0.000736,0.906171
0.421452,0.017921,0.192613,0.004800,0.047746,0.113955,0.054082,0.062882,0.234343,0.000832,0.925755
0.400652,0.017857,0.192294,0.005120,0.048097,0.111683,0.054402,0.062050,0.231527,0.000768,0.902139
0.399627,0.017793,0.191974,0.005024,0.048417,0.111812,0.052929,0.061218,0.229543,0.000768,0.899259
0.401516,0.017665,0.191685,0.004896,0.048258,0.115459,0.055618,0.100643,0.276328,0.000928,0.947388
0.400460,0.017920,0.192966,0.005056,0.047937,0.104515,0.052897,0.063458,0.224551,0.000736,0.896026
