Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-9],OUT[9],TEE[4-9],Layer[10],classifier
0.396428,0.017473,0.191557,0.004832,0.110884,0.103747,0.063746,0.281993,0.000672,0.899707
0.396524,0.017536,0.191750,0.004896,0.107331,0.108964,0.064097,0.283720,0.000705,0.900635
0.396204,0.017600,0.192134,0.004864,0.131044,0.104707,0.063778,0.303369,0.000832,0.920731
0.396939,0.017633,0.191590,0.004896,0.112355,0.107619,0.065826,0.289480,0.000704,0.906906
0.396684,0.017504,0.192038,0.004896,0.110403,0.106212,0.064194,0.284521,0.000704,0.901627
0.396140,0.017312,0.192198,0.005056,0.112772,0.110499,0.072546,0.299145,0.000832,0.916603
0.395916,0.017376,0.191430,0.004864,0.117348,0.109027,0.064546,0.294345,0.000832,0.910267
0.396716,0.017472,0.191429,0.004864,0.109476,0.101091,0.062625,0.277321,0.000608,0.893691
0.396748,0.017569,0.191813,0.004865,0.113059,0.102947,0.063810,0.282984,0.000768,0.900155
0.396620,0.017537,0.212070,0.005152,0.106979,0.108772,0.063841,0.283080,0.000704,0.921020
0.396747,0.017632,0.192518,0.004832,0.116803,0.104420,0.065218,0.290281,0.000864,0.908923
0.396716,0.017921,0.191749,0.004832,0.116516,0.103299,0.063778,0.287145,0.000992,0.904891
