Layer[0],IN[1],INFER[1-1],OUT[1],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.394092,0.161605,0.050305,0.064162,0.279496,0.211142,0.005409,0.047585,0.000608,0.013568,0.000352,0.001472,0.001216,0.000416,0.963805
0.398859,0.160868,0.050274,0.063874,0.278408,0.192485,0.005472,0.047617,0.000576,0.013921,0.000416,0.001632,0.001088,0.000640,0.949468
0.399820,0.152197,0.061026,0.064929,0.281417,0.192485,0.005408,0.047842,0.000576,0.013728,0.000352,0.001504,0.001152,0.000288,0.953020
0.399436,0.167237,0.050017,0.064770,0.285384,0.192870,0.005152,0.048225,0.000576,0.013729,0.000384,0.001536,0.001184,0.000256,0.956124
0.398540,0.167557,0.051010,0.065506,0.287305,0.192166,0.005216,0.047265,0.000608,0.013793,0.000384,0.001504,0.001408,0.000288,0.956157
0.394188,0.155365,0.050209,0.063746,0.272648,0.193382,0.005600,0.047009,0.000544,0.013793,0.000384,0.001408,0.001120,0.000320,0.938460
0.399756,0.157349,0.050369,0.065794,0.276936,0.193926,0.005184,0.047106,0.000576,0.013568,0.000416,0.001440,0.001152,0.000320,0.947388
0.420428,0.168933,0.061794,0.069186,0.303465,0.194470,0.005152,0.047521,0.000992,0.014241,0.000416,0.001504,0.001184,0.000320,0.997309
0.396492,0.157412,0.050082,0.063330,0.274696,0.192806,0.005344,0.047425,0.000800,0.014145,0.000416,0.001472,0.001184,0.000384,0.943228
0.399627,0.173125,0.049665,0.063490,0.289832,0.192806,0.005344,0.048322,0.000576,0.013664,0.000384,0.001504,0.001120,0.000384,0.962844
0.394252,0.172933,0.067234,0.074754,0.320457,0.194502,0.005440,0.048770,0.000608,0.013824,0.000352,0.001504,0.001216,0.000672,0.990845
0.395084,0.170949,0.049249,0.063906,0.287880,0.193478,0.005568,0.048098,0.000640,0.013856,0.000384,0.001504,0.001248,0.000832,0.956988
