TEE[0-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.792253,0.000800,0.002528,0.001088,0.000416,1.804093
1.763964,0.000832,0.002464,0.001120,0.000416,1.775580
1.832831,0.000832,0.002529,0.001376,0.000384,1.845760
1.760635,0.000736,0.002816,0.001248,0.000320,1.774012
1.790621,0.000800,0.002465,0.001312,0.000352,1.801822
1.767227,0.000800,0.002464,0.001216,0.000448,1.779900
1.780956,0.001088,0.002944,0.001344,0.000384,1.794141
1.753211,0.000704,0.002368,0.001216,0.000448,1.764251
1.786652,0.001152,0.002753,0.001088,0.000384,1.798877
1.758811,0.000832,0.002560,0.001248,0.000352,1.770940
1.753755,0.000865,0.002400,0.001312,0.000352,1.765980
1.739066,0.000705,0.002496,0.001120,0.000384,1.750331
1.788893,0.000800,0.002336,0.001184,0.000352,1.802013
1.750906,0.000736,0.002464,0.001120,0.000448,1.762203
1.747323,0.000736,0.002528,0.001152,0.000352,1.760827
1.736762,0.000736,0.002848,0.001216,0.000352,1.748890
1.803005,0.000736,0.002464,0.001280,0.000353,1.814750
1.761820,0.000736,0.002464,0.001152,0.000384,1.772892
1.777692,0.000768,0.002368,0.001152,0.000416,1.789853
1.784252,0.000704,0.002720,0.001184,0.000384,1.796092
1.792989,0.001056,0.002400,0.001120,0.000352,1.805821
1.757563,0.001024,0.002688,0.001376,0.000352,1.770011
1.818142,0.000832,0.003232,0.001696,0.000608,1.835487
1.759099,0.000896,0.003072,0.001568,0.000352,1.772763
1.773244,0.001056,0.002688,0.001120,0.000352,1.785853
1.776092,0.001056,0.003072,0.001504,0.000384,1.790748
1.765531,0.001184,0.002720,0.001344,0.000384,1.778332
1.755419,0.000768,0.002592,0.001409,0.000416,1.767548
1.769084,0.000736,0.002528,0.001472,0.000384,1.781820
1.772764,0.000800,0.002624,0.001344,0.000608,1.784860
1.773564,0.000864,0.002976,0.001408,0.000352,1.785852
1.755899,0.000864,0.002752,0.001248,0.000416,1.768284
1.750171,0.000832,0.002624,0.001376,0.000384,1.762363
1.746618,0.000800,0.002497,0.001408,0.000416,1.758971
1.727961,0.000864,0.002976,0.001185,0.000480,1.741690
1.737914,0.000736,0.002272,0.001184,0.000416,1.749083
1.764731,0.000704,0.002336,0.001216,0.000384,1.775515
1.819230,0.000832,0.002784,0.001184,0.000416,1.832158
1.766651,0.000768,0.002528,0.001536,0.000416,1.778075
1.763387,0.000832,0.002240,0.001120,0.000352,1.774779
1.777435,0.000800,0.002656,0.001344,0.000352,1.788924
1.771451,0.000768,0.002752,0.001152,0.000416,1.784188
1.789020,0.000928,0.002464,0.001185,0.000416,1.800221
1.803965,0.000832,0.002368,0.001024,0.000416,1.815134
1.771932,0.000704,0.002400,0.001504,0.000480,1.783613
1.801629,0.001024,0.002241,0.001120,0.000352,1.813502
1.725625,0.001056,0.003456,0.001248,0.000416,1.739770
1.767324,0.001024,0.003392,0.001312,0.000384,1.781660
1.731962,0.000800,0.002208,0.001152,0.000352,1.743002
1.791388,0.001024,0.002432,0.001088,0.000352,1.803325
1.753915,0.000640,0.002208,0.001216,0.000384,1.764667
1.794493,0.000800,0.002272,0.001089,0.000416,1.805790
1.748922,0.001056,0.003168,0.001568,0.000384,1.763035
1.798877,0.000736,0.002432,0.001376,0.000384,1.810173
1.752635,0.000800,0.002464,0.001248,0.000384,1.763803
1.781788,0.000672,0.002336,0.001312,0.000384,1.793085
1.733658,0.001024,0.003040,0.001120,0.000384,1.746330
1.800093,0.000832,0.002592,0.001312,0.000352,1.811485
1.733818,0.001120,0.002528,0.001408,0.000320,1.746330
1.745050,0.000768,0.002368,0.001152,0.000384,1.756122
1.750170,0.000672,0.002496,0.001088,0.000352,1.760827
1.807005,0.000736,0.002496,0.001120,0.000384,1.818974
1.771420,0.001088,0.002464,0.001216,0.000384,1.784092
1.808382,0.000928,0.002560,0.001024,0.000352,1.819390
1.767483,0.000832,0.002336,0.001216,0.000352,1.778779
1.806781,0.000896,0.002432,0.001153,0.000416,1.817598
1.747738,0.000768,0.002624,0.001089,0.000384,1.759099
1.785084,0.001152,0.002208,0.001184,0.000352,1.797436
1.735513,0.000704,0.002496,0.001280,0.000352,1.746746
1.786044,0.000704,0.002272,0.001120,0.000352,1.796604
1.778204,0.000736,0.002561,0.001184,0.000352,1.789437
1.795325,0.001056,0.002560,0.001184,0.000352,1.807710
1.728409,0.000704,0.002304,0.001184,0.000352,1.739290
1.760795,0.000704,0.002305,0.001312,0.000352,1.771004
1.773115,0.001120,0.002497,0.001312,0.000384,1.785532
1.754715,0.000640,0.002464,0.001120,0.000352,1.765467
1.773083,0.000768,0.002305,0.001376,0.000384,1.784348
