Layer[0],Layer[1],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415472,0.017633,0.715356,0.000800,0.037026,0.000640,0.001504,0.001024,0.000384,1.198319
0.415600,0.017217,0.725533,0.000704,0.013728,0.000608,0.001408,0.001024,0.000384,1.183374
0.415440,0.017665,0.711964,0.000704,0.013761,0.000384,0.001440,0.000960,0.000352,1.170798
0.420112,0.017408,0.738909,0.000736,0.015072,0.000416,0.001408,0.001088,0.000352,1.203855
0.416177,0.017697,0.731229,0.000832,0.014144,0.000352,0.001408,0.001025,0.000352,1.192848
0.419633,0.017633,0.716508,0.000800,0.013921,0.000384,0.001408,0.000992,0.000352,1.179951
0.416529,0.017312,0.748798,0.000960,0.014017,0.000384,0.001472,0.001024,0.000352,1.208240
0.416497,0.017473,0.731101,0.000864,0.014112,0.000384,0.001376,0.001056,0.000384,1.190672
0.415472,0.017505,0.718109,0.000864,0.014048,0.000384,0.001408,0.001056,0.000352,1.177390
0.430929,0.017601,0.731485,0.000832,0.014337,0.000384,0.001472,0.001024,0.000320,1.207856
0.420752,0.017633,0.714620,0.000832,0.014305,0.000384,0.001408,0.000960,0.000320,1.178318
0.419729,0.017696,0.730877,0.001216,0.014881,0.000384,0.001440,0.000960,0.000352,1.195279
0.432465,0.017473,0.718396,0.000768,0.014049,0.000384,0.001504,0.001088,0.000320,1.194639
0.415440,0.017441,0.727901,0.000736,0.014817,0.000384,0.001440,0.000992,0.000352,1.186767
0.415857,0.017729,0.743037,0.000896,0.014625,0.000576,0.001600,0.001088,0.000384,1.204784
0.420113,0.017440,0.720221,0.000800,0.014080,0.000608,0.001472,0.000960,0.000352,1.183759
0.419792,0.017441,0.737725,0.000768,0.014208,0.000384,0.001504,0.000992,0.000352,1.202415
0.415824,0.017697,0.724317,0.000768,0.013920,0.000576,0.001601,0.001120,0.000352,1.185327
0.417553,0.018272,0.734973,0.000896,0.014048,0.000608,0.001600,0.001184,0.000352,1.199439
0.416176,0.017312,0.739422,0.000928,0.015360,0.000448,0.001568,0.000960,0.000352,1.202511
0.415760,0.017825,0.739997,0.000928,0.014049,0.000576,0.001600,0.000960,0.000384,1.200847
0.420113,0.017281,0.728317,0.000832,0.013888,0.000576,0.001504,0.001057,0.000384,1.192560
0.415377,0.017633,0.729821,0.000896,0.014272,0.000384,0.001504,0.000992,0.000288,1.189711
0.454322,0.017697,0.745341,0.001217,0.014880,0.000608,0.001440,0.001152,0.000352,1.246641
