Layer[0],Layer[1],TEE[2-9],Layer[10],classifier
0.416624,0.017601,0.753342,0.000576,1.193839
0.416689,0.017728,0.776799,0.000672,1.218576
0.415600,0.017505,0.738205,0.000704,1.178030
0.416177,0.017857,0.747517,0.000800,1.187983
0.430129,0.018017,0.743357,0.000640,1.197935
0.415600,0.017537,0.738589,0.000672,1.178094
0.415600,0.018305,0.737917,0.000704,1.178510
0.431953,0.017600,0.756990,0.000640,1.213583
0.416848,0.017441,0.743229,0.000832,1.185102
0.415280,0.017633,0.758685,0.000768,1.197679
0.416208,0.017793,0.757950,0.000704,1.198959
0.415888,0.017505,0.752381,0.000736,1.193551
0.416176,0.017760,0.771679,0.000768,1.211952
0.416624,0.017441,0.748541,0.000672,1.189678
0.416176,0.017505,0.752702,0.000864,1.193199
0.416816,0.017473,0.759838,0.000672,1.200143
0.416497,0.017440,0.746398,0.000864,1.186447
0.416208,0.017377,0.740893,0.000736,1.179918
0.431313,0.017537,0.739485,0.000608,1.195823
0.415568,0.017472,0.737949,0.000704,1.178318
0.416528,0.017537,0.748541,0.000640,1.188782
0.431153,0.017537,0.738973,0.000608,1.194479
0.416176,0.017441,0.754238,0.000640,1.193487
0.416016,0.017408,0.745598,0.000640,1.185199
0.416337,0.017537,0.751741,0.000704,1.192303
0.417297,0.017632,0.746430,0.000704,1.187663
0.415856,0.017473,0.780190,0.000768,1.219663
0.417361,0.017473,0.746557,0.000640,1.187727
0.417584,0.018081,0.748957,0.000768,1.193006
0.416464,0.017537,0.791231,0.000704,1.233392
0.416048,0.017633,0.749054,0.000704,1.189103
0.415984,0.017505,0.741789,0.000672,1.182798
0.433873,0.017761,0.738941,0.000736,1.197839
0.415377,0.017728,0.749822,0.000736,1.189711
0.415760,0.017600,0.736605,0.000640,1.176366
0.415728,0.017569,0.735005,0.000672,1.174542
0.416784,0.018304,0.736509,0.000704,1.178414
0.415952,0.017857,0.765982,0.000704,1.206287
0.414961,0.017633,0.755581,0.000672,1.195311
0.415760,0.017537,0.750813,0.000640,1.190447
0.414992,0.017729,0.772190,0.000672,1.210864
0.416177,0.017728,0.745502,0.000640,1.185775
0.416848,0.017697,0.749757,0.000704,1.191279
0.415473,0.017632,0.771614,0.000736,1.211120
0.415728,0.018049,0.748605,0.000704,1.188782
0.416016,0.017857,0.738813,0.000768,1.179438
0.433553,0.018337,0.734556,0.000640,1.192655
0.415472,0.017729,0.747485,0.000737,1.187311
0.415504,0.017793,0.754877,0.000800,1.195759
0.416592,0.017665,0.754877,0.000672,1.196335
0.415857,0.017504,0.751966,0.000736,1.192271
0.416688,0.017761,0.768958,0.000928,1.209967
0.415184,0.017921,0.751006,0.000704,1.190511
0.416240,0.017761,0.748509,0.000736,1.189198
0.416304,0.017792,0.765598,0.000672,1.205999
0.415665,0.017568,0.742494,0.000800,1.182127
0.417329,0.017505,0.746397,0.000736,1.187183
0.415856,0.038754,0.747741,0.000576,1.208207
0.418064,0.017761,0.764030,0.000800,1.208463
0.416240,0.018241,0.731101,0.000704,1.173038
0.435665,0.017569,0.743453,0.000768,1.204783
0.417104,0.017953,0.742013,0.000704,1.183534
0.415761,0.017824,0.774975,0.000672,1.215600
0.415600,0.017761,0.750109,0.000704,1.190062
0.416304,0.017697,0.740285,0.000864,1.180911
0.416080,0.017505,0.760318,0.000800,1.201167
0.415153,0.017633,0.734140,0.000640,1.172782
0.416881,0.017760,0.755485,0.000736,1.196751
0.416432,0.017697,0.805023,0.000864,1.247377
0.415536,0.017601,0.732573,0.000736,1.171886
0.416784,0.017729,0.756574,0.000736,1.198415
0.429777,0.017953,0.757118,0.000672,1.210320
0.415536,0.017761,0.751613,0.000704,1.190799
0.415889,0.017664,0.743998,0.000832,1.184271
0.416976,0.017697,0.771006,0.000704,1.212623
0.415984,0.017889,0.784415,0.000672,1.223856
0.416016,0.017473,0.769950,0.000768,1.209263
0.419024,0.017665,0.755550,0.000704,1.199951
0.418001,0.017792,0.787294,0.000672,1.229425
0.415952,0.017825,0.772638,0.000640,1.213583
0.417008,0.017889,0.747293,0.000736,1.189390
0.416657,0.017824,0.753630,0.000640,1.194831
0.434257,0.017697,0.777567,0.000768,1.236657
0.415856,0.017536,0.756734,0.000608,1.196559
0.416176,0.017761,0.747390,0.000672,1.188207
0.431857,0.017633,0.747677,0.000704,1.203919
0.416336,0.017697,0.740797,0.000768,1.181198
0.418256,0.017569,0.802912,0.000864,1.246737
0.416912,0.017665,0.763422,0.000864,1.206159
0.415760,0.017761,0.755037,0.000705,1.195823
0.416912,0.017792,0.783007,0.000768,1.225392
0.415856,0.017601,0.750845,0.000704,1.191246
0.416816,0.017505,0.753822,0.000768,1.195215
0.436977,0.017441,0.752797,0.000800,1.214511
0.415921,0.017537,0.752925,0.000832,1.193455
0.415825,0.017537,0.739773,0.000704,1.179407
0.416048,0.017537,0.752733,0.000864,1.194191
0.416945,0.017697,0.746109,0.000832,1.189167
0.417104,0.017601,0.787807,0.000640,1.229392
0.417040,0.017633,0.748253,0.000608,1.188718
0.416624,0.017377,0.741597,0.000832,1.182606
0.415792,0.017537,0.753886,0.000672,1.193135
0.415856,0.017376,0.736797,0.000608,1.175694
0.416560,0.017633,0.742941,0.000704,1.183182
0.415569,0.017664,0.755454,0.000704,1.194543
0.416497,0.017601,0.739389,0.000832,1.178831
0.416432,0.017760,0.743293,0.000801,1.182927
0.434385,0.017633,0.755550,0.000736,1.214864
0.415952,0.017505,0.741341,0.000640,1.180878
0.416304,0.017505,0.742365,0.000800,1.181838
0.416337,0.017569,0.757693,0.000736,1.199088
0.417265,0.017536,0.755134,0.000736,1.196879
0.416400,0.017601,0.776254,0.000673,1.217520
0.417168,0.017729,0.753117,0.000736,1.194703
0.417521,0.017600,0.758558,0.000832,1.200207
0.416720,0.018017,0.778879,0.000832,1.221200
0.416112,0.017665,0.751197,0.000864,1.191726
0.415664,0.017729,0.742301,0.000896,1.183182
0.448401,0.017793,0.765246,0.000736,1.238480
0.417552,0.017440,0.753182,0.000928,1.195471
0.416112,0.018337,0.757406,0.000736,1.199439
0.415633,0.017696,0.751998,0.000736,1.191951
0.417137,0.017536,0.752062,0.000800,1.193455
0.416049,0.018017,0.783998,0.000768,1.225137
0.415728,0.017569,0.740765,0.000672,1.180782
0.416529,0.017600,0.759006,0.000704,1.200239
0.415440,0.017505,0.772159,0.000832,1.211920
0.416657,0.017601,0.757341,0.000768,1.199119
0.418576,0.017633,0.742109,0.000832,1.184750
0.429424,0.017536,0.755102,0.000608,1.209360
0.415408,0.017537,0.753278,0.000704,1.193071
0.415920,0.017537,0.756414,0.000672,1.196463
0.416177,0.017696,0.741790,0.000736,1.182319
0.415792,0.017696,0.752542,0.000736,1.192527
0.416208,0.017984,0.778431,0.000832,1.219440
0.416784,0.017473,0.752477,0.000736,1.193998
0.415568,0.017761,0.760798,0.000736,1.201359
0.416401,0.017537,0.788447,0.000768,1.230257
0.417104,0.017729,0.756222,0.000704,1.197679
0.417392,0.017632,0.767774,0.000736,1.210768
0.434321,0.018049,0.755805,0.000768,1.214959
0.416272,0.017633,0.759038,0.000736,1.201327
0.416241,0.017504,0.775295,0.000800,1.215792
0.417105,0.017568,0.756989,0.000768,1.198287
0.414929,0.017536,0.759006,0.000672,1.197903
0.417520,0.017601,0.767518,0.000704,1.209103
0.415664,0.017473,0.759006,0.000800,1.199663
0.417072,0.017504,0.747230,0.000800,1.189775
0.435633,0.017697,0.771966,0.000768,1.231472
0.417392,0.017537,0.761630,0.000704,1.204559
0.416657,0.017728,0.757918,0.000736,1.198223
0.431729,0.017569,0.744541,0.000704,1.200175
0.415376,0.017729,0.743165,0.000608,1.182830
0.416432,0.017345,0.766046,0.000672,1.206351
0.415824,0.017697,0.747485,0.000672,1.187214
0.416176,0.017505,0.732061,0.000768,1.171790
0.416721,0.017824,0.778399,0.000864,1.220080
0.416656,0.017601,0.737821,0.000800,1.178574
0.416400,0.017473,0.741181,0.000896,1.181742
