Layer[0],Layer[1],Layer[2],IN[3],INFER[3-3],OUT[3],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.417068,0.017728,0.191686,0.140292,0.045218,0.061346,0.249992,0.047681,0.000832,0.013600,0.000384,0.001440,0.001153,0.000416,0.949692
0.397547,0.017920,0.192326,0.142820,0.035969,0.059554,0.241767,0.048801,0.000864,0.013633,0.000352,0.001472,0.001280,0.000416,0.924891
0.396172,0.017889,0.191909,0.140581,0.047073,0.062082,0.253192,0.048161,0.000864,0.013889,0.000384,0.001472,0.001312,0.000384,0.934780
0.396332,0.017857,0.191557,0.131236,0.061154,0.069954,0.267496,0.048738,0.000864,0.013536,0.000416,0.001472,0.001184,0.000416,0.948188
0.396492,0.017569,0.191461,0.128484,0.043906,0.059425,0.235207,0.048770,0.000832,0.013568,0.000352,0.001472,0.000896,0.000384,0.913915
0.396139,0.017537,0.191461,0.112772,0.045089,0.062274,0.223335,0.048034,0.000800,0.013504,0.000384,0.001408,0.000832,0.000320,0.900314
0.396012,0.017792,0.192038,0.139076,0.037185,0.060162,0.239847,0.047586,0.000864,0.013632,0.000384,0.001408,0.001120,0.000352,0.918683
0.408236,0.017857,0.192037,0.136484,0.045570,0.060994,0.247240,0.047905,0.000896,0.013537,0.000384,0.001440,0.001152,0.000384,0.938716
0.395531,0.017568,0.191654,0.135364,0.036257,0.059522,0.234375,0.047681,0.000832,0.013569,0.000384,0.001408,0.001120,0.000320,0.911899
0.396172,0.017761,0.191461,0.133412,0.034241,0.058562,0.229607,0.050402,0.001056,0.013632,0.000416,0.001440,0.001216,0.000384,0.911227
0.396107,0.017696,0.191846,0.159461,0.053057,0.061986,0.278088,0.048674,0.000864,0.013504,0.000352,0.001504,0.001120,0.000384,0.959996
0.396716,0.017921,0.192197,0.139556,0.035618,0.060961,0.239111,0.048098,0.001088,0.013632,0.000384,0.001600,0.001184,0.000384,0.919835
0.396043,0.017825,0.191910,0.138020,0.034401,0.057857,0.233414,0.050626,0.001056,0.013888,0.000384,0.001472,0.001281,0.000384,0.915707
0.396044,0.017569,0.191461,0.138308,0.036385,0.059649,0.237895,0.048322,0.000864,0.013856,0.000384,0.001568,0.001120,0.000416,0.917371
0.396683,0.017856,0.191590,0.135940,0.037025,0.059714,0.235655,0.050689,0.000832,0.013569,0.000384,0.001504,0.001120,0.000352,0.917851
0.397484,0.017729,0.191365,0.141732,0.043970,0.059618,0.248968,0.049281,0.000832,0.013729,0.000416,0.001472,0.001184,0.000384,0.930460
0.396844,0.017793,0.191333,0.140005,0.035457,0.060001,0.239239,0.050754,0.000864,0.013824,0.000384,0.001473,0.001088,0.000384,0.921916
0.414892,0.018272,0.191878,0.137732,0.046305,0.064482,0.251591,0.048578,0.000640,0.013888,0.000352,0.001472,0.001088,0.000352,0.951100
0.398316,0.017697,0.191589,0.137124,0.036737,0.057793,0.234823,0.048130,0.000896,0.013696,0.000352,0.001440,0.001120,0.000384,0.915963
0.397996,0.017665,0.191750,0.137284,0.033953,0.057569,0.232294,0.048290,0.001088,0.013600,0.000352,0.001504,0.001120,0.000352,0.914203
0.399180,0.017985,0.191877,0.137796,0.039010,0.060609,0.241031,0.060226,0.001088,0.013729,0.000416,0.001504,0.001216,0.000384,0.937276
0.396651,0.017729,0.191974,0.141732,0.048129,0.062178,0.256647,0.049538,0.000832,0.013568,0.000352,0.001440,0.001120,0.000320,0.937915
0.398508,0.017536,0.191654,0.137316,0.036097,0.065250,0.241607,0.051938,0.001056,0.014048,0.000384,0.001472,0.001088,0.000384,0.927099
0.397260,0.017632,0.192710,0.137348,0.045185,0.060034,0.245671,0.047906,0.001152,0.013728,0.000384,0.001472,0.001184,0.000416,0.926971
0.415212,0.017697,0.192166,0.136100,0.044161,0.064898,0.249511,0.050786,0.000864,0.013568,0.000352,0.001536,0.001088,0.000448,0.950716
0.396332,0.017761,0.191493,0.125284,0.035393,0.057442,0.221639,0.049249,0.000960,0.013729,0.000352,0.001504,0.001184,0.000352,0.902267
0.396587,0.017600,0.191846,0.137892,0.034049,0.058370,0.233959,0.048353,0.001088,0.013633,0.000416,0.001504,0.001184,0.000320,0.914235
0.398123,0.017633,0.191910,0.155492,0.049922,0.060770,0.269416,0.048001,0.000832,0.013729,0.000416,0.001472,0.001152,0.000352,0.951196
0.398283,0.017377,0.191878,0.138500,0.034913,0.058082,0.234887,0.047745,0.001088,0.013664,0.000352,0.001537,0.001216,0.000352,0.915931
0.397195,0.018081,0.191718,0.140164,0.044769,0.061698,0.249511,0.047649,0.000832,0.013921,0.000352,0.001472,0.001664,0.000384,0.930683
0.398572,0.017536,0.191974,0.140420,0.036737,0.060962,0.241511,0.047874,0.001056,0.013728,0.000352,0.001504,0.001888,0.000384,0.924347
0.397484,0.017441,0.191685,0.139652,0.035009,0.060066,0.238311,0.048706,0.000832,0.013632,0.000384,0.001600,0.001664,0.000384,0.920027
0.396396,0.017761,0.191653,0.137828,0.037218,0.059073,0.237095,0.048482,0.000864,0.013536,0.000416,0.001504,0.001504,0.000384,0.917019
0.398284,0.017761,0.191397,0.139684,0.036514,0.062529,0.241831,0.048418,0.000832,0.013600,0.000608,0.001632,0.001152,0.000384,0.923900
