Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-6],OUT[6],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395788,0.017409,0.191557,0.004864,0.048034,0.000864,0.110499,0.048354,0.060289,0.222534,0.000736,0.002273,0.001376,0.000352,0.893307
0.395979,0.017441,0.191590,0.004864,0.047905,0.000832,0.105155,0.056898,0.074306,0.239495,0.000800,0.001792,0.001121,0.000480,0.909627
0.396780,0.017697,0.208678,0.005184,0.048097,0.000768,0.105252,0.057473,0.068930,0.234567,0.000704,0.002273,0.000992,0.000416,0.923548
0.395468,0.017793,0.191461,0.004896,0.047298,0.000832,0.104195,0.049089,0.063106,0.219142,0.000800,0.001984,0.001216,0.000512,0.888442
0.398060,0.017473,0.191717,0.004800,0.046946,0.000832,0.105891,0.047105,0.061634,0.217574,0.000736,0.002784,0.001120,0.000481,0.889915
0.395948,0.017441,0.191717,0.004896,0.047682,0.000832,0.104995,0.047649,0.062977,0.218566,0.000960,0.002209,0.001152,0.000480,0.889531
0.397580,0.017728,0.191462,0.005248,0.047489,0.000832,0.111044,0.046977,0.067138,0.228423,0.000768,0.002176,0.001280,0.000384,0.901434
0.397579,0.017729,0.192294,0.005312,0.047713,0.000768,0.107556,0.055137,0.065538,0.231559,0.000864,0.002240,0.001120,0.000512,0.905754
0.396684,0.017665,0.191397,0.005088,0.047009,0.000864,0.104035,0.048865,0.066625,0.222439,0.000608,0.001888,0.001024,0.000384,0.892059
0.395979,0.017729,0.212006,0.005408,0.047106,0.000832,0.105635,0.050241,0.059937,0.218854,0.000672,0.002432,0.001120,0.000480,0.910587
0.397100,0.017857,0.191461,0.005057,0.047105,0.000800,0.110051,0.047714,0.060418,0.221479,0.001152,0.002368,0.001184,0.000416,0.893723
0.396812,0.017632,0.191814,0.004896,0.047713,0.000832,0.105667,0.057153,0.073475,0.239271,0.000576,0.002016,0.001024,0.000384,0.910011
0.396075,0.017729,0.192198,0.004832,0.047329,0.000768,0.105507,0.056578,0.067106,0.232103,0.000928,0.002304,0.001216,0.000448,0.902714
0.395724,0.017697,0.192069,0.004800,0.047202,0.000800,0.108579,0.055490,0.059618,0.226695,0.000640,0.002112,0.001312,0.000448,0.896987
0.395980,0.017824,0.191942,0.005312,0.047138,0.000832,0.104771,0.057250,0.064609,0.229671,0.000736,0.002080,0.001184,0.000448,0.900187
0.396172,0.017473,0.192485,0.004801,0.047073,0.000992,0.109571,0.047554,0.066658,0.226631,0.001056,0.002304,0.001184,0.000448,0.897659
0.397675,0.017761,0.210374,0.005440,0.047810,0.000832,0.111587,0.056354,0.061666,0.232775,0.001056,0.002272,0.001280,0.000544,0.926363
0.398604,0.017536,0.191685,0.005408,0.047810,0.001024,0.105251,0.048193,0.064706,0.221158,0.001120,0.002272,0.001249,0.000448,0.895643
0.396299,0.017313,0.192934,0.005088,0.047009,0.000800,0.104771,0.056706,0.068162,0.232711,0.001184,0.002880,0.001120,0.000416,0.905306
0.395596,0.017601,0.191877,0.005312,0.047074,0.000800,0.105347,0.055874,0.070658,0.234727,0.000960,0.001952,0.001056,0.000352,0.904315
0.395532,0.017696,0.191718,0.004864,0.047394,0.000800,0.107395,0.047137,0.063298,0.221094,0.000960,0.005344,0.001184,0.000896,0.895770
0.396268,0.017857,0.191685,0.005281,0.047713,0.000832,0.110467,0.056002,0.061954,0.231527,0.000864,0.002304,0.001152,0.000448,0.903483
0.395980,0.017792,0.191142,0.005280,0.048129,0.001056,0.103235,0.047969,0.066658,0.220999,0.001024,0.002848,0.001088,0.000480,0.893210
0.397420,0.017696,0.211815,0.005312,0.047393,0.000800,0.107555,0.055970,0.066114,0.232615,0.000800,0.001888,0.001024,0.000640,0.924827
0.395884,0.017760,0.191462,0.005056,0.047169,0.000800,0.104260,0.047649,0.061090,0.216007,0.000832,0.002080,0.001152,0.000480,0.885818
0.395852,0.017824,0.192006,0.005280,0.046945,0.000832,0.103076,0.046817,0.063426,0.216327,0.001056,0.002144,0.001184,0.000416,0.887066
0.397676,0.017632,0.192742,0.004928,0.047137,0.000992,0.110052,0.056769,0.072035,0.241992,0.000736,0.002048,0.001312,0.000480,0.915259
0.396332,0.017633,0.192325,0.005313,0.047329,0.000768,0.104931,0.048258,0.064738,0.222663,0.000736,0.001888,0.001088,0.000448,0.893659
0.395467,0.017633,0.191878,0.005088,0.047041,0.000832,0.106083,0.056258,0.068130,0.233543,0.000768,0.001984,0.001184,0.000448,0.903066
0.394956,0.017824,0.192134,0.004832,0.047042,0.000832,0.097635,0.054977,0.061858,0.217254,0.000576,0.002176,0.001152,0.000416,0.886138
0.396140,0.017889,0.208934,0.005280,0.048034,0.000832,0.110499,0.048225,0.063490,0.225670,0.000768,0.002784,0.001153,0.000384,0.918748
0.396139,0.017505,0.191622,0.004992,0.048065,0.000832,0.108707,0.045890,0.061346,0.218855,0.000832,0.002080,0.001184,0.000320,0.889594
0.396235,0.017505,0.191910,0.004864,0.047393,0.000832,0.105347,0.055746,0.067810,0.231719,0.000960,0.002240,0.001120,0.000384,0.902106
0.396492,0.017856,0.191334,0.004864,0.047009,0.000832,0.135780,0.068898,0.066754,0.274760,0.000960,0.004224,0.001056,0.000384,0.947100
0.395660,0.017601,0.191781,0.004896,0.047074,0.000832,0.109219,0.057122,0.065538,0.235143,0.001024,0.002496,0.001088,0.000384,0.904955
0.395372,0.017696,0.191845,0.004832,0.046946,0.000800,0.106051,0.047873,0.060514,0.217446,0.000832,0.002176,0.001152,0.000416,0.886746
0.397068,0.017793,0.191845,0.004833,0.047009,0.000832,0.111011,0.050402,0.060162,0.225063,0.000800,0.002144,0.001248,0.000480,0.897275
0.396012,0.017696,0.210183,0.005248,0.047041,0.000832,0.112292,0.056417,0.066722,0.238407,0.001152,0.002176,0.001313,0.000544,0.928220
0.396812,0.017504,0.191462,0.004768,0.047330,0.000800,0.105379,0.047969,0.061410,0.217702,0.001152,0.002176,0.001152,0.000928,0.889178
0.395660,0.017856,0.191622,0.004832,0.047010,0.000800,0.107747,0.048865,0.066594,0.226342,0.000800,0.002017,0.001088,0.000416,0.895419
0.395755,0.017825,0.191494,0.005280,0.047041,0.000800,0.109155,0.047234,0.061218,0.221095,0.000800,0.002112,0.001216,0.000384,0.892730
0.395436,0.017728,0.191558,0.004864,0.047105,0.000833,0.106211,0.053697,0.063426,0.226566,0.001056,0.005184,0.001120,0.000416,0.899675
0.395884,0.017569,0.191589,0.004800,0.047009,0.000832,0.103363,0.047873,0.068514,0.222727,0.000736,0.002144,0.001088,0.000384,0.891707
0.395563,0.017761,0.191814,0.004928,0.046977,0.000864,0.108483,0.044802,0.064674,0.220839,0.000704,0.002016,0.001120,0.000608,0.890170
0.395691,0.017312,0.224871,0.005184,0.047073,0.000608,0.107683,0.047873,0.066210,0.224583,0.000896,0.001792,0.001184,0.000416,0.927259
0.396204,0.017664,0.192646,0.005280,0.047073,0.001089,0.109859,0.056898,0.068002,0.238215,0.000768,0.002208,0.001184,0.000896,0.911355
0.395659,0.017825,0.191526,0.004896,0.047041,0.000832,0.108675,0.046722,0.063426,0.221799,0.000928,0.002304,0.001248,0.000896,0.891738
0.395980,0.017888,0.191910,0.004832,0.047010,0.000992,0.113411,0.049729,0.060961,0.227366,0.000704,0.004641,0.001056,0.000640,0.900987
0.396139,0.017633,0.191590,0.004832,0.047137,0.000800,0.106051,0.055682,0.071170,0.236007,0.000960,0.005088,0.001088,0.000800,0.909466
0.395788,0.017825,0.191909,0.004865,0.046977,0.000800,0.103203,0.045569,0.061377,0.213190,0.000800,0.002304,0.001153,0.000896,0.883867
0.395339,0.017889,0.191557,0.005249,0.047073,0.000832,0.108963,0.044962,0.065506,0.222663,0.000640,0.002272,0.001152,0.000800,0.893114
0.395308,0.017792,0.211591,0.005280,0.047137,0.000832,0.110564,0.058497,0.061410,0.233447,0.000544,0.002112,0.001120,0.000448,0.923355
0.395212,0.017824,0.191750,0.004896,0.047074,0.000800,0.096738,0.045569,0.060962,0.206150,0.000512,0.002048,0.001152,0.000448,0.874842
0.396652,0.017728,0.191590,0.005088,0.046945,0.000832,0.100131,0.047554,0.062466,0.213223,0.000896,0.002176,0.001184,0.000512,0.884026
0.396459,0.017601,0.192070,0.005088,0.047041,0.000800,0.131908,0.048674,0.059969,0.243848,0.000608,0.002112,0.001184,0.000512,0.914427
0.415084,0.017825,0.192518,0.005088,0.047585,0.000832,0.110499,0.046177,0.067202,0.227655,0.001152,0.003392,0.001312,0.000480,0.921851
0.396971,0.017857,0.192102,0.005024,0.047489,0.000800,0.107203,0.047682,0.058658,0.216999,0.000704,0.002208,0.001344,0.000416,0.889210
0.395915,0.017889,0.191782,0.004896,0.047841,0.000800,0.104547,0.048610,0.063042,0.219175,0.000864,0.005056,0.001152,0.000448,0.893466
0.396171,0.017856,0.191366,0.023328,0.049858,0.000576,0.109155,0.048578,0.063554,0.224359,0.000736,0.002112,0.001056,0.000864,0.915707
0.395851,0.017729,0.191526,0.004896,0.048257,0.000800,0.114404,0.052257,0.064674,0.234087,0.000832,0.001920,0.001184,0.000416,0.904314
0.396332,0.017889,0.191717,0.004832,0.047522,0.000800,0.110691,0.047522,0.063681,0.225318,0.001088,0.002336,0.001152,0.000512,0.898075
0.396459,0.017888,0.191398,0.005088,0.048161,0.000832,0.108420,0.047585,0.065282,0.224263,0.000832,0.001952,0.001248,0.000544,0.895546
