IN[0],INFER[0-4],OUT[4],TEE[0-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.148420,1.554158,0.068386,1.777909,0.000736,0.015393,0.000384,0.001536,0.001152,0.000384,1.800950
0.147812,1.574287,0.093987,1.822166,0.001056,0.015297,0.000416,0.001696,0.001088,0.000352,1.845815
0.148740,1.553967,0.065506,1.774997,0.000832,0.015008,0.000384,0.001600,0.001248,0.000576,1.798197
0.153029,1.569903,0.066562,1.796918,0.000640,0.020544,0.000640,0.001600,0.001120,0.000736,1.826679
0.156517,1.557070,0.070050,1.791189,0.000897,0.015008,0.000384,0.001472,0.001120,0.000384,1.814262
0.144228,1.571823,0.078114,1.801046,0.001184,0.016032,0.000416,0.001600,0.001408,0.000352,1.825718
0.132740,1.554606,0.067842,1.761268,0.000704,0.014817,0.000384,0.001536,0.001024,0.000416,1.783861
0.147140,1.566255,0.090114,1.809685,0.001152,0.021473,0.000384,0.001632,0.001280,0.000480,1.839991
0.145285,1.553006,0.065154,1.770069,0.001120,0.015425,0.000416,0.001696,0.001216,0.000480,1.794070
0.144548,1.572975,0.075618,1.800501,0.001056,0.015200,0.000416,0.001536,0.001280,0.000384,1.824886
0.145317,1.556206,0.064162,1.771221,0.000832,0.015328,0.000384,0.001568,0.001280,0.000576,1.794998
0.144228,1.568015,0.076546,1.795413,0.001088,0.015265,0.000384,0.001824,0.000896,0.000384,1.819862
0.148581,1.553198,0.065282,1.774197,0.000704,0.015073,0.000416,0.001536,0.001152,0.000352,1.796886
0.168389,1.583375,0.078242,1.839926,0.001504,0.016321,0.000640,0.001568,0.001664,0.000384,1.866519
