Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415569,0.017889,0.203176,0.004800,0.239817,0.001056,0.014561,0.000384,0.001504,0.001216,0.000352,0.909892
0.420144,0.017792,0.202632,0.005600,0.234090,0.000864,0.014784,0.000416,0.001440,0.001121,0.000416,0.908164
0.420689,0.017537,0.202664,0.005280,0.237353,0.000960,0.014913,0.000416,0.001472,0.001120,0.000384,0.913508
0.435345,0.017761,0.202376,0.005248,0.236009,0.000896,0.015137,0.000448,0.001472,0.001120,0.000640,0.925668
0.420688,0.017985,0.202888,0.005440,0.228297,0.000864,0.015265,0.000416,0.001632,0.001248,0.000352,0.904899
0.416273,0.017761,0.202311,0.005280,0.233705,0.000992,0.014625,0.000384,0.001568,0.001120,0.000352,0.903780
0.420593,0.017633,0.218824,0.005313,0.227817,0.000896,0.014432,0.000352,0.001504,0.001184,0.000608,0.918756
0.420656,0.018305,0.202248,0.005344,0.220713,0.000864,0.014337,0.000416,0.001472,0.001248,0.000544,0.895427
0.417360,0.017761,0.202216,0.005280,0.229673,0.000864,0.014625,0.000352,0.001504,0.001024,0.000384,0.899747
0.416272,0.017537,0.202312,0.005376,0.225193,0.000928,0.015137,0.000416,0.001472,0.001056,0.000608,0.894819
0.437009,0.017633,0.202472,0.005056,0.239113,0.000960,0.014177,0.000448,0.001472,0.000992,0.000352,0.929604
0.418129,0.017632,0.202856,0.005281,0.228329,0.000896,0.014400,0.000384,0.001440,0.001024,0.000320,0.899555
0.420080,0.017537,0.202376,0.005216,0.224073,0.001120,0.014369,0.000384,0.001536,0.001024,0.000384,0.896579
0.419985,0.017729,0.248361,0.005569,0.231337,0.000928,0.014176,0.000608,0.001441,0.001088,0.000352,0.951046
0.416017,0.017600,0.202280,0.004929,0.238729,0.000960,0.014081,0.000800,0.001504,0.001024,0.000800,0.908772
0.415952,0.017473,0.202824,0.005280,0.225705,0.000832,0.014209,0.000416,0.001440,0.001248,0.000384,0.894851
