Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-8],OUT[8],TEE[4-8],Layer[9],Layer[10],classifier
0.396171,0.017633,0.191685,0.005313,0.111683,0.104483,0.067426,0.287496,0.001568,0.000416,0.906331
0.397772,0.017472,0.191846,0.005312,0.116227,0.102051,0.066530,0.288521,0.001472,0.000416,0.908475
0.395852,0.017537,0.191845,0.005248,0.115108,0.103811,0.067234,0.291337,0.001536,0.000480,0.909851
0.413036,0.017984,0.192166,0.005280,0.119908,0.107555,0.070498,0.301577,0.001408,0.000448,0.937659
0.400363,0.017665,0.191974,0.005440,0.119075,0.102147,0.070851,0.295689,0.001440,0.000448,0.918587
0.397612,0.017377,0.191685,0.005185,0.115811,0.104195,0.067042,0.291080,0.001408,0.000416,0.911035
0.399084,0.017632,0.191878,0.005280,0.139812,0.104515,0.069506,0.319306,0.001792,0.000416,0.941820
0.398668,0.018081,0.192069,0.005280,0.114148,0.105699,0.067650,0.291689,0.001664,0.000384,0.913883
0.396588,0.017664,0.191718,0.005280,0.116964,0.102435,0.065730,0.288681,0.001408,0.000448,0.907483
0.396620,0.017664,0.192070,0.005344,0.107140,0.100034,0.066209,0.276841,0.001504,0.000416,0.896411
0.411308,0.017857,0.191909,0.005344,0.111395,0.097763,0.063906,0.276520,0.001536,0.000416,0.910715
0.396172,0.017504,0.192198,0.005440,0.114723,0.101379,0.064898,0.284680,0.001441,0.000416,0.904283
0.396363,0.017537,0.192166,0.005312,0.119011,0.100803,0.067522,0.290856,0.001537,0.000448,0.910331
0.396364,0.017408,0.210183,0.005440,0.116099,0.101219,0.064770,0.285640,0.001536,0.000448,0.923771
0.396076,0.017472,0.192262,0.005152,0.110467,0.104932,0.067394,0.286537,0.001408,0.000480,0.905147
0.395916,0.017441,0.191973,0.005281,0.121315,0.102051,0.067138,0.294632,0.001536,0.000448,0.913595
0.396843,0.017440,0.192070,0.005248,0.115395,0.103843,0.068163,0.290697,0.001664,0.000416,0.909947
0.397579,0.018048,0.191814,0.005472,0.115715,0.103940,0.065345,0.289129,0.001824,0.000480,0.910651
0.397356,0.017440,0.192006,0.005184,0.120260,0.104323,0.067810,0.296233,0.001408,0.000416,0.915931
0.395980,0.017632,0.191622,0.005312,0.117412,0.105123,0.067458,0.293865,0.001952,0.000416,0.913179
0.396235,0.031969,0.192646,0.005344,0.105059,0.108132,0.065762,0.282409,0.001408,0.000416,0.916603
0.397771,0.017889,0.191622,0.005344,0.109219,0.103395,0.064482,0.281352,0.001600,0.000480,0.902298
0.397612,0.017600,0.192998,0.005312,0.113923,0.105476,0.066402,0.289289,0.001664,0.000448,0.910619
0.397388,0.017441,0.191589,0.005248,0.112452,0.104387,0.063458,0.283785,0.001728,0.000416,0.903131
0.395788,0.017760,0.192006,0.005344,0.113507,0.105028,0.066626,0.288745,0.001536,0.000448,0.907195
0.398444,0.017697,0.191813,0.005313,0.119459,0.101155,0.065602,0.290376,0.001536,0.000416,0.911707
0.398667,0.017600,0.192070,0.005248,0.112579,0.103715,0.063202,0.283336,0.001568,0.000448,0.904858
0.417804,0.017665,0.191910,0.005280,0.118403,0.109444,0.065794,0.297673,0.001536,0.000416,0.939388
0.397740,0.017665,0.191781,0.005344,0.109124,0.102403,0.064418,0.279625,0.001568,0.000448,0.900027
0.397068,0.017665,0.191557,0.005217,0.111491,0.107299,0.063778,0.286088,0.001600,0.000448,0.905243
0.397867,0.017857,0.192358,0.005312,0.111843,0.117924,0.073570,0.307337,0.001664,0.000448,0.928699
0.398508,0.017697,0.191653,0.005249,0.111491,0.102499,0.064290,0.282088,0.001536,0.000416,0.903067
0.396940,0.017729,0.191813,0.005280,0.111172,0.102531,0.064418,0.281833,0.001568,0.000416,0.901371
0.397132,0.017761,0.191653,0.005120,0.113667,0.099043,0.062786,0.278825,0.001856,0.000416,0.898587
0.420076,0.017505,0.192037,0.005280,0.112580,0.105251,0.064194,0.285641,0.001696,0.000416,0.928091
0.396524,0.017473,0.191749,0.005280,0.115140,0.100195,0.064322,0.283337,0.001536,0.000480,0.902139
0.396332,0.018049,0.191909,0.005216,0.109316,0.095938,0.062529,0.271464,0.001568,0.000416,0.890843
0.397516,0.017409,0.192229,0.005184,0.121412,0.119940,0.077922,0.323754,0.001504,0.000512,0.944956
0.396171,0.017633,0.192230,0.005312,0.111875,0.100771,0.063778,0.280008,0.001792,0.000384,0.899066
0.397707,0.017633,0.191686,0.005248,0.113315,0.100675,0.065698,0.283272,0.001536,0.000448,0.903258
0.398316,0.017280,0.191942,0.005280,0.111811,0.099011,0.063394,0.277640,0.001408,0.000416,0.897754
0.410572,0.017409,0.191749,0.005313,0.117923,0.101507,0.063778,0.286824,0.001440,0.000416,0.919611
0.397676,0.017377,0.192005,0.005217,0.107683,0.102435,0.065218,0.279016,0.001536,0.000416,0.899003
0.397835,0.017345,0.191878,0.005280,0.106499,0.100579,0.064066,0.275080,0.001472,0.000512,0.895290
0.396427,0.017953,0.192038,0.005248,0.141092,0.116643,0.072514,0.335530,0.001536,0.000480,0.954748
0.397580,0.017472,0.191974,0.005344,0.119428,0.101699,0.067106,0.292329,0.001408,0.000384,0.912603
0.396140,0.017473,0.192517,0.005249,0.110563,0.102243,0.065506,0.281832,0.001312,0.000416,0.900347
0.397260,0.017633,0.192005,0.005249,0.120195,0.102915,0.067330,0.294632,0.001536,0.000576,0.915067
0.409548,0.018048,0.192229,0.005248,0.121540,0.109539,0.066242,0.300969,0.001504,0.000480,0.933627
0.396491,0.017665,0.192294,0.005024,0.108707,0.103299,0.065346,0.281000,0.001472,0.000448,0.900186
0.395979,0.017632,0.191654,0.005280,0.118179,0.102243,0.064994,0.289128,0.001505,0.000448,0.907355
0.397580,0.017856,0.214151,0.005312,0.114691,0.098947,0.064066,0.281288,0.001472,0.000416,0.924859
0.396588,0.017537,0.191877,0.005313,0.119299,0.098915,0.063234,0.285192,0.001376,0.000448,0.904283
0.396492,0.017696,0.192038,0.005280,0.118820,0.101155,0.065378,0.289097,0.001536,0.000480,0.908827
0.397484,0.017665,0.192101,0.005280,0.117987,0.103587,0.066850,0.292137,0.001536,0.000448,0.912763
0.397708,0.017760,0.191558,0.005248,0.119524,0.104163,0.067266,0.295241,0.001536,0.000448,0.916219
0.397548,0.018049,0.192229,0.005249,0.118659,0.101347,0.064354,0.288360,0.001472,0.000448,0.909147
0.397707,0.017697,0.191622,0.005280,0.114403,0.105315,0.065794,0.289544,0.001536,0.000416,0.910394
0.396108,0.017569,0.210758,0.005184,0.118148,0.109923,0.066210,0.297929,0.001440,0.000480,0.935836
0.396235,0.017537,0.191846,0.005312,0.113955,0.102083,0.063874,0.283880,0.001504,0.000480,0.902714
0.395531,0.017825,0.191366,0.005312,0.111939,0.102275,0.063234,0.281288,0.001472,0.000416,0.899002
0.396043,0.017697,0.192230,0.005312,0.119811,0.099683,0.063202,0.286568,0.001504,0.000448,0.905658
0.397516,0.017601,0.191685,0.005089,0.105315,0.098051,0.062594,0.269768,0.001536,0.000384,0.889435
0.395884,0.017697,0.191589,0.005280,0.118499,0.099267,0.064258,0.285512,0.001472,0.000416,0.903995
0.397067,0.017441,0.192006,0.005280,0.115651,0.099747,0.063650,0.282920,0.001504,0.000416,0.902074
0.418476,0.017409,0.192037,0.005249,0.118659,0.103875,0.068066,0.294824,0.001536,0.000512,0.936699
0.398028,0.017696,0.192294,0.005280,0.116228,0.103811,0.064130,0.288233,0.001664,0.000448,0.910075
0.397387,0.017409,0.191878,0.005280,0.120035,0.103235,0.064322,0.291304,0.001408,0.000480,0.911130
0.397227,0.017601,0.192102,0.005280,0.116675,0.121860,0.070114,0.313033,0.001536,0.000416,0.933275
0.396235,0.017793,0.191878,0.005408,0.116291,0.106275,0.065698,0.291880,0.001504,0.000384,0.910458
0.398028,0.017569,0.192229,0.005313,0.116195,0.101059,0.065826,0.286856,0.001472,0.000416,0.907227
0.397387,0.017633,0.191878,0.005056,0.118435,0.102659,0.066882,0.291528,0.001472,0.000384,0.911355
0.409196,0.017409,0.192261,0.005248,0.115652,0.103459,0.067426,0.290025,0.001440,0.000448,0.921819
0.395499,0.018113,0.191814,0.005248,0.133252,0.100899,0.071298,0.309065,0.001504,0.000448,0.927675
0.396267,0.017409,0.192134,0.005280,0.118627,0.102307,0.066338,0.291016,0.001504,0.000384,0.909914
0.397292,0.017377,0.191717,0.005377,0.140260,0.102787,0.068226,0.316233,0.001472,0.000416,0.936124
0.397355,0.017665,0.192070,0.005120,0.120131,0.102851,0.067394,0.294152,0.001537,0.000416,0.914491
0.395564,0.017441,0.191877,0.005249,0.112963,0.103427,0.064706,0.284584,0.001536,0.000480,0.902747
0.395372,0.018048,0.192070,0.005024,0.119940,0.103907,0.067330,0.294793,0.001472,0.000480,0.913115
0.396300,0.017504,0.193062,0.005248,0.118372,0.101859,0.064673,0.288649,0.001568,0.000384,0.908539
0.396076,0.017472,0.191814,0.005248,0.131204,0.100835,0.063874,0.299625,0.001504,0.000448,0.917691
0.397771,0.017633,0.192550,0.005280,0.122019,0.103779,0.064322,0.293929,0.001376,0.000384,0.914715
0.397356,0.018017,0.207974,0.005440,0.116387,0.107684,0.065666,0.293609,0.001504,0.000416,0.930236
0.397132,0.017408,0.192070,0.005248,0.113636,0.101123,0.065762,0.283817,0.001472,0.000416,0.903387
0.396492,0.017665,0.192581,0.005280,0.113540,0.097891,0.063170,0.278313,0.001472,0.000512,0.897979
0.396043,0.018144,0.192006,0.005280,0.115043,0.099875,0.063426,0.282248,0.001504,0.000416,0.901946
0.396108,0.017472,0.191942,0.005280,0.118212,0.100835,0.069570,0.292649,0.001568,0.000448,0.911995
0.395916,0.017857,0.192613,0.005248,0.116292,0.100963,0.064802,0.285737,0.001568,0.000448,0.905499
0.395692,0.017537,0.192453,0.005281,0.111651,0.102947,0.063522,0.281736,0.001696,0.000416,0.900859
