Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-5],OUT[5],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.399884,0.017568,0.191622,0.004864,0.046978,0.103939,0.034753,0.065090,0.207110,0.016032,0.000736,0.001440,0.000896,0.000384,0.894714
0.399916,0.017536,0.192422,0.004864,0.046882,0.138148,0.046593,0.063682,0.251463,0.016193,0.000512,0.001504,0.000896,0.000288,0.939260
0.395307,0.017920,0.192454,0.004928,0.046913,0.109924,0.038529,0.066274,0.217575,0.014176,0.000736,0.001472,0.000992,0.000320,0.899674
0.411564,0.017760,0.192230,0.004928,0.046946,0.112771,0.041121,0.070914,0.227750,0.015585,0.000576,0.001472,0.000896,0.000640,0.927419
0.400044,0.017601,0.192517,0.004928,0.047010,0.102563,0.032705,0.063362,0.201830,0.014560,0.000480,0.001632,0.000928,0.000320,0.889018
0.396716,0.017696,0.191782,0.004896,0.046913,0.114820,0.040033,0.068706,0.227047,0.021345,0.000704,0.001440,0.001440,0.000320,0.917947
0.401132,0.017920,0.192485,0.005024,0.046914,0.131332,0.041025,0.066434,0.241991,0.014880,0.000736,0.001600,0.000961,0.000320,0.931196
0.400876,0.017696,0.192646,0.004896,0.047233,0.113252,0.032705,0.063874,0.213127,0.016160,0.000544,0.001504,0.000992,0.000448,0.903610
0.396076,0.017792,0.192454,0.005120,0.047201,0.113636,0.039649,0.066978,0.223591,0.014433,0.000736,0.001472,0.001568,0.000448,0.908283
0.400780,0.017696,0.192358,0.004896,0.047233,0.109891,0.037025,0.065186,0.215302,0.014464,0.000736,0.001536,0.001120,0.000384,0.903514
0.414604,0.017633,0.192325,0.004865,0.047425,0.116291,0.040066,0.073570,0.232775,0.022849,0.000512,0.001504,0.000992,0.000352,0.943004
0.400588,0.017568,0.192742,0.004832,0.047137,0.107044,0.034785,0.064738,0.209415,0.014464,0.000480,0.001376,0.001632,0.000384,0.897914
0.395852,0.017664,0.192390,0.004928,0.047394,0.108675,0.033121,0.060610,0.205318,0.014912,0.000448,0.001632,0.000928,0.000384,0.889146
0.395244,0.017761,0.192261,0.004833,0.064385,0.109731,0.039809,0.064866,0.217447,0.015456,0.000736,0.001472,0.001025,0.000416,0.918684
0.396268,0.017761,0.192101,0.005217,0.046913,0.137924,0.042721,0.068162,0.252007,0.021184,0.000480,0.001472,0.000896,0.000384,0.941980
0.395948,0.017761,0.192517,0.005440,0.047618,0.115843,0.040226,0.067298,0.226375,0.015360,0.000512,0.001664,0.001184,0.000384,0.912059
0.399820,0.017633,0.192198,0.004896,0.047009,0.107651,0.036065,0.065922,0.213286,0.014497,0.000512,0.001440,0.001056,0.000448,0.900155
0.411340,0.017761,0.191558,0.005248,0.047041,0.117892,0.033313,0.064450,0.218919,0.021376,0.000480,0.001472,0.001376,0.000448,0.925308
0.400139,0.017569,0.192838,0.004896,0.047041,0.114596,0.040161,0.062658,0.220551,0.015168,0.000736,0.001472,0.001024,0.000448,0.910426
0.396011,0.017473,0.192678,0.004864,0.048289,0.111588,0.033601,0.063137,0.211206,0.015489,0.000768,0.001760,0.001568,0.000384,0.897658
0.397708,0.017985,0.209766,0.005536,0.048769,0.127396,0.035361,0.064066,0.230951,0.015937,0.000704,0.001888,0.002176,0.000352,0.944412
0.395948,0.017601,0.192709,0.005281,0.049345,0.110115,0.034337,0.057730,0.205126,0.014753,0.000544,0.001600,0.001568,0.000416,0.893083
0.395404,0.017344,0.192262,0.004928,0.048578,0.111715,0.033953,0.060706,0.209382,0.017056,0.000768,0.001472,0.000960,0.000416,0.895930
0.400268,0.017281,0.192325,0.004993,0.048257,0.105891,0.034017,0.057698,0.200838,0.014208,0.000993,0.001408,0.001504,0.000352,0.890267
0.395724,0.017537,0.192517,0.004896,0.047970,0.099491,0.032673,0.060258,0.195238,0.015104,0.000736,0.001696,0.000928,0.000352,0.880026
0.396811,0.017825,0.192358,0.004992,0.047681,0.119684,0.032481,0.059970,0.215687,0.015104,0.000480,0.001504,0.001088,0.000448,0.901562
0.395819,0.017537,0.192742,0.004864,0.047681,0.118948,0.032449,0.058561,0.213286,0.015041,0.000704,0.001440,0.001184,0.000416,0.897914
0.401068,0.017793,0.207142,0.005376,0.047266,0.108355,0.033761,0.060866,0.205638,0.015072,0.000512,0.001536,0.001248,0.000576,0.910875
0.396555,0.017761,0.192646,0.004928,0.047713,0.116324,0.033345,0.059521,0.212422,0.014881,0.000512,0.001504,0.001088,0.000320,0.897562
0.401164,0.017505,0.192517,0.004833,0.046977,0.111875,0.032897,0.062658,0.210214,0.015265,0.000544,0.001632,0.001024,0.000320,0.899355
0.395628,0.017536,0.192070,0.005248,0.047169,0.108835,0.032705,0.062338,0.206919,0.015616,0.000512,0.002144,0.001088,0.000544,0.891898
0.400428,0.017472,0.192070,0.004864,0.047234,0.106787,0.030529,0.061058,0.201126,0.016288,0.000704,0.001408,0.000960,0.000608,0.890394
0.396908,0.017632,0.192422,0.005248,0.047106,0.117699,0.030497,0.058210,0.210278,0.014624,0.000480,0.001408,0.001024,0.000480,0.895770
0.396428,0.017921,0.192613,0.004801,0.047169,0.104515,0.034945,0.063842,0.206342,0.019841,0.000768,0.001440,0.001632,0.000384,0.896603
0.400108,0.017760,0.208103,0.005216,0.047489,0.116708,0.042209,0.069314,0.231783,0.015680,0.000512,0.001537,0.001344,0.000384,0.937596
0.401035,0.017760,0.192614,0.004896,0.047073,0.111236,0.032929,0.063713,0.210631,0.015232,0.000704,0.001664,0.001056,0.000352,0.900410
0.396428,0.017696,0.192358,0.004928,0.046882,0.108035,0.033601,0.064034,0.208614,0.014880,0.000480,0.001472,0.001472,0.000352,0.892954
0.396428,0.017537,0.192773,0.004865,0.047201,0.116131,0.033185,0.066530,0.219014,0.015329,0.000736,0.001632,0.001312,0.000448,0.906875
0.396908,0.017601,0.192837,0.004800,0.047650,0.114275,0.033281,0.061250,0.211878,0.014721,0.000768,0.001504,0.001344,0.000384,0.897403
0.409388,0.017760,0.192486,0.004928,0.049921,0.155973,0.041153,0.083267,0.283913,0.014560,0.000544,0.001504,0.000960,0.000384,0.984125
0.396876,0.017601,0.193157,0.005025,0.049089,0.110755,0.031713,0.064290,0.210054,0.015553,0.000480,0.001504,0.000928,0.000448,0.897787
