Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.397163,0.017504,0.191302,0.004800,0.110435,0.092739,0.060226,0.266312,0.000640,0.002528,0.001088,0.000352,0.887898
0.399948,0.017505,0.192070,0.004832,0.115427,0.102563,0.064034,0.285192,0.000704,0.003328,0.001184,0.000416,0.911643
0.396556,0.017920,0.191398,0.004864,0.113763,0.095139,0.062082,0.274344,0.000704,0.002432,0.001248,0.000416,0.896506
0.430765,0.017856,0.191942,0.004864,0.114691,0.098883,0.066338,0.283368,0.000832,0.002529,0.001216,0.000384,0.941980
0.398731,0.018048,0.191558,0.005056,0.116611,0.097795,0.067714,0.286088,0.000768,0.002497,0.001216,0.000384,0.912315
0.398092,0.017440,0.191430,0.005056,0.118084,0.102947,0.066370,0.290729,0.000832,0.002560,0.001280,0.000384,0.914971
0.397355,0.017345,0.208774,0.005184,0.117316,0.102435,0.070914,0.294089,0.000768,0.002688,0.001216,0.000448,0.935003
0.396267,0.017281,0.191174,0.005056,0.111139,0.097731,0.063714,0.275784,0.000736,0.002240,0.001152,0.000416,0.895962
0.396268,0.017345,0.191557,0.005313,0.111587,0.102115,0.068962,0.285736,0.000672,0.002880,0.001152,0.000384,0.907835
0.396396,0.017504,0.191142,0.005216,0.110243,0.102115,0.064546,0.279944,0.000704,0.004993,0.001216,0.000416,0.904187
0.412620,0.017537,0.191621,0.004897,0.109923,0.102051,0.070114,0.285032,0.000704,0.004896,0.001248,0.000416,0.925115
0.395756,0.017888,0.191398,0.004896,0.114275,0.096739,0.065314,0.279816,0.000704,0.002784,0.001248,0.000384,0.901915
0.397100,0.017504,0.191526,0.004960,0.116324,0.095747,0.065922,0.281705,0.000736,0.002560,0.001376,0.000384,0.905531
0.396652,0.017728,0.227431,0.005504,0.114628,0.096931,0.066082,0.281129,0.000768,0.002432,0.001280,0.000352,0.940284
0.396172,0.017985,0.191717,0.004960,0.112964,0.103747,0.071746,0.292521,0.000736,0.002688,0.001248,0.000416,0.915355
0.397004,0.017824,0.191910,0.004800,0.121476,0.097827,0.065890,0.288809,0.000864,0.002720,0.001280,0.000384,0.913179
0.396780,0.017825,0.191365,0.004833,0.116035,0.098307,0.064546,0.282344,0.000800,0.002912,0.001216,0.000384,0.905467
0.397132,0.017984,0.191622,0.004864,0.120164,0.105187,0.067298,0.296265,0.000768,0.003008,0.001280,0.000416,0.920667
0.395756,0.017856,0.191462,0.004832,0.119652,0.102915,0.067874,0.293961,0.000736,0.002784,0.001344,0.000416,0.915995
