Layer[0],Layer[1],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415633,0.017633,0.678043,0.005408,0.048162,0.000864,0.013473,0.000352,0.001536,0.000992,0.000352,1.191920
0.415600,0.017761,0.667355,0.005376,0.051778,0.000832,0.013505,0.000320,0.001504,0.000960,0.000832,1.184783
0.416496,0.017952,0.695356,0.005344,0.048514,0.000832,0.013665,0.000320,0.001440,0.001024,0.000800,1.211216
0.415761,0.017729,0.691867,0.005376,0.048514,0.000960,0.013473,0.000352,0.001408,0.000960,0.000384,1.205456
0.417553,0.017760,0.673723,0.005377,0.048577,0.000832,0.013792,0.000384,0.001568,0.000928,0.000416,1.190191
0.415889,0.017473,0.707580,0.005568,0.049890,0.000800,0.013665,0.000384,0.001472,0.001152,0.000384,1.223185
0.416016,0.017793,0.676667,0.005504,0.048418,0.000832,0.013441,0.000352,0.001440,0.001056,0.000320,1.190575
0.416080,0.017729,0.690268,0.005312,0.048514,0.000800,0.013568,0.000384,0.001473,0.001088,0.000352,1.204272
0.416977,0.033665,0.711261,0.005472,0.048610,0.000800,0.013472,0.000416,0.001441,0.000928,0.000352,1.242226
0.416209,0.017761,0.676635,0.005440,0.049378,0.000832,0.013504,0.000384,0.001473,0.001056,0.000384,1.190128
0.416657,0.017793,0.681435,0.005344,0.047938,0.000832,0.013825,0.000384,0.001440,0.000992,0.000352,1.196208
0.431921,0.017761,0.676379,0.005504,0.048226,0.000864,0.013664,0.000352,0.001473,0.001024,0.000384,1.206000
0.415921,0.017697,0.679163,0.005472,0.048098,0.000832,0.013473,0.000320,0.001824,0.000960,0.000384,1.192912
0.415600,0.017537,0.678939,0.005440,0.049442,0.000832,0.030337,0.000416,0.001408,0.000992,0.000352,1.209968
0.417008,0.018336,0.673627,0.005344,0.048482,0.000896,0.014241,0.000384,0.001504,0.001088,0.000384,1.190799
0.416464,0.017633,0.657210,0.005249,0.048610,0.000864,0.013760,0.000384,0.001408,0.001120,0.000320,1.171566
0.415408,0.017505,0.697628,0.005504,0.048706,0.000768,0.013409,0.000384,0.001472,0.000992,0.000320,1.210544
0.415664,0.017345,0.701212,0.005248,0.050146,0.000832,0.013505,0.000384,0.001344,0.001024,0.000384,1.215280
0.416176,0.017505,0.665530,0.005409,0.048066,0.000800,0.013632,0.000352,0.001408,0.001056,0.000288,1.179310
