Layer[0],Layer[1],IN[2],INFER[2-3],OUT[3],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.413324,0.017536,0.135172,0.533295,0.069986,0.741718,0.048674,0.000640,0.013664,0.000352,0.001472,0.001216,0.000352,1.246820
0.396107,0.017472,0.141636,0.519248,0.065602,0.730134,0.049729,0.000640,0.013761,0.000384,0.001440,0.001152,0.000384,1.218628
0.395756,0.017376,0.123780,0.518511,0.064930,0.711061,0.051362,0.000608,0.032161,0.000480,0.001984,0.001280,0.000448,1.220036
0.395435,0.017600,0.142340,0.518736,0.066434,0.730806,0.049985,0.000640,0.013633,0.000352,0.001664,0.001056,0.000352,1.218820
0.395724,0.017408,0.134308,0.518256,0.068610,0.724214,0.049185,0.000608,0.013633,0.000384,0.001440,0.001152,0.000352,1.211332
0.395724,0.017505,0.125540,0.534575,0.067810,0.731349,0.051618,0.000704,0.013504,0.000352,0.001472,0.001089,0.000352,1.220293
0.397931,0.019360,0.134820,0.519792,0.069186,0.727574,0.049441,0.000640,0.013825,0.000352,0.001536,0.001120,0.000352,1.219748
0.396460,0.017504,0.141604,0.518223,0.067938,0.731349,0.049378,0.000640,0.013696,0.000448,0.001440,0.001216,0.000352,1.219972
0.414189,0.017376,0.141284,0.528271,0.066882,0.740054,0.048130,0.000576,0.013536,0.000384,0.001504,0.000992,0.000384,1.243781
0.396204,0.017600,0.123844,0.518223,0.069474,0.714901,0.048994,0.000608,0.013504,0.000352,0.001440,0.001280,0.000416,1.202980
0.395307,0.017505,0.142276,0.529712,0.073122,0.748310,0.048514,0.000704,0.013472,0.000352,0.001472,0.001152,0.000448,1.234660
0.395787,0.017409,0.143332,0.520335,0.076130,0.743030,0.050241,0.000608,0.013665,0.000384,0.001440,0.001024,0.000416,1.231237
0.395948,0.017536,0.144357,0.518447,0.071938,0.738358,0.049410,0.000640,0.013472,0.000384,0.001472,0.001056,0.000416,1.226116
0.396363,0.017441,0.139876,0.532272,0.075394,0.750934,0.054210,0.000640,0.013472,0.000384,0.001472,0.001024,0.000448,1.243812
0.395692,0.017409,0.136164,0.532304,0.067106,0.739030,0.049825,0.000608,0.013536,0.000384,0.001440,0.001056,0.000480,1.226853
0.396139,0.017440,0.147076,0.518192,0.070082,0.738934,0.050081,0.000640,0.013761,0.000384,0.001472,0.000992,0.000512,1.227812
0.397388,0.017601,0.158884,0.536111,0.082211,0.783511,0.048225,0.000608,0.013505,0.000352,0.001536,0.001120,0.000352,1.272998
0.396619,0.017377,0.133636,0.519599,0.068834,0.725397,0.049122,0.000640,0.013760,0.000576,0.001664,0.000928,0.000352,1.213219
0.395820,0.017601,0.126276,0.516399,0.067682,0.713685,0.052289,0.000640,0.013601,0.000416,0.001440,0.000896,0.000320,1.204004
0.414701,0.017760,0.133604,0.534736,0.073346,0.745142,0.048866,0.000672,0.014048,0.000384,0.001440,0.001312,0.000352,1.252741
0.395916,0.017601,0.139588,0.528079,0.065442,0.736789,0.049346,0.000576,0.013824,0.000352,0.001504,0.001024,0.000417,1.224933
0.396427,0.017409,0.134500,0.518319,0.085059,0.741494,0.050881,0.000673,0.014048,0.000384,0.001472,0.000960,0.000416,1.230756
0.395500,0.017696,0.142180,0.516112,0.076130,0.737590,0.048257,0.000576,0.013825,0.000320,0.001408,0.001152,0.000416,1.224164
0.395724,0.017472,0.130884,0.534864,0.065154,0.734006,0.052290,0.000544,0.013440,0.000352,0.001472,0.001088,0.000320,1.223684
0.395468,0.017344,0.126787,0.530288,0.072898,0.733269,0.055074,0.000640,0.013600,0.000384,0.001472,0.001152,0.000448,1.226020
0.395532,0.017441,0.139844,0.517103,0.066434,0.726485,0.053026,0.000576,0.013504,0.000416,0.001472,0.001056,0.000320,1.217540
0.395852,0.017601,0.133412,0.522671,0.069218,0.728405,0.048994,0.000608,0.013504,0.000384,0.001536,0.001056,0.000480,1.217028
0.414476,0.017633,0.140836,0.527055,0.068834,0.739958,0.050497,0.000640,0.013505,0.000384,0.001472,0.001184,0.000448,1.247909
0.396075,0.017537,0.138916,0.518992,0.066466,0.727510,0.048641,0.000608,0.013568,0.000384,0.001409,0.000896,0.000384,1.213732
0.395435,0.017441,0.127556,0.516367,0.075810,0.723317,0.048738,0.000640,0.013504,0.000384,0.001440,0.001344,0.000416,1.210115
0.395531,0.017440,0.135236,0.517647,0.066690,0.722869,0.049122,0.000640,0.013600,0.000384,0.001376,0.001088,0.000384,1.209412
0.395403,0.017377,0.138084,0.518319,0.065634,0.725333,0.049026,0.000576,0.013504,0.000352,0.001504,0.001184,0.000352,1.211971
0.396364,0.017473,0.125379,0.546577,0.066754,0.742070,0.050657,0.000640,0.013857,0.000352,0.001376,0.001312,0.000448,1.231525
0.395051,0.017377,0.139812,0.532464,0.066626,0.742358,0.049185,0.000640,0.013505,0.000352,0.001408,0.001056,0.000352,1.228292
0.396203,0.017537,0.129188,0.516431,0.065762,0.714709,0.048994,0.000576,0.013728,0.000384,0.001408,0.000960,0.000448,1.202083
0.396428,0.017600,0.111299,0.538032,0.080642,0.734037,0.049282,0.000640,0.013504,0.000416,0.001408,0.001120,0.000384,1.223364
0.395692,0.017409,0.130403,0.517039,0.066882,0.717557,0.048961,0.000608,0.013505,0.000416,0.001408,0.001120,0.000384,1.203908
0.396140,0.017536,0.142052,0.519056,0.067970,0.732726,0.048289,0.000608,0.013569,0.000416,0.001440,0.001152,0.000352,1.220100
0.414284,0.017600,0.128388,0.526928,0.065794,0.724438,0.047553,0.000576,0.013504,0.000384,0.001472,0.001153,0.000352,1.229029
0.395852,0.017632,0.130116,0.519696,0.067682,0.721174,0.047873,0.000576,0.013632,0.000416,0.001409,0.001184,0.000416,1.207652
0.396011,0.017408,0.130020,0.518383,0.066722,0.718805,0.047938,0.000608,0.013504,0.000352,0.001504,0.001056,0.000416,1.204867
0.395468,0.017632,0.136388,0.518032,0.067330,0.725110,0.047681,0.000544,0.013536,0.000416,0.001409,0.001184,0.000384,1.210116
0.395595,0.017505,0.139524,0.532144,0.067458,0.742134,0.047777,0.000608,0.013601,0.000416,0.001376,0.001120,0.000352,1.227364
0.395436,0.017344,0.142564,0.546385,0.084098,0.776183,0.050818,0.000640,0.013472,0.000320,0.001376,0.001056,0.000384,1.264293
0.395852,0.017665,0.140292,0.517967,0.063906,0.725365,0.047777,0.000576,0.013505,0.000384,0.001408,0.000992,0.000384,1.210692
0.395979,0.017664,0.134116,0.518831,0.067843,0.724246,0.048417,0.000608,0.013568,0.000352,0.001408,0.001120,0.000352,1.212292
0.395563,0.017440,0.147876,0.533040,0.066818,0.750998,0.048002,0.000576,0.013504,0.000384,0.001440,0.001024,0.000352,1.236292
0.396236,0.017472,0.126724,0.516208,0.065153,0.711317,0.049665,0.000608,0.013824,0.000352,0.001473,0.000928,0.000352,1.199108
0.396588,0.017345,0.131683,0.517263,0.064450,0.716469,0.050433,0.000576,0.013537,0.000352,0.001408,0.001024,0.000352,1.204708
0.412332,0.017441,0.129379,0.526672,0.067778,0.726997,0.048514,0.000576,0.013888,0.000416,0.001440,0.001184,0.000352,1.230564
0.395532,0.017536,0.139813,0.516815,0.064610,0.724470,0.048705,0.000576,0.013537,0.000352,0.001408,0.001184,0.000384,1.210532
0.395852,0.017504,0.139684,0.519504,0.065954,0.729078,0.064130,0.000736,0.013664,0.000352,0.001504,0.001024,0.000352,1.231844
0.395532,0.017569,0.148964,0.518960,0.066786,0.738198,0.050401,0.000576,0.013665,0.000384,0.001472,0.001120,0.000352,1.227301
0.395820,0.017824,0.138852,0.519087,0.079170,0.740405,0.049890,0.000640,0.013696,0.000384,0.001408,0.001056,0.000384,1.228613
0.397227,0.017408,0.132388,0.535120,0.068898,0.739702,0.049377,0.000544,0.013569,0.000352,0.001408,0.001088,0.000352,1.228964
0.397516,0.017665,0.137444,0.523183,0.068258,0.732501,0.048994,0.000544,0.013472,0.000352,0.001472,0.001248,0.000352,1.222052
0.395916,0.017760,0.133828,0.521872,0.068546,0.729462,0.049985,0.000640,0.013921,0.000352,0.001408,0.001088,0.000448,1.218660
0.414540,0.017633,0.141892,0.528144,0.068322,0.741430,0.049345,0.000640,0.013665,0.000416,0.001376,0.001216,0.000352,1.247973
0.397516,0.017504,0.139461,0.529231,0.065378,0.737366,0.049090,0.000544,0.013536,0.000384,0.001440,0.001024,0.000384,1.225732
0.396140,0.017569,0.137476,0.519631,0.068194,0.728565,0.049378,0.000608,0.014144,0.000384,0.001568,0.001632,0.000448,1.218340
0.395628,0.017376,0.126372,0.518287,0.066882,0.714965,0.049058,0.000608,0.013568,0.000384,0.001440,0.001120,0.000480,1.201603
0.396555,0.017504,0.134500,0.520111,0.067714,0.725686,0.051553,0.000608,0.013536,0.000385,0.001504,0.000992,0.000448,1.215620
0.395244,0.017344,0.127556,0.533200,0.066882,0.730934,0.049025,0.000576,0.013569,0.000416,0.001504,0.001184,0.000352,1.216484
0.395660,0.017473,0.150020,0.520047,0.066593,0.739862,0.047937,0.000544,0.013600,0.000416,0.001472,0.001089,0.000512,1.224933
0.396684,0.017568,0.122436,0.516335,0.064226,0.705845,0.048994,0.000672,0.014016,0.000448,0.001408,0.001088,0.000352,1.193123
0.396044,0.017537,0.148004,0.538416,0.072450,0.762454,0.048514,0.000640,0.013600,0.000352,0.001472,0.001152,0.000352,1.249765
0.395755,0.017505,0.135748,0.521935,0.065377,0.726229,0.048514,0.000576,0.013504,0.000416,0.001472,0.001152,0.000385,1.211940
0.395820,0.017377,0.131300,0.516239,0.065442,0.716437,0.047937,0.000640,0.013601,0.000384,0.001440,0.001216,0.000352,1.201828
