Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-10],OUT[10],TEE[4-10],classifier
0.395756,0.017568,0.192166,0.004864,0.111075,0.104675,0.068514,0.287976,0.903323
0.396300,0.017825,0.191397,0.004864,0.098755,0.102691,0.063234,0.267976,0.882426
0.413036,0.017440,0.191558,0.004864,0.101987,0.099075,0.064482,0.269032,0.900186
0.395691,0.017601,0.192038,0.004864,0.111555,0.117860,0.063329,0.296745,0.912603
0.396620,0.017824,0.191974,0.004896,0.095843,0.101475,0.063842,0.264616,0.880186
0.395499,0.017473,0.191302,0.005024,0.099907,0.101315,0.064418,0.269064,0.882650
0.396523,0.017473,0.191462,0.004832,0.105731,0.101795,0.060802,0.271816,0.886138
0.395500,0.017344,0.191718,0.004832,0.102339,0.108195,0.060961,0.274920,0.888794
0.398092,0.017761,0.192037,0.005056,0.117316,0.108035,0.065314,0.294057,0.911899
0.394827,0.017600,0.204742,0.004896,0.091587,0.101859,0.061730,0.258632,0.885754
0.396203,0.017409,0.192006,0.004864,0.118787,0.106628,0.068898,0.297705,0.912763
0.394635,0.017409,0.191942,0.004864,0.096835,0.104739,0.065506,0.270344,0.883130
0.395500,0.017600,0.191590,0.004800,0.095395,0.112643,0.062306,0.273768,0.887354
0.408268,0.017792,0.192006,0.005024,0.105539,0.100387,0.070274,0.279464,0.907930
0.396684,0.017632,0.191654,0.004864,0.092739,0.114147,0.066178,0.277736,0.892570
0.395020,0.017248,0.191686,0.004928,0.106691,0.099011,0.063074,0.272200,0.885626
0.395788,0.017440,0.191622,0.004832,0.106723,0.111556,0.072866,0.294953,0.908539
0.395020,0.017377,0.191525,0.004865,0.109955,0.098979,0.061314,0.273704,0.887035
0.396428,0.017600,0.191174,0.004800,0.098563,0.100707,0.061218,0.264072,0.878554
0.396331,0.017824,0.191334,0.004864,0.113539,0.107651,0.066818,0.291080,0.906491
0.414476,0.017537,0.191717,0.004928,0.118180,0.113251,0.066690,0.301577,0.934971
0.396332,0.017312,0.191654,0.004800,0.093699,0.099299,0.061634,0.257640,0.871834
0.396812,0.017408,0.191654,0.004800,0.094275,0.102691,0.061954,0.262440,0.877562
0.397036,0.017665,0.191429,0.004896,0.102532,0.111875,0.066338,0.284041,0.899515
0.396491,0.017633,0.191782,0.004864,0.091106,0.111012,0.063586,0.269224,0.883962
0.396363,0.017536,0.191590,0.004832,0.095075,0.101059,0.061186,0.260584,0.875194
0.397452,0.017280,0.191494,0.004832,0.136260,0.121092,0.062498,0.323306,0.938364
