Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-7],Layer[8],Layer[9],Layer[10],classifier
0.415536,0.017697,0.201640,0.004800,0.048322,0.194727,0.002080,0.000928,0.000352,0.892419
0.417712,0.017889,0.223017,0.004960,0.047618,0.196679,0.002176,0.001248,0.000384,0.920132
0.416560,0.017473,0.203016,0.004896,0.047938,0.191239,0.002080,0.000928,0.000608,0.891522
0.415664,0.017377,0.202568,0.004832,0.048322,0.182375,0.002144,0.000928,0.000385,0.881699
0.415505,0.017824,0.202472,0.005280,0.048610,0.194248,0.002208,0.000992,0.000384,0.894531
0.415984,0.017345,0.202824,0.004992,0.048322,0.198376,0.002112,0.000992,0.000352,0.898659
0.415664,0.017761,0.202312,0.005248,0.048642,0.194600,0.002144,0.000992,0.000352,0.894403
0.415248,0.017824,0.201832,0.005024,0.047970,0.196072,0.002112,0.000960,0.000384,0.894179
0.416144,0.017633,0.215368,0.005120,0.048290,0.186088,0.002080,0.000928,0.000416,0.899011
0.415377,0.017216,0.202440,0.005217,0.048545,0.189992,0.002112,0.000928,0.000384,0.889123
0.415537,0.017632,0.201896,0.004993,0.049345,0.180231,0.002240,0.000960,0.000384,0.879971
0.416049,0.017440,0.202024,0.005217,0.048481,0.195912,0.002112,0.000928,0.000384,0.895427
0.433457,0.017697,0.201735,0.005217,0.048258,0.191687,0.001984,0.001024,0.000416,0.907683
0.415184,0.017569,0.202536,0.005184,0.048578,0.195016,0.002048,0.000960,0.000352,0.894179
0.415857,0.017824,0.202248,0.005249,0.049569,0.195272,0.002176,0.000864,0.000384,0.896451
0.416656,0.017409,0.219240,0.005089,0.048674,0.189767,0.001984,0.000992,0.000576,0.907331
0.415216,0.017441,0.202024,0.004864,0.048866,0.200264,0.002048,0.000864,0.000608,0.898115
0.416240,0.017601,0.201960,0.004832,0.049090,0.191399,0.002081,0.000704,0.000384,0.890979
