Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420944,0.017409,0.218409,0.004992,0.229097,0.014240,0.000513,0.001504,0.001056,0.000320,0.915684
0.420177,0.017313,0.201992,0.004928,0.214376,0.014049,0.000544,0.001440,0.000992,0.000416,0.883395
0.420048,0.017441,0.202280,0.004768,0.233065,0.016097,0.000480,0.001408,0.001024,0.000416,0.905795
0.415345,0.017216,0.202280,0.004897,0.219752,0.014113,0.000480,0.001472,0.000992,0.000448,0.885763
0.435697,0.017312,0.202600,0.004960,0.229609,0.014017,0.000480,0.001472,0.000928,0.000352,0.915844
0.420496,0.017281,0.201800,0.004864,0.219017,0.013952,0.000512,0.001440,0.001088,0.000320,0.889346
0.420049,0.017313,0.202376,0.004864,0.231849,0.014368,0.000481,0.001472,0.000960,0.000352,0.902884
0.420176,0.017281,0.218697,0.004992,0.222633,0.015040,0.000480,0.001408,0.000960,0.000384,0.909795
0.415408,0.017377,0.201800,0.004800,0.215112,0.014016,0.000480,0.001376,0.001056,0.000384,0.878402
0.419697,0.017376,0.201960,0.004896,0.226665,0.013857,0.000480,0.001440,0.001056,0.000352,0.894723
0.415856,0.017217,0.201896,0.004864,0.223049,0.013920,0.000480,0.001440,0.000896,0.000352,0.888226
0.436497,0.017312,0.202120,0.004800,0.219849,0.014209,0.000576,0.001504,0.001024,0.000352,0.907620
0.420561,0.017377,0.202728,0.004864,0.235465,0.014465,0.000480,0.001536,0.001152,0.000384,0.908516
0.415952,0.017409,0.203080,0.004800,0.237097,0.014657,0.000512,0.001536,0.001152,0.000704,0.907523
0.420305,0.017376,0.221737,0.004960,0.238474,0.014272,0.000960,0.001504,0.001121,0.000800,0.931237
0.420561,0.017569,0.202248,0.004832,0.222024,0.016065,0.000480,0.001632,0.001184,0.000352,0.895459
0.419952,0.017376,0.202088,0.004832,0.238186,0.014240,0.000416,0.001536,0.001152,0.000352,0.909828
0.419920,0.017377,0.202312,0.004992,0.234249,0.014241,0.000512,0.001408,0.001152,0.000416,0.905763
0.420304,0.017441,0.202152,0.004896,0.242345,0.017089,0.000480,0.001536,0.001120,0.000352,0.917476
0.415440,0.017345,0.202824,0.004864,0.229001,0.015585,0.000512,0.001408,0.001184,0.000352,0.898179
0.420176,0.017345,0.202248,0.004928,0.241290,0.014208,0.000512,0.001472,0.001249,0.000352,0.912676
0.420304,0.022849,0.202536,0.004832,0.230217,0.014529,0.000480,0.001408,0.001216,0.000352,0.923620
0.415632,0.017537,0.203560,0.004800,0.238441,0.015873,0.000512,0.001600,0.001216,0.000384,0.908227
0.421265,0.017537,0.202183,0.004801,0.238281,0.014465,0.000512,0.001504,0.001248,0.000352,0.910500
0.415664,0.017504,0.202952,0.005024,0.223561,0.013857,0.000512,0.001472,0.001024,0.000384,0.889795
0.421200,0.017345,0.204040,0.004832,0.241642,0.016960,0.000480,0.001568,0.001152,0.000384,0.919204
0.416464,0.017313,0.203208,0.004800,0.242601,0.015776,0.000992,0.001504,0.000960,0.000352,0.913859
0.416272,0.017473,0.203048,0.004800,0.235145,0.015233,0.000448,0.001568,0.000960,0.000384,0.903875
0.432689,0.017377,0.202280,0.004864,0.232265,0.015617,0.000512,0.001664,0.000992,0.000608,0.917540
0.421105,0.017345,0.202408,0.004832,0.227081,0.014080,0.000480,0.001600,0.001088,0.000608,0.898244
0.414929,0.017504,0.201992,0.004832,0.215400,0.015073,0.000480,0.001504,0.001024,0.000800,0.882243
0.420337,0.017473,0.202856,0.004896,0.224777,0.014496,0.000480,0.001920,0.001408,0.000576,0.903044
0.416240,0.017345,0.202120,0.004864,0.225257,0.014145,0.000480,0.001600,0.001088,0.000576,0.892483
