Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-10],classifier
0.421008,0.017569,0.202536,0.005248,0.048162,0.000864,0.014657,0.116548,0.898883
0.416304,0.017569,0.202472,0.004896,0.048322,0.000800,0.013729,0.114468,0.886531
0.415888,0.017505,0.202056,0.004768,0.047714,0.000576,0.013600,0.121349,0.894499
0.435089,0.017697,0.202408,0.004800,0.047810,0.000800,0.013505,0.121892,0.914468
0.415920,0.017537,0.202088,0.004864,0.048194,0.000800,0.013408,0.117349,0.890883
0.420496,0.017729,0.202280,0.004832,0.048706,0.000800,0.013377,0.120804,0.900835
0.416048,0.017729,0.202248,0.004832,0.048226,0.000832,0.013408,0.143270,0.920196
0.420400,0.017569,0.202696,0.004832,0.048130,0.000800,0.013473,0.112324,0.887746
0.416752,0.017632,0.202280,0.004768,0.048450,0.000800,0.013441,0.119941,0.906116
0.420112,0.017729,0.202216,0.005312,0.048290,0.000832,0.014144,0.123876,0.904547
0.438417,0.017473,0.202216,0.004864,0.048610,0.000768,0.013825,0.115620,0.911588
0.415792,0.017537,0.202472,0.005056,0.048482,0.000608,0.013440,0.119525,0.897763
0.420848,0.017729,0.202344,0.004832,0.048194,0.000608,0.013633,0.119300,0.903907
0.420336,0.017760,0.201704,0.005216,0.073635,0.000672,0.013729,0.121349,0.923268
0.420720,0.017696,0.202152,0.005184,0.048066,0.000800,0.013473,0.118405,0.896291
0.420912,0.017729,0.202184,0.005216,0.048578,0.000800,0.013409,0.120100,0.899843
0.421168,0.017569,0.204296,0.005216,0.047874,0.000768,0.013409,0.120133,0.907171
0.442929,0.018241,0.202280,0.005088,0.048802,0.000576,0.013409,0.121124,0.927620
0.417201,0.017665,0.202535,0.005249,0.048514,0.000800,0.013536,0.124229,0.899972
0.416113,0.017536,0.202279,0.004993,0.048194,0.000800,0.013472,0.122789,0.899236
0.420625,0.017729,0.222664,0.005121,0.047970,0.000864,0.013568,0.113413,0.912548
