TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.218981,0.017634,0.203953,0.005344,0.048132,0.000800,0.013697,0.000384,0.001408,0.000928,0.000416,1.520542
1.223494,0.017729,0.204401,0.005313,0.049540,0.001024,0.013633,0.000416,0.001376,0.001057,0.000384,1.526399
1.175361,0.017730,0.203761,0.005056,0.047652,0.000576,0.013345,0.000416,0.001440,0.000960,0.000384,1.474938
1.250343,0.017633,0.204241,0.005057,0.047716,0.000576,0.013377,0.000384,0.001312,0.001024,0.000384,1.550240
1.173282,0.017826,0.204657,0.005024,0.047300,0.000576,0.013377,0.000352,0.001376,0.001121,0.000352,1.473979
1.171905,0.017634,0.203665,0.005088,0.046916,0.000928,0.013377,0.000416,0.001408,0.000992,0.000384,1.470682
1.221062,0.017826,0.204113,0.005024,0.047716,0.000800,0.013537,0.000384,0.001408,0.001024,0.000384,1.522207
1.187011,0.017729,0.204273,0.005057,0.048260,0.000576,0.013537,0.000352,0.001504,0.001024,0.000352,1.487804
1.223173,0.017729,0.204465,0.005057,0.048356,0.000768,0.013569,0.000384,0.001440,0.000960,0.000320,1.525598
1.178018,0.017602,0.203921,0.005312,0.048804,0.000608,0.013409,0.000384,0.001441,0.001024,0.000384,1.478747
1.197380,0.017697,0.203665,0.005473,0.048548,0.000608,0.013409,0.000416,0.001440,0.001088,0.000352,1.499005
1.214501,0.017666,0.203409,0.005056,0.049348,0.000768,0.013409,0.000385,0.001408,0.000992,0.000352,1.515358
1.217797,0.039171,0.204017,0.005345,0.049540,0.000608,0.013537,0.000352,0.001344,0.001024,0.000672,1.541728
1.179522,0.017602,0.204369,0.005216,0.047748,0.000576,0.013378,0.000384,0.001632,0.001120,0.000608,1.479995
1.193283,0.017825,0.203921,0.005024,0.047299,0.000577,0.013409,0.000384,0.001632,0.000992,0.000576,1.492892
1.175586,0.017698,0.204337,0.004992,0.047652,0.000576,0.013377,0.000352,0.001664,0.000960,0.000416,1.475899
1.190210,0.017793,0.205489,0.005313,0.048676,0.000608,0.013409,0.000352,0.001472,0.000960,0.000384,1.493659
1.211556,0.017665,0.203825,0.005217,0.048516,0.000832,0.013473,0.000352,0.001696,0.000992,0.000608,1.512413
1.222950,0.017953,0.210866,0.005056,0.048997,0.000832,0.014593,0.000416,0.001888,0.001248,0.000608,1.536351
1.202500,0.017730,0.205617,0.005088,0.048676,0.000832,0.014146,0.000384,0.001600,0.001088,0.000608,1.506973
1.191298,0.017761,0.205617,0.005377,0.049444,0.000800,0.013985,0.000384,0.001856,0.001089,0.000352,1.498428
1.170625,0.017665,0.229779,0.005248,0.050244,0.000608,0.013889,0.000577,0.001440,0.001056,0.000384,1.500988
1.177985,0.017857,0.204785,0.005281,0.049508,0.000928,0.013473,0.000352,0.001440,0.001056,0.000352,1.482202
1.222885,0.017634,0.205713,0.005312,0.049028,0.000800,0.013377,0.000352,0.001472,0.001056,0.000384,1.526526
