Layer[0],Layer[1],IN[2],INFER[2-5],OUT[5],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396107,0.017921,0.138628,0.573105,0.070338,0.786103,0.014689,0.000768,0.001600,0.001120,0.000384,1.225604
0.428524,0.017601,0.135428,0.575121,0.072674,0.787255,0.014817,0.000544,0.001472,0.001184,0.000352,1.258821
0.400140,0.017569,0.131652,0.571248,0.065569,0.772214,0.014561,0.000512,0.001536,0.001152,0.000384,1.214404
0.400684,0.017536,0.127652,0.590513,0.076162,0.798072,0.015200,0.000544,0.001504,0.001120,0.000384,1.242180
0.401836,0.017760,0.133668,0.570449,0.068034,0.775511,0.015233,0.000544,0.001408,0.001216,0.000384,1.220292
0.395627,0.017601,0.143460,0.570545,0.071714,0.789175,0.014753,0.000544,0.001408,0.001184,0.000384,1.227396
0.400172,0.017633,0.143268,0.580369,0.073571,0.800664,0.014816,0.000512,0.001504,0.001184,0.000384,1.243141
0.400427,0.017664,0.140324,0.568241,0.067042,0.779031,0.014561,0.000512,0.001504,0.001184,0.000384,1.221700
0.395244,0.017665,0.136388,0.573969,0.066050,0.779991,0.015328,0.000544,0.001408,0.001120,0.000416,1.218500
0.416812,0.017665,0.134116,0.579793,0.069218,0.786615,0.015841,0.000512,0.001472,0.001056,0.000384,1.246373
0.400428,0.017760,0.125284,0.571025,0.073922,0.774263,0.016449,0.000544,0.001472,0.001056,0.000384,1.219588
0.399692,0.017825,0.136420,0.571665,0.067266,0.778775,0.016096,0.000512,0.001696,0.001089,0.000416,1.222693
0.400204,0.018048,0.142404,0.569841,0.064610,0.780375,0.015456,0.000576,0.001472,0.001184,0.000640,1.224228
0.395532,0.017889,0.126019,0.567856,0.065730,0.763062,0.015681,0.000512,0.001408,0.001152,0.000416,1.201956
0.399628,0.017568,0.121796,0.587665,0.111204,0.824153,0.015296,0.000512,0.001408,0.001152,0.000416,1.266021
0.400235,0.017761,0.139556,0.568497,0.067874,0.779223,0.014880,0.000545,0.001472,0.001120,0.000608,1.222052
0.398956,0.017568,0.138372,0.566225,0.066882,0.775607,0.016033,0.000512,0.001376,0.001152,0.000384,1.218692
0.400844,0.017408,0.135428,0.567857,0.062594,0.769815,0.015777,0.000512,0.001440,0.001120,0.000576,1.213508
0.399404,0.017344,0.134372,0.567729,0.062690,0.768375,0.015201,0.000512,0.001504,0.001088,0.000384,1.209828
0.396972,0.017408,0.142916,0.569552,0.065090,0.781143,0.015041,0.000480,0.001696,0.001376,0.000352,1.222116
0.410732,0.017505,0.141892,0.569393,0.064578,0.779479,0.016833,0.000480,0.001568,0.001152,0.000384,1.234725
0.395595,0.017857,0.137892,0.571345,0.066370,0.779895,0.015232,0.000481,0.001408,0.001152,0.000320,1.218308
0.399084,0.017729,0.142372,0.568721,0.100035,0.815512,0.015936,0.000512,0.001537,0.001024,0.000576,1.258918
0.399596,0.017568,0.125412,0.566609,0.063202,0.758711,0.015008,0.000480,0.001376,0.001184,0.000448,1.200419
0.399052,0.017409,0.133924,0.569137,0.064482,0.770807,0.014432,0.000512,0.001472,0.001088,0.000352,1.210756
0.398828,0.017345,0.125987,0.584754,0.079266,0.793303,0.014977,0.000576,0.001472,0.001088,0.000352,1.233733
0.399084,0.017568,0.140580,0.566609,0.062530,0.773079,0.014464,0.000544,0.001408,0.000960,0.000416,1.213540
0.399691,0.017217,0.127364,0.565392,0.064193,0.760342,0.015841,0.000480,0.001408,0.001024,0.000608,1.202435
0.416524,0.017665,0.138724,0.578321,0.064802,0.785495,0.015681,0.000576,0.001472,0.002304,0.000352,1.246533
0.399692,0.017505,0.168165,0.570577,0.071490,0.813784,0.016256,0.000480,0.001472,0.001536,0.000641,1.259046
0.398956,0.017536,0.161157,0.566865,0.069058,0.801048,0.014817,0.000512,0.001440,0.001024,0.000320,1.242853
