Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-9],Layer[10],classifier
0.445073,0.017665,0.202088,0.004864,0.048962,0.000576,0.013408,0.000352,0.180584,0.000544,0.921444
0.419984,0.017601,0.202696,0.004896,0.048130,0.000544,0.013537,0.000384,0.173094,0.000480,0.887555
0.415920,0.017697,0.202280,0.004832,0.047522,0.000480,0.013377,0.000384,0.170822,0.000704,0.881155
0.415281,0.017568,0.202760,0.004737,0.047457,0.000608,0.013344,0.000416,0.204040,0.000800,0.913956
0.416465,0.017952,0.202600,0.004833,0.048097,0.000545,0.013632,0.000416,0.170279,0.000480,0.882275
0.416368,0.017889,0.202440,0.005120,0.047522,0.000608,0.013345,0.000448,0.187303,0.000960,0.898819
0.417105,0.017728,0.203400,0.004864,0.048257,0.000736,0.013345,0.000384,0.176391,0.000544,0.889667
0.435761,0.017569,0.201896,0.004800,0.047714,0.000576,0.013376,0.000416,0.181927,0.000576,0.913539
0.422193,0.017761,0.201927,0.005089,0.048002,0.000544,0.013472,0.000416,0.181255,0.000512,0.898531
0.417233,0.021120,0.203688,0.004801,0.048226,0.000768,0.013440,0.000416,0.183559,0.000672,0.901539
0.417200,0.017505,0.202504,0.004800,0.049762,0.000736,0.013601,0.000384,0.198408,0.000736,0.913860
0.420624,0.017857,0.202024,0.004832,0.049346,0.000768,0.013473,0.000384,0.189383,0.000768,0.906659
0.416369,0.018112,0.202568,0.004865,0.048161,0.000608,0.013729,0.000384,0.180167,0.000576,0.892867
0.422289,0.017569,0.202280,0.005184,0.047746,0.000768,0.013504,0.000384,0.186312,0.000928,0.904388
0.432369,0.017824,0.202952,0.004800,0.048674,0.000736,0.013569,0.000416,0.176295,0.000704,0.906372
0.422257,0.018208,0.202728,0.004800,0.048930,0.000704,0.013697,0.000416,0.178183,0.000896,0.897827
0.417168,0.017697,0.202184,0.004864,0.048098,0.000576,0.013537,0.000416,0.183303,0.000544,0.895843
0.421265,0.017632,0.202983,0.004801,0.048322,0.000736,0.013792,0.000384,0.177319,0.000736,0.895715
0.420561,0.017568,0.202472,0.004865,0.048897,0.000768,0.013536,0.000384,0.175303,0.000608,0.893123
0.418161,0.017984,0.202408,0.005025,0.048642,0.000736,0.013824,0.000384,0.177255,0.000736,0.892387
0.416113,0.017537,0.203015,0.004992,0.048418,0.000768,0.013408,0.000352,0.183463,0.000608,0.896132
0.437905,0.017601,0.202536,0.004800,0.048418,0.000576,0.013408,0.000353,0.185543,0.000704,0.918852
0.417808,0.017537,0.202376,0.005088,0.049314,0.000544,0.013441,0.000352,0.175815,0.000512,0.889731
0.416368,0.017761,0.202344,0.005056,0.047842,0.000576,0.013408,0.000416,0.176295,0.000512,0.887682
0.416752,0.017825,0.202088,0.005056,0.047778,0.000736,0.013377,0.000416,0.173126,0.000672,0.885442
0.420977,0.017760,0.202760,0.004865,0.048674,0.000480,0.013408,0.000416,0.179495,0.000608,0.895971
0.420753,0.017441,0.202951,0.005056,0.048994,0.000768,0.013696,0.000384,0.184712,0.000896,0.902916
0.416112,0.017569,0.202632,0.005056,0.047970,0.000736,0.013377,0.000448,0.179399,0.000512,0.891203
0.417232,0.017601,0.224105,0.005184,0.048546,0.000736,0.013665,0.000416,0.179751,0.000512,0.915812
0.417424,0.017697,0.203496,0.004800,0.049122,0.000736,0.013632,0.000384,0.176551,0.000608,0.891650
0.416016,0.017857,0.202184,0.005024,0.047810,0.000768,0.013665,0.000384,0.179271,0.000544,0.890243
0.416817,0.017824,0.202088,0.004864,0.048354,0.000576,0.013409,0.000352,0.173191,0.000544,0.884931
0.415920,0.017473,0.202248,0.004896,0.047778,0.000704,0.013921,0.000416,0.173830,0.000448,0.884834
0.421137,0.017761,0.203944,0.004800,0.048002,0.000576,0.013728,0.000384,0.170087,0.000480,0.888995
0.420848,0.017761,0.202184,0.005088,0.047682,0.000608,0.013729,0.000352,0.183399,0.000704,0.900259
0.417361,0.017601,0.221800,0.005377,0.047905,0.000608,0.013601,0.000352,0.183751,0.000928,0.917316
0.416688,0.017633,0.202568,0.005024,0.047810,0.000576,0.013728,0.000352,0.187624,0.000768,0.900931
0.417072,0.017696,0.202248,0.005056,0.048514,0.000576,0.013825,0.000352,0.181959,0.000736,0.896195
