TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
1.756694,0.004000,0.001216,0.000480,1.769527
1.746678,0.002656,0.001344,0.000384,1.756438
1.754902,0.003009,0.001120,0.000416,1.764823
1.738038,0.003232,0.001056,0.000352,1.748918
1.773271,0.003168,0.001056,0.000384,1.784599
1.760887,0.003072,0.001088,0.000384,1.772695
1.768919,0.002848,0.000960,0.000352,1.780824
1.741974,0.002784,0.001024,0.000352,1.751862
1.755606,0.003616,0.001088,0.000352,1.768823
1.750646,0.003136,0.001344,0.000352,1.761718
1.776311,0.002880,0.001152,0.000448,1.787447
1.742742,0.002593,0.000864,0.000320,1.752759
1.753622,0.003168,0.001184,0.000416,1.765175
1.745877,0.003040,0.000992,0.000384,1.756438
1.781496,0.002976,0.000992,0.000416,1.792216
1.726133,0.003041,0.000928,0.000384,1.735734
1.746422,0.003008,0.001120,0.000384,1.757814
1.754103,0.002848,0.001056,0.000320,1.764727
1.746741,0.003328,0.001056,0.000352,1.757750
1.748566,0.003104,0.001120,0.000320,1.759799
1.741398,0.002720,0.001120,0.000416,1.751702
1.741269,0.002945,0.001312,0.000384,1.752086
1.747830,0.002880,0.001024,0.000416,1.758518
1.732437,0.002592,0.001120,0.000352,1.743157
1.826202,0.005536,0.003169,0.000576,1.844091
1.856123,0.005985,0.003168,0.000608,1.876348
1.779192,0.004576,0.002176,0.000320,1.794200
1.785784,0.004256,0.001376,0.000320,1.798264
1.735285,0.003360,0.001248,0.000352,1.746806
1.772535,0.003648,0.001216,0.000320,1.782936
1.741429,0.003137,0.000960,0.000320,1.752310
1.766007,0.002656,0.001312,0.000352,1.776183
1.744598,0.003265,0.001248,0.000576,1.756823
1.762807,0.003136,0.001440,0.000320,1.773847
1.745238,0.002784,0.001312,0.000320,1.754710
1.763927,0.003104,0.001217,0.000384,1.774840
1.735574,0.003168,0.001056,0.000576,1.747574
1.759638,0.002688,0.001152,0.000352,1.769239
1.755542,0.002592,0.001088,0.000448,1.766102
1.752758,0.002752,0.001216,0.000352,1.763030
1.721621,0.002624,0.000960,0.000352,1.731861
1.753815,0.002656,0.001216,0.000384,1.764727
